n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
35222,149213,222149,210308,200218,17.64,13.28,12.879999999999997
16543,66864,30911,129875,199481,22.4,14.4,14.279999999999998
117831,123796,170811,99513,206759,20.74,14.51,14.439999999999998
55038,24604,127888,7431,234177,21.39,13.81,14.279999999999998
219090,102186,113447,159236,199827,21.11,14.1,14.399999999999997
201105,552,182408,116755,69816,23.91,13.53,14.119999999999997
189147,210193,59968,154967,247797,23.71,14.35,14.599999999999996
26798,236303,83212,8018,5851,24.28,14.33,14.399999999999997
6670,170274,141928,2413,246192,23.6,13.68,14.239999999999998
231010,99930,179957,56780,254028,21.76,14.38,14.519999999999998
110655,190277,7612,138314,58115,17.69,13.92,14.079999999999997
200199,114789,246196,129974,144928,19.62,13.95,14.359999999999998
61101,90623,60520,177431,57352,20.96,13.4,14.279999999999996
199477,120482,249625,75964,242878,17.93,12.13,12.999999999999998
5633,109099,219566,240194,145871,19.52,12.13,12.559999999999997
241746,168373,26214,48734,164981,22.06,13.19,14.279999999999998
260189,189697,225429,77696,31690,24.44,13.01,13.04
194811,87214,234769,189132,255132,22.27,12.78,12.399999999999999
186434,131281,245482,253548,110652,20.86,12.66,13.239999999999997
133095,217588,238599,175716,49767,18.84,14.46,14.079999999999997
79526,74490,154030,255184,231336,20.44,13.47,14.079999999999997
130904,221825,246654,132457,103115,23.61,13.89,14.359999999999998
154403,223684,9050,125888,63632,21.28,13.89,14.479999999999997
194964,209034,105981,108609,174258,21.72,14.88,14.479999999999997
45352,96239,143864,231402,184297,21.95,13.84,14.559999999999999
203381,176812,193518,98226,22666,19.61,13.02,13.159999999999998
115071,174000,133280,28293,204064,23.39,12.4,13.399999999999999
42912,136560,220188,103089,97130,22.5,13.56,14.399999999999997
128370,192090,7752,123029,11399,20.68,13.49,14.279999999999998
80879,184387,222377,257736,161168,19.54,13.4,14.239999999999997
155499,151565,103179,169648,44656,19.4,13.28,14.399999999999999
44195,131658,59490,257445,3224,21.78,14.37,14.439999999999998
201988,52302,141457,241195,225519,15.76,11.6,11.639999999999999
143743,60863,106025,134682,90131,18.65,12.9,13.599999999999998
249683,222156,151465,92608,120358,20.53,11.33,12.279999999999998
238486,70589,172809,143653,159631,22.51,14.31,14.399999999999999
250902,191207,1496,100581,205430,20.27,13.88,14.079999999999998
224644,215085,250254,232306,246011,19.75,12.43,12.239999999999998
194118,134348,212111,33881,135968,19.36,13.58,14.359999999999996
203790,147156,53866,111697,248963,20.57,13.48,13.719999999999999
14712,126117,228067,95613,149421,20.81,14.06,13.599999999999998
145332,52386,246681,132309,108370,21.47,14.28,14.399999999999997
127120,213215,93530,108638,90722,18.57,12.68,13.159999999999997
415,141158,141586,163444,206161,20.72,11.98,12.399999999999999
160550,86805,120100,157248,7333,23.3,14.28,14.399999999999997
210913,60189,166558,46454,144377,21.8,13.65,14.199999999999998
153212,47391,225708,24012,209305,21.57,12.82,13.039999999999997
144448,208954,223156,214024,244042,20.18,13.77,13.759999999999998
66923,8508,220658,247351,176452,18.07,12.92,13.279999999999996
18468,21819,227561,4375,118750,17.72,11.87,12.119999999999997
3816,197694,198072,73714,65420,19.01,13.93,13.519999999999998
70422,28701,209004,163788,48394,20.34,13.46,14.239999999999997
90288,76096,18223,43901,41844,22.96,15.22,14.639999999999997
66903,138249,249549,44078,172138,22.69,13.64,14.439999999999998
71542,169922,186539,77199,119197,20.41,13.81,14.079999999999998
184189,84410,130152,124196,29934,20.35,14.02,14.079999999999998
