n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
221360,100989,198693,233372,110250,10612,67873,32.14,19.77,20.319999999999997
253090,134027,127383,106151,240709,205468,217540,31.39,18.91,18.759999999999998
79511,253702,124937,93860,152930,233743,238056,24.53,16.84,17.359999999999996
57263,132300,36509,73882,36633,198129,24859,27.24,18.6,18.359999999999996
162101,209558,65668,258804,238484,139608,257631,30.11,19.62,19.959999999999997
184856,212393,157785,236497,38525,81303,25890,28.09,16.92,17.599999999999998
191321,19331,235625,222946,179302,86559,123769,31.83,19.88,19.879999999999995
146751,26398,92744,113815,82889,160140,167883,30.55,19.79,20.079999999999995
239340,53602,253390,144840,125045,116049,226835,26.7,18.68,17.959999999999997
136669,68286,16326,211033,240770,143838,240122,33.73,20.1,20.039999999999996
3680,24450,188666,220224,104549,186188,216228,34.97,19.76,19.959999999999994
205795,175152,163909,299,160405,129388,217071,26.91,19.03,19.119999999999997
227436,87329,63939,191438,85250,184455,228188,28.98,17.25,17.84
16510,50087,240391,148769,58118,62551,210592,28.27,18.31,18.799999999999997
253634,37354,210548,142341,117432,23911,21088,30.35,20.0,20.52
260367,83900,229398,133153,261612,244536,128263,27.66,18.53,18.999999999999996
28588,79022,144511,76307,185220,32718,143508,31.26,18.35,19.359999999999996
87228,213507,241762,141632,53268,252664,209565,29.87,19.18,20.039999999999996
158121,143453,154040,75407,116651,24020,156313,29.28,19.43,19.719999999999995
209173,100899,83111,150903,63466,76108,48200,31.25,19.65,19.399999999999995
49647,215342,48950,8643,160634,257241,172139,26.67,16.83,17.599999999999994
68172,124919,18110,23546,177923,198601,34137,31.34,18.52,19.439999999999998
229840,39203,242058,10129,220845,21036,235450,25.57,18.36,18.119999999999997
183323,241980,217411,141715,179175,102575,219641,29.46,18.78,18.439999999999998
184885,137513,72255,136784,212763,61735,222687,23.34,15.74,16.72
56413,234629,178120,154612,216337,248975,109949,30.26,19.7,20.24
151963,72144,118112,129146,173079,168085,261163,26.42,17.75,19.24
183559,240370,257546,207965,93681,21593,85019,29.81,18.14,18.719999999999995
160637,30238,127518,153898,165189,87889,221532,27.27,19.04,19.119999999999997
49906,63710,4249,191755,71050,30706,184898,23.56,16.13,16.479999999999997
57792,97533,208295,44690,87172,111707,213886,33.75,18.38,19.039999999999996
16303,26373,205289,38366,224217,182890,57350,33.3,19.19,20.119999999999997
11857,214203,150435,166253,238555,245503,140036,35.82,19.87,20.199999999999996
157855,178412,19397,6998,32622,166461,49419,31.25,18.59,20.08
158947,217602,150982,31377,102553,23994,97029,28.26,18.43,20.039999999999996
218587,257036,30420,9539,158729,5671,51010,34.73,19.93,20.56
251928,254461,48489,188249,32478,125628,55201,31.75,19.3,20.199999999999996
190619,209910,16013,245620,178086,5972,142668,28.67,19.2,19.119999999999997
111573,162686,26607,219126,68136,18351,57889,36.79,19.74,20.159999999999997
18866,169587,78921,91827,114312,47269,16001,31.93,19.62,19.359999999999996
132025,122455,10322,156364,26455,183323,259059,31.77,19.24,19.479999999999997
102570,52259,68192,93993,237082,191784,123264,26.82,18.27,17.759999999999998
219762,236533,240774,149361,44413,182897,176328,28.75,18.69,18.959999999999997
53323,253374,201155,15217,206739,177262,41473,31.11,20.58,19.839999999999996
221622,42455,89735,138798,65716,30726,156445,29.57,19.08,19.119999999999997
241544,115949,174484,45827,3461,123633,178593,26.9,16.54,17.759999999999998
107454,235955,149189,229324,133326,240520,81643,26.35,18.59,19.959999999999997
170114,93625,101880,219587,172390,65780,40216,25.69,17.58,18.279999999999998
146957,181095,3260,120049,194399,20728,88058,32.03,19.54,19.359999999999996
193728,11979,142690,73631,35346,62948,199797,28.7,19.61,19.759999999999994
249857,126308,92333,159943,75465,176528,94162,30.55,19.33,20.24
154737,248225,233817,166133,223811,162811,34693,28.26,19.77,20.159999999999997
