n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
207969,150423,215470,21120,127148,199810,68582,9652,118,33.55,22.17,22.919999999999998
38162,173753,153743,123274,253104,199158,192632,97821,83725,38.86,23.54,24.359999999999996
201887,5738,71486,128146,210217,51932,191319,228722,108529,36.86,25.31,25.839999999999993
238701,141113,141361,178795,24696,50589,147696,145126,183375,36.51,24.75,25.24
211058,191073,69604,173775,210597,159920,179749,23097,221323,33.17,23.2,23.839999999999996
111332,87970,259584,24414,94932,209789,107464,210968,65663,37.8,22.68,23.199999999999992
116709,183401,24583,198067,51684,183696,166440,208774,76332,37.75,24.22,24.759999999999998
25572,249396,11975,154290,236654,52657,217030,171810,239252,42.26,24.16,25.719999999999995
94471,127586,244511,218293,238422,50783,134912,150964,168970,37.2,25.31,24.72
254288,182953,233939,211158,132039,255950,240200,7450,166062,31.72,22.24,22.919999999999995
94732,64197,157744,112640,79776,93684,154443,31348,23511,33.17,24.02,24.519999999999996
131113,230707,177895,137694,52199,30624,159438,173733,70224,41.99,25.93,25.919999999999998
81862,188482,51438,99564,126810,58389,36203,156589,55020,36.4,25.36,24.799999999999997
218629,226895,229634,183035,136876,3282,49478,203963,44339,39.0,24.35,25.759999999999998
4471,169865,87270,146209,237092,175991,162598,162167,80248,37.97,23.03,24.279999999999994
98207,98934,138247,102017,75798,33248,177924,128124,14109,43.24,25.05,25.999999999999993
48588,110857,155695,195641,261705,104271,25160,257156,115671,39.14,24.0,24.639999999999993
64306,211200,256706,23345,233899,158120,175693,228189,233180,29.15,20.92,21.839999999999996
116945,117229,205496,217909,99619,208692,20046,135446,111783,41.4,24.54,25.839999999999996
123451,79550,184987,214049,107233,246605,22526,50369,195694,36.89,23.58,23.999999999999996
178305,69683,118320,127838,189432,205528,252988,45122,4860,41.69,25.03,26.119999999999997
5733,141018,32373,65834,154511,210181,94646,49167,67190,40.0,23.43,24.839999999999996
131789,118366,86360,243164,135495,66784,257310,107628,242989,34.72,23.73,23.959999999999997
230501,110557,160478,127245,70238,157937,124442,172041,125446,33.68,24.7,24.919999999999998
128980,37272,189077,98953,130193,80130,166322,210958,122489,30.95,21.97,22.759999999999994
84774,96069,172816,42737,254480,239363,241979,162383,98577,39.02,24.62,24.519999999999992
182046,158081,69678,83915,169370,104407,255594,127925,191183,35.81,23.08,23.319999999999993
207995,41467,245527,216974,76228,146763,1623,163521,117796,40.04,25.9,26.159999999999993
252878,14969,47861,7893,159897,202787,149361,29397,178807,39.69,23.83,23.879999999999995
188352,97230,94899,257583,246006,130401,223737,154599,16324,32.37,23.72,24.119999999999997
240982,50497,40471,248352,70583,160807,3885,110654,211344,33.55,23.12,24.239999999999995
205072,209756,213257,137588,128894,19875,122919,60834,26255,34.46,23.11,24.08
97232,94888,252172,38000,178496,163995,63795,159011,83447,40.31,24.72,25.599999999999994
37821,9877,164628,175153,25512,187153,27638,11865,169232,40.23,24.74,25.679999999999996
125272,121297,189817,235820,18087,164940,8086,183860,144553,37.93,23.96,24.359999999999996
33294,161642,218277,242269,21900,42220,162036,165459,238917,38.03,24.83,25.159999999999997
69516,237955,219783,234171,171515,118484,130991,181875,5317,33.9,21.37,22.2
207443,167103,35932,214499,247307,49491,238229,244873,115575,36.49,23.95,24.759999999999994
125609,204078,115206,117198,146431,72458,125155,186772,151865,35.28,22.39,23.279999999999994
16690,217953,209767,76483,256396,95274,74991,94409,246329,40.55,24.8,25.719999999999995
8878,21936,131702,224940,72295,73349,71857,253288,124020,36.62,23.83,24.239999999999995
112904,116452,241739,97374,8365,187114,22450,65424,214006,40.42,24.98,25.799999999999997
158510,167397,62508,140378,195420,8575,193736,45427,88180,38.71,24.04,24.68
97121,8379,13648,249533,260319,193946,200591,196930,248983,37.4,22.78,23.4
54835,183680,113517,90040,232032,20341,41322,191763,177162,38.97,24.43,24.879999999999995
29893,104766,143425,35571,121648,194778,129638,167615,19708,37.51,25.41,25.16
33567,19391,91855,136384,256507,7989,48674,137736,185620,45.02,25.71,25.999999999999996
39400,48157,73847,193723,39584,132991,149012,222840,101792,37.67,23.96,24.839999999999996
208844,58479,247746,58090,182338,147864,187489,238703,32991,33.51,20.13,21.08
109872,181103,42777,198519,82968,260420,63002,147066,150041,36.89,25.18,25.759999999999998
1248,206154,211048,149137,101367,49321,199291,85265,224117,38.79,23.58,24.399999999999995
99898,137965,115590,2536,104205,221477,261494,139143,144456,33.4,20.98,22.119999999999997
222831,173559,35720,187792,61261,169120,142586,211093,194741,38.01,23.46,24.52
97576,71276,174734,48535,254956,39166,43025,180943,163961,37.39,25.03,25.639999999999997
35214,100846,19470,16008,3212,10452,123785,198958,15526,37.92,23.67,23.919999999999998
30039,170621,186396,141630,26252,176614,96368,156138,8436,41.82,25.72,26.08
15696,142280,58926,206152,106651,59133,200184,148191,180271,34.84,23.51,23.839999999999993
241769,249321,76938,24304,123482,20263,189831,150314,226550,37.52,22.06,22.84
