n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
121374,160750,97861,70027,36317,48796,227163,177378,1686,17.75,14.91,15.280000000000006
88690,131801,121561,235483,158518,21185,87562,145298,245467,15.96,15.0,15.410000000000007
161651,183526,10720,190891,99357,44410,184413,248044,118494,16.32,15.31,15.430000000000005
249370,190071,110778,41197,44152,62393,13456,29084,34714,15.46,14.87,14.720000000000006
132715,228517,242176,259780,154777,16600,202954,180470,100575,16.81,15.45,15.470000000000006
206987,195584,232590,26652,240898,76330,53729,176746,58799,15.96,16.13,15.380000000000006
190239,207879,110560,233197,22993,202527,69922,238912,55021,16.93,15.33,15.210000000000004
103951,73710,89564,212208,11323,52293,185807,232364,1381,16.15,15.41,15.310000000000006
230522,107790,14362,234831,99304,221723,128899,36475,6155,16.42,14.91,15.410000000000005
62058,111339,192999,237610,223014,29372,252710,156459,1015,16.86,15.32,15.540000000000004
31780,200373,151702,51818,234698,223398,53229,86564,2163,15.94,14.68,14.820000000000006
233957,21889,34913,141497,240558,4578,131282,22239,150202,15.17,14.37,14.210000000000004
130217,140925,241415,51950,110128,18040,104368,50374,167435,16.49,15.78,15.560000000000006
200513,24488,183723,151991,38104,45234,246340,159616,188648,16.7,15.61,15.440000000000007
251219,10800,14201,70777,145505,179103,158959,223343,39139,15.83,14.79,14.790000000000004
195336,70336,193169,260802,150806,261610,8975,31807,227714,15.97,14.79,15.240000000000004
184934,105478,249278,237539,62072,42399,160203,132359,11280,15.4,14.63,14.650000000000006
192936,95930,221686,176717,136854,154732,148172,203063,180280,15.9,14.15,14.780000000000005
22738,227376,91015,28826,226501,231134,153128,95831,118305,15.71,14.2,14.600000000000005
55058,105426,52106,258492,248225,150584,195480,4814,99337,16.49,15.26,15.070000000000004
209550,159317,86169,161,113658,29283,55948,58118,116395,16.47,15.44,15.480000000000004
70683,85120,213568,23282,80518,165022,74681,27019,135660,15.88,15.18,15.460000000000006
205546,14460,6656,99976,204661,146914,211694,112364,130372,16.49,14.77,15.250000000000007
90722,185977,203891,65080,148380,193361,17374,111413,169830,16.07,14.99,15.150000000000006
60543,25106,252726,199423,105094,133661,97771,250568,225418,16.53,15.16,15.240000000000006
146922,96825,36473,174982,76099,44842,181572,221059,229511,15.83,14.26,14.790000000000004
67872,7700,13239,246276,255658,212228,45286,68933,248124,15.76,14.71,14.690000000000005
43047,258517,31526,159005,38881,3112,12799,15967,118079,16.64,15.17,15.520000000000005
54683,206196,101942,77132,160313,3878,253344,209370,92938,15.93,13.97,14.500000000000005
74713,36869,126069,147307,72804,35992,252122,22698,195952,16.35,15.5,15.320000000000004
145741,77597,182449,30914,17195,110081,118331,37360,184508,15.59,14.39,14.750000000000005
147305,200322,208375,100401,154186,232568,210434,44323,173850,16.17,15.9,15.420000000000005
187555,71868,202297,156575,230753,159509,129613,91454,26011,16.45,15.01,15.340000000000007
242008,12703,72574,138631,33644,45437,209298,165067,215057,16.4,15.1,15.320000000000006
22091,42526,204511,207001,58302,225210,3411,53187,46098,15.4,14.63,14.870000000000006
124160,119720,155064,146602,143001,101786,21809,45363,143817,16.85,15.05,15.210000000000006
126369,155433,248102,68796,140359,17454,246752,170672,7542,16.51,14.96,15.450000000000006
152310,260349,153423,233044,114229,142699,80939,137231,138147,16.1,15.01,14.840000000000005
140803,168195,238428,208698,17191,230011,168508,150437,142121,15.54,15.07,14.660000000000004
250461,78726,16860,190035,58796,188920,36032,27055,26114,15.81,15.43,15.360000000000005
183375,128887,118890,15845,128507,233018,166923,190709,13880,16.51,14.81,15.280000000000005
177941,158051,7655,97817,63869,230354,120230,60582,97315,15.06,14.75,14.410000000000005
215776,252320,191257,150254,163836,130002,229598,63728,9436,16.18,15.73,15.480000000000006
163171,156489,22185,160766,12297,177748,107416,106607,154286,15.32,14.64,14.990000000000006
18078,21164,49568,8941,159413,197303,47530,22128,17006,16.48,15.52,15.470000000000006
7828,93007,163735,123271,143397,140396,124420,6808,184429,15.91,14.37,14.820000000000006
203312,19743,87511,22177,205211,84273,2246,121595,250095,16.6,14.64,15.070000000000006
117743,154729,38949,255948,101211,258556,125366,218309,36151,16.43,14.76,15.060000000000006
27848,234012,91426,175960,60638,118353,204468,33920,50374,16.06,14.86,15.250000000000005
253934,57974,28514,28994,13823,31481,19564,245925,169166,15.41,14.36,14.530000000000003
255903,21640,97629,27163,194263,6148,122554,164247,136842,15.45,15.23,15.450000000000006
52606,96859,229199,166386,21269,61906,1434,67204,200109,15.01,14.59,14.560000000000006
135745,178987,51736,4058,115148,66391,247438,160105,5828,15.65,15.7,15.470000000000006
