n0,monte_carlo,monte_carlo_max_hop,two_hop
62380,2.1,1.7,1.8040896603396601
155357,5.65,3.44,3.5160667044595617
142666,1.68,1.34,1.528373162519504
34189,5.38,2.07,2.4255751964085297
96981,3.46,3.0,3.2946168618962735
240109,4.08,2.59,2.9492522628886264
158314,4.04,2.45,2.764852607709751
124270,5.65,3.6,3.747881212019143
164028,4.1,2.74,3.002951486918878
152266,4.5,2.7,3.059994172494172
17177,5.54,3.14,3.4785070323964646
158754,3.54,2.83,2.9891317065777363
3451,1.74,1.59,1.5661649114774114
238241,6.07,4.39,4.425458468176915
219537,5.59,3.72,3.852313740953472
123006,2.86,2.21,2.0309627603579212
67988,2.19,1.97,2.034391010755596
144384,3.01,2.08,2.0782653061224488
61428,2.31,1.68,1.8289605840033638
50264,2.2,2.06,2.036113221588275
261002,7.09,3.51,3.890701552433016
187996,3.26,2.55,2.7955026455026455
123276,2.75,1.93,2.147358171829704
141813,4.84,2.89,2.9825026825026826
219273,4.76,2.41,2.4760248072401168
144082,2.91,2.13,2.0017014916449947
124873,3.12,2.32,2.4641207169811286
104106,2.23,1.83,1.9898306025645058
167527,3.17,2.32,2.372310405643739
225711,3.93,2.72,3.143973063973064
39483,3.19,2.89,2.8054292929292926
60796,13.6,5.24,5.083462118486273
166424,5.41,3.33,3.2942007797270954
39746,4.5,3.84,3.6809411515289616
227552,2.61,1.63,1.797727745056967
242702,2.85,2.39,2.234007007302462
137148,4.27,2.24,2.423881673881674
102219,3.0,2.59,2.663059310115376
194314,5.83,4.13,4.0984645061728395
3970,1.9,1.65,1.5181322741222165
176006,4.12,2.75,2.654611823361823
203747,2.84,2.1,2.240365015101857
16785,2.67,2.33,2.4407765328353563
41785,2.57,2.01,2.020027872260015
198765,2.7,2.4,2.1774554972648192
251002,2.11,1.96,2.1284722222222223
154953,2.31,2.06,2.023959027084027
11216,2.91,2.89,2.8059737211533355
78975,5.13,3.59,3.5990895923856816
204492,4.98,3.29,3.54640132594678
8129,3.81,2.39,2.7658592011852883
215894,2.86,2.99,2.9544047619047618
226892,3.42,2.66,3.173247863247864
70629,3.69,2.54,2.6587961840254497
123928,2.56,2.34,2.414963354657921
155910,3.64,2.62,2.727698412698413
188435,3.51,2.44,2.502884859202794
241213,3.19,2.25,2.4587018140589567
230375,3.44,2.8,2.6723052441946256
101609,2.73,2.66,2.486507016441073
187204,2.78,2.06,2.278018707482993
206598,2.65,2.29,2.3787342888139165
241460,2.26,2.43,2.3116666666666665
111918,5.65,3.62,3.9889040436457
103537,2.44,2.1,2.183295454545455
190873,5.12,3.32,3.4478243978243976
209953,5.3,3.93,4.015998118108092
151233,2.34,1.77,2.040348561371289
116554,6.4,3.86,4.086251608751609
252731,4.02,2.8,2.6829082062608034
245258,3.72,2.63,3.1435367707689137
35166,3.59,2.31,2.769126984126984
230389,4.81,3.41,3.607051282051282
95818,1.83,1.99,1.9165956693941768
25547,4.2,2.85,2.7289284260952655
9407,1.35,1.39,1.2735635054473222
35643,2.14,1.54,1.7214402596196074
129730,3.9,2.99,2.958219576356831
56881,3.72,2.37,2.4810316359885323
67628,2.56,1.8,1.9191122868900647
253094,5.9,3.99,4.199531024531024
176171,3.43,2.87,2.9694444444444446
114337,3.83,2.36,2.437058184193755
204202,4.98,3.71,3.980555555555555
164272,3.17,2.71,2.739124748357703
224192,5.21,3.19,2.9197619047619043
78912,2.63,1.9,1.94861446184128
110401,2.71,2.32,2.147333226083226
132970,3.29,2.64,2.57718253968254
218491,3.43,2.17,2.3717008318478907
101152,2.39,2.29,2.3261410416557475
150476,4.99,2.92,2.965258920829573
91989,2.5,1.91,1.9977058720095289
140011,2.56,2.01,2.2183425247077575
153373,1.97,1.5,1.6584580100034643
106843,5.13,3.31,3.396658663465386
153158,3.33,2.52,2.6322272243006952
60918,1.86,1.96,1.9943625240500242
237031,2.29,1.39,1.7121378256246675
88280,4.22,2.51,2.3901693428025856
