n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
84890,248477,39544,103500,170638,12657,18988,215292,140478,24675,95863,47.34,33.96,34.10226171598064
152774,15204,238473,133021,56281,9829,22530,113677,109621,18312,63088,42.41,30.61,31.688907518130982
23779,144453,111285,15495,216754,148230,32453,248368,58520,165314,164477,41.46,27.85,29.118408515232467
152829,248436,16216,151284,153496,103987,12999,255919,57955,12211,145926,43.24,31.59,30.71659779076452
225042,34910,75919,109874,37815,141737,30878,149661,80866,146868,213942,37.6,28.2,28.30687692097136
178782,47376,27015,152462,149737,167487,49249,97621,25540,143587,186675,40.93,28.03,29.54233881904775
16459,147945,15624,162269,53990,130132,178362,139387,112090,203745,82351,45.57,32.88,33.47599661015654
122054,153501,242074,118799,94786,78582,65123,208241,47124,183237,204427,52.9,33.86,34.74640902960323
63988,21457,150581,78708,137677,129791,229412,90040,191219,117659,75481,48.78,33.69,34.62029943134849
159634,256946,19189,30950,134200,109608,43243,198479,89667,39841,244651,35.82,28.3,28.50559861370375
128178,110545,10277,252187,175168,20347,200427,146296,150215,206856,229501,39.49,27.57,27.91564000749625
214526,82247,89161,182267,91797,155810,130200,152016,208900,119591,18025,39.7,28.35,29.73545093772991
220192,24535,247642,70762,124282,182725,174103,17039,15904,191669,183891,43.52,31.14,30.737407633884725
81161,169640,151505,260334,178582,215462,116822,74605,187859,101132,232532,53.57,31.08,32.297547393100075
175283,90965,5914,246585,121030,93182,44052,160148,30695,129418,15454,39.32,27.5,28.196471160591035
57201,201387,75348,33905,193557,64910,104306,102485,240337,228438,130156,53.83,35.46,37.11090060627354
21123,43611,117751,105288,144032,72833,231573,35894,214769,112858,226488,42.27,30.63,32.459566301871114
144236,72986,185177,108867,258596,94049,178971,231785,99730,251063,60490,54.35,30.94,32.239598458762636
39563,21753,46194,39661,60806,172626,61167,3162,127130,217866,154435,48.0,31.51,32.496679256275414
47800,68877,73906,1073,38188,109824,140139,96797,159858,148462,83522,46.0,30.57,30.24936378291506
249848,32896,181008,225234,135132,249095,161898,171695,177261,193930,14153,45.18,33.2,35.12957823098275
119706,235807,228322,204464,249531,229248,178408,209157,146609,102859,104351,41.28,27.65,28.90438380805851
104589,103316,27141,126228,166275,104973,16317,49967,17654,258124,54726,44.23,29.03,29.34696629309067
115507,42546,28817,89143,157477,13782,26838,61,148578,39653,140671,43.0,29.29,28.773000499061645
26598,248761,95318,160887,6684,18432,229200,54513,160974,98626,38941,40.75,29.95,30.291087479340543
166306,66127,250470,91066,157883,95463,124295,32202,30239,222543,127944,49.22,30.25,30.562442691009437
260335,256330,122156,125932,126834,81750,22514,37779,26787,196522,89819,47.46,34.78,35.31770319161798
194078,69404,125467,217279,181418,42320,135353,6054,53795,249295,249566,41.14,29.24,30.230129432049225
138479,94831,38430,180897,142389,239637,7089,198742,138440,78142,256508,46.19,29.01,30.681312479493826
168536,226315,23857,182503,221629,68449,135894,96128,238094,43789,93243,39.87,28.1,28.568939097056052
202358,58403,139615,141968,204224,131779,86419,166839,58469,160754,212732,40.41,31.16,31.710549538221994
206674,258192,198789,223511,51156,211308,62754,214521,105037,193953,210587,33.2,25.18,25.76134405971122
59438,52407,135695,129179,93208,191628,7596,259418,7323,207123,73247,43.11,27.98,29.166869983060288
123794,67941,50762,181540,158633,250744,90251,117238,211960,245634,189563,35.54,27.97,28.671894812980092
259008,91624,250347,255463,95587,21112,57792,26779,59466,123228,51565,37.55,26.21,27.225283492940115
88535,53575,126524,163595,258277,236010,159976,220315,500,125691,238341,50.33,34.07,34.64350086645162
171174,90179,209621,168593,22224,218798,173168,31432,238492,101852,205076,30.75,23.36,22.83925907398526
186513,196644,52250,125313,233048,46798,113750,206867,166682,87167,22740,36.37,27.62,27.875268981017562
209931,248031,254714,189222,103766,121414,105221,194865,248197,22261,190001,44.46,31.06,31.59552578670099
41643,44565,260338,33302,7221,39623,154877,237201,121989,211419,171929,39.51,27.07,27.46185743979197
38318,160320,216664,156203,256981,124349,172298,245751,91857,40871,143827,40.35,28.58,29.595154562554555
143729,34336,5609,3733,209546,254513,190413,170308,26941,138040,196475,33.12,25.04,25.47098985047158
244744,36503,113720,258618,228522,51067,216571,229089,55323,7338,66016,46.18,32.09,33.02161490560765
55778,76799,131376,63055,200194,153730,85456,67990,142698,109841,218679,43.63,32.07,33.29672466194253
34360,15965,238555,193966,92742,235327,120104,173663,152921,213659,237055,52.15,34.41,34.35384692398044
135465,110265,216829,240575,230206,131504,34278,139414,39802,137234,133836,47.73,31.08,31.47526414159333
4903,228800,115376,203556,48000,159528,1030,203433,209497,39269,45179,42.78,28.65,29.81256740908584
37108,124123,162293,190105,31545,145876,16188,85454,178869,135882,139126,41.87,29.59,30.51471742897748
145605,126481,205592,203552,27815,231532,146878,14895,65141,50149,72592,29.18,23.38,23.56221973032463
11062,202443,25623,133094,118535,147253,7304,199227,234359,239203,16611,47.62,32.9,33.23275389689201
116194,85357,160570,255160,132527,158895,134260,52272,181595,72662,118579,40.37,27.35,27.722665714781332
133210,139797,211645,125314,133104,246808,64921,183295,137156,229778,229632,51.97,33.13,33.496198375695776
246986,243219,68050,241902,146673,234030,247271,53107,220200,117316,35948,47.6,31.82,32.23964502345284
109218,31882,102855,115898,82832,19017,175939,63082,112286,19168,55755,40.73,29.71,30.30123092813917
175498,79371,205504,32073,235150,203668,40487,246285,187726,168678,173082,42.69,27.7,29.173529564582353
95992,37481,66350,231429,35980,253636,122614,57563,195738,249693,24674,33.45,25.68,26.335527986842134
104400,231979,127732,42675,259488,175068,218220,58644,42327,185158,113120,41.95,28.24,28.743600851999954
260590,135162,105856,88897,110435,51313,93484,83499,24168,189307,95932,31.45,24.56,24.725453190700613
5107,88599,145240,120237,115463,184326,4740,100753,86900,135642,163558,45.99,32.4,31.316231551828217
77451,134286,251861,16853,29582,258233,240791,206664,59914,254724,229740,37.62,29.31,30.004403150350882
27467,22036,69616,71282,10377,237475,204209,47592,70895,198122,33962,31.68,24.01,24.940967375735216
214899,110691,222714,238921,177202,214690,247988,67792,106416,39155,140666,50.79,34.25,35.51860164825853
240955,134947,149578,129659,183610,85733,23451,73154,15080,209607,180408,34.42,25.69,26.825306109396884
48062,111494,234693,18982,70496,245982,4412,166314,23217,210142,68302,40.49,28.35,29.73516979832634
21952,159430,224455,58302,17464,69324,226171,31897,118954,3026,88906,44.08,30.6,30.996495731692782
260651,144982,109513,242920,239973,70217,162975,33875,11326,138127,186000,34.66,26.69,27.097032250292582
62504,245924,28692,254073,42322,68654,13206,47486,52892,244382,81786,45.01,29.19,30.683693572845797
