n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
250618,226258,248467,222574,14824,24008,22248,94649,219021,44324,192930,212064,175565,50.68,36.35,36.595962985718046
223827,80776,65951,158844,55631,159069,9367,152359,178584,41519,262070,112897,167371,45.32,33.95,34.960422501864045
103162,210677,189533,225507,260785,133448,248878,97533,142652,245291,116615,131613,70317,52.45,33.68,35.382987558641
236246,9417,228336,7194,95424,121869,244277,83483,237961,99618,111047,233777,231752,43.89,30.89,32.82636875034525
137822,43119,146934,46513,61898,60451,6254,46326,85234,45505,35834,133737,133752,50.23,33.41,33.79535601598354
94290,261798,134673,176810,146771,47669,260879,234244,116821,208865,108703,192518,137721,52.27,35.14,35.78781562844026
237658,238152,199985,95487,207027,155578,92743,94866,257157,225172,252156,116855,42253,51.03,38.46,39.9134755473801
250329,197657,104821,187472,193616,120954,171680,139029,65510,128454,73164,242439,130564,53.5,39.5,39.72225250597376
131292,135106,217979,208723,92779,173456,231434,119193,235851,236762,120851,91953,148820,54.28,35.71,36.33864895850382
190286,241259,146166,189732,119682,127561,172722,58146,246571,85109,213564,183388,218897,59.77,40.6,42.59742193254377
43534,229820,238011,161571,70290,202633,238912,125767,81150,79507,250966,209520,185127,43.44,32.46,32.73292477080148
217859,132185,147374,135724,133000,170764,161430,154126,106606,81748,191608,54478,128163,47.46,32.64,33.04010175571923
134189,96101,244882,179367,163385,231229,19759,205594,215062,89511,190303,2207,237935,44.89,33.48,34.43824958888169
213662,50175,261375,195240,27828,15403,150579,171156,12821,71591,155110,59406,178907,42.51,32.09,32.87503119881776
229504,240082,27856,197753,136934,35782,223856,69688,64181,216202,55175,247354,230839,62.15,41.1,41.11701119842696
15829,110865,235396,187947,199074,8355,14888,94989,94429,45057,65405,176361,6145,51.69,36.41,36.561924015843445
21732,30205,250232,17685,6643,10715,191213,240813,5543,97805,67027,33498,213215,53.72,35.3,36.93721073633612
245357,41187,192620,48166,137125,181271,507,101073,154522,11314,208183,259522,64966,56.62,37.33,38.446574858528685
39693,254493,9507,1099,90230,246012,161281,164562,194631,195999,29652,74980,88398,49.67,33.32,34.6499164788394
128125,8076,80841,117611,144573,200794,158637,193972,11998,236459,69190,198092,105343,51.97,34.98,34.970533107602826
226084,162947,184901,40227,123936,251339,59120,24498,173232,180196,82917,219781,26751,53.83,36.85,36.85818206611015
6344,117393,206676,229313,248537,33432,135865,153342,204750,103010,127643,134952,85972,45.91,32.25,33.41017505215863
37704,229230,251587,89404,67920,68639,158879,254458,110036,171262,4727,183362,146263,57.13,37.88,38.58583304899548
251396,36849,175783,14884,66313,8796,34524,42248,44750,25132,118853,166481,60726,51.47,36.54,36.25113274956212
133237,240228,257809,185622,244876,8231,260708,64686,60941,187136,116574,19280,65740,43.24,32.75,33.72584078208543
21084,154989,59822,163620,207508,209769,163554,185990,94327,67268,179453,110891,73069,42.91,30.01,30.77486744459309
137937,196785,1264,39614,9305,100860,107145,42004,29143,134239,189731,23021,63141,41.14,31.16,30.940384484668982
26715,26154,5190,47647,196761,60693,27583,56977,6406,136507,175502,121740,118976,48.38,33.37,35.11897006401734
81192,140386,168233,99615,55692,179486,237649,199367,252475,55087,191084,211308,113700,52.03,35.51,36.516513983943135
111568,134087,5589,152325,155016,13430,231063,109580,243500,137642,152395,47507,241334,56.47,37.12,38.14700032209862
24585,173878,210411,125777,95992,5107,136107,251833,241552,31087,160041,96071,75911,53.3,35.76,36.35754706305471
180982,257824,244435,97576,80812,4995,229204,179650,108069,26518,27529,80195,52007,44.93,32.55,33.22950569957684
220361,203250,176310,216372,4121,212876,118337,15726,107655,167063,127366,121461,54590,48.67,34.39,35.229337786063475
233188,154335,160840,19343,1396,74543,6328,97754,80169,245175,189678,20066,57452,41.77,31.81,32.34086695172663
197914,128567,50425,30347,149829,97883,102703,187675,121431,36612,197546,90423,103558,40.44,30.43,31.396126239911382
232703,31910,66627,31921,32232,21105,161622,222840,87682,168032,102525,251571,55577,53.39,36.39,37.21368911708208
181574,27630,6466,162052,172794,123305,203741,11319,189665,185022,130534,76219,93738,58.36,40.32,39.37181909590077
251553,119809,37084,209380,98281,70501,126930,137967,226962,125189,188624,250268,190818,53.63,34.18,37.20797298290622
210855,109829,244332,129006,219153,178316,77794,103460,60719,40999,128133,156383,68001,45.25,33.74,34.84076233783318
143802,112106,182352,178032,183292,240800,22101,153590,190788,214395,150929,25152,18654,47.84,36.41,36.54812659251905
93338,46172,261553,142937,38404,211367,109253,235458,17521,209340,22583,238909,234750,54.37,37.48,37.88646872232611
178613,259165,212286,169890,9849,33689,255305,77694,102391,60738,185703,175828,232038,54.79,35.09,35.45659661216617
178546,86354,115040,45227,137362,75232,29378,40899,141791,258653,249020,253980,198122,60.96,38.56,39.325768170406725
111073,25206,86204,135397,65169,187528,134785,67439,44450,234591,41290,120832,248351,62.11,41.31,42.03452381158911
184347,61458,105949,229236,260868,93992,205210,200366,150323,191083,37949,122331,115653,50.78,33.97,34.54205336252993
188447,7703,212266,156018,100467,231163,193135,47297,102984,133738,14043,126473,71814,56.39,37.34,37.9901824105716
106145,66511,186242,191692,245542,108041,184914,169850,123862,94399,252176,143544,86698,45.16,34.12,35.443540481808604
186976,195457,239067,172617,21342,199651,214874,223365,190261,58982,139684,162856,49250,49.03,36.41,35.25161526423339
105571,213985,174842,100284,256176,230932,166417,239853,3042,82033,121778,137251,186535,49.08,35.07,34.53059894310174
237689,231531,122239,170415,46496,213927,24754,4492,105623,247261,56761,191224,149230,46.73,32.23,33.19737611993307
158975,101131,237325,56491,231913,254958,26334,102232,213810,146203,201064,210132,52307,48.37,34.65,35.11824384555712
71934,195099,241536,153676,152101,50199,128399,210813,160412,36142,2224,160516,177916,49.25,33.26,34.80621112692078
113874,126368,66503,134595,148398,45499,122444,186833,53738,254905,253435,199271,19090,53.41,37.48,37.84266262192578
91812,796,237417,127250,139766,219464,175397,172596,17155,197832,155074,127139,242466,60.63,38.49,39.72911625860713
176895,241762,87789,120404,69978,230037,131832,120670,7216,258758,20921,160821,197646,50.59,35.78,35.71058245753984
91130,45534,199130,196675,246026,205619,261548,106034,66923,176945,163874,206418,218480,59.44,40.8,41.2672236008879
226498,188629,35355,14176,42616,130936,100050,260124,121806,177124,77284,40854,2726,52.92,32.43,33.3347132381279
74096,146124,122524,253470,477,96065,8917,141033,222831,100225,147929,116077,53586,46.91,33.38,34.230923001103704
228194,177318,80853,130620,170148,34965,126821,180781,141182,186412,239783,79353,20110,45.78,30.83,32.37255041617104
67628,216103,82071,79736,87479,169425,248617,208624,81834,171287,168498,103013,135812,54.94,38.92,39.536015187885766
220385,241302,24365,133289,166019,55210,102531,156288,139058,222338,223069,39200,209155,51.53,36.67,38.54396936440555
132296,164846,23366,80761,10740,61056,248927,119940,147142,60846,137004,72741,16061,56.64,36.31,36.8053719694781
251069,29337,29351,177046,214595,206409,99408,224551,95578,56024,83464,93344,20286,54.85,36.58,36.823086092625104
87743,119899,95079,43646,130438,115869,227909,76542,120864,234506,35090,241629,188346,43.54,30.2,30.77988766131611
115866,259713,167672,56597,243700,71574,85518,41676,26097,232709,62348,122916,49688,44.83,31.11,31.96940683867814
197218,177857,221830,97986,48584,93348,36764,208430,35489,61124,70421,211952,144336,44.16,32.87,33.16781777763948
165912,99092,104925,211941,215880,196455,89719,73595,230314,188761,242725,156001,131755,68.56,41.79,42.9300550992879
152268,180874,191919,248717,84013,194657,104706,196871,187123,227884,184682,245254,165712,61.52,38.66,39.06859597197746
197534,254155,256657,187790,76442,139444,163181,166983,175808,19049,96320,80893,103593,47.11,34.15,34.043045261142744
126877,45816,67612,251058,236279,92799,115535,124946,22989,234242,242093,48876,82543,55.75,39.85,39.85051089237514
251833,99356,33306,253752,7347,27333,91954,43800,94155,20194,240554,230268,231524,47.68,33.35,33.57229389116699
191976,199638,170853,114406,2198,142261,83988,62067,216287,218504,155882,102212,141858,49.89,36.48,36.56738547306734
74620,122918,167197,236113,39473,94325,82929,52986,242791,130666,24915,254467,37276,43.49,31.42,31.407298553996917
205489,53567,86856,65792,37058,110204,94479,65582,23367,89834,49156,64613,185424,56.11,38.67,40.082492484317115
62937,190850,160066,12282,88200,246440,97724,169862,201278,160288,16171,226045,37759,38.47,27.7,27.425765560150552
46523,223038,16531,112663,116287,204158,71280,34811,84142,137098,151202,221609,30517,52.62,37.51,38.86813443597065
88615,169921,201373,186277,160006,250972,103435,59704,261449,14192,102839,200953,124202,52.29,37.43,37.95423568967813
128408,162394,228424,83057,142771,219582,162930,156640,23736,154140,133805,141187,174241,49.41,35.18,35.783866164858836
258194,129947,259242,105197,220408,181285,119164,44407,107948,101186,137564,118658,12099,52.21,35.33,35.928893368823374
230385,28378,118313,260900,155016,33609,31051,245729,241515,178186,131073,239885,45899,51.09,37.45,38.9232085142808
20273,102922,80166,119981,209171,185422,2318,66308,27776,175294,91918,57826,45387,44.59,32.86,33.50570764114444
6537,38498,112015,175574,257777,24097,88083,254674,214885,170226,122009,13046,224978,46.48,33.18,33.8792810833513
235594,124478,63314,16939,126212,36568,146477,7962,36341,182387,131637,142122,15809,47.36,33.77,33.15216773923388
12673,52325,143171,240798,1632,215495,213448,137071,88496,178741,138536,229507,62517,40.16,29.22,29.959716001044665
36691,97392,129001,395,34541,141592,30545,64670,28373,122255,55518,209176,13934,59.71,37.7,40.02990327064104
161490,56417,164200,99387,88274,163233,169766,225078,103242,237026,245096,188110,137493,47.8,33.21,33.82114534116781
132929,204720,240382,177058,42728,133948,27641,218448,214383,39685,164398,250917,55132,54.59,35.22,35.77490760839274
45474,98906,52924,77960,89296,112948,37676,112126,34184,104374,82231,209122,78458,54.73,35.03,36.82526223224752
212731,26034,147446,26203,123936,71400,74569,138250,200633,128167,258706,73363,60057,54.52,37.56,38.579304443688066
110276,184310,36074,183253,143401,172550,27258,8025,157799,144631,197070,52956,55663,49.62,36.11,36.27912414480205
50946,102622,151986,10250,169106,36201,163953,6163,194562,68815,184193,189220,124557,56.49,40.69,41.51335647021024
141473,12528,193073,202433,225772,215765,58859,219014,37871,156787,81929,10005,180626,40.46,31.31,31.81641106765635
51349,261394,28401,36809,166681,181893,142680,240378,48883,199984,250563,24191,256370,51.74,36.39,37.26026675033246
180030,235739,227585,121603,165040,76492,252418,54752,41301,216037,85019,183746,214959,55.05,39.01,40.030465759228505
72703,222769,236573,135892,149142,17702,108183,235417,108909,175051,188864,8834,119369,63.37,37.74,38.1398931874142
