n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
59429,97101,252259,98400,33116,50624,184763,11476,22330,35872,64865,212668,261915,132739,54892,105043,168261,66.04,44.36,45.58701248037459
7941,120359,127769,118785,102361,129756,150241,50392,235232,217716,105561,23479,127165,61389,198973,5240,183805,61.43,40.85,41.917058445498554
69931,136361,106866,124340,236470,238854,99372,190317,29813,173791,67726,25471,259942,213446,16538,101284,162573,76.98,50.43,51.157939086942335
217456,98882,28240,173236,15218,88719,61451,181220,22558,130437,236818,170320,135478,236290,54504,152446,211915,73.38,44.69,45.84974386927031
37260,159047,16875,141483,248001,9821,128101,183977,50817,38851,247999,225525,151771,119606,191087,153188,230938,69.49,46.14,46.52366412189448
116689,74882,146098,93505,224143,230182,111704,35383,41497,200355,157630,25589,139410,180926,82257,184063,93593,59.63,43.82,44.42517511938091
249036,168796,221116,129664,132021,163574,51812,80947,39363,93254,138600,74541,133638,172243,18722,211844,236773,70.96,47.14,49.34448470105524
224584,133016,239354,183840,142851,57659,90230,63933,238001,3123,77517,89976,57616,69951,8822,110992,66787,64.68,45.54,47.19803581544208
98808,78211,218710,184915,233692,109292,45940,172344,103878,30477,43563,244460,173846,223375,255549,6719,52902,69.92,47.65,49.80643327662457
255085,200926,42120,78654,30535,3464,208776,200356,99733,89604,219256,44605,149192,114191,237275,60743,36448,53.72,41.24,41.62376719247437
107505,147848,116930,106733,109566,21008,154274,18343,75692,187916,24932,8921,22349,173857,27924,200351,136562,59.45,42.32,43.57963093655597
138224,94414,40280,211733,245487,132362,127988,185644,38937,256919,158451,16508,49723,4441,239236,36802,89336,66.98,45.73,47.270461242640614
101274,172545,150384,31653,194970,78488,92129,85310,252959,95956,770,169304,219068,130814,55071,15903,229422,68.7,47.01,46.78938536487898
161811,8682,231448,253011,227777,199066,211945,259643,214024,152045,45081,46608,88479,254245,112992,115742,31706,64.48,46.37,46.004418327308315
21850,52549,158702,58715,130340,212697,124043,207148,40506,99899,31987,28432,152236,188995,118669,169847,33148,68.8,46.5,48.97134895828471
188572,115207,134868,190191,23705,187561,243407,123547,147812,103219,214030,94583,119363,59118,13350,51775,12825,75.31,48.3,50.31099975680411
116974,29201,28359,55368,190091,1206,185682,157455,160305,237647,5929,171759,95446,217386,113356,138380,24467,58.8,42.19,42.69793262905468
256548,253699,196337,198084,157339,131749,214767,184856,149153,52606,131472,60144,84963,137819,100692,195022,136260,72.64,48.75,50.42445975672235
169678,51426,1752,75905,160738,77721,238249,20938,194849,84156,243159,237767,257354,105613,58633,165764,77704,63.48,43.73,46.130113789790414
20872,143481,109964,256063,195094,96797,211492,246788,194187,222948,84103,135338,79212,163869,217908,250885,93551,64.79,43.28,44.21677672318745
205330,234689,77549,170756,221699,28651,51312,127195,96985,99246,251286,153346,222050,240820,81786,53804,76151,74.84,48.62,50.25043166290729
104077,160703,100525,220892,240901,179395,137273,245379,181045,190849,93267,215199,177214,158580,153389,94944,176447,75.77,49.54,50.57285693638375
112066,51348,128435,215663,138656,132990,219727,21490,70476,42846,17990,130611,192185,227122,71010,259194,110031,71.72,46.28,47.77115787323892
204488,30681,163723,217404,216258,71812,258665,76453,71853,210822,216352,132182,70413,72700,260904,232888,165720,64.91,43.59,45.528116305809576
107951,64104,94728,64429,253085,65015,207136,132308,195922,120044,65509,61402,213194,212580,156394,137690,217507,72.85,48.37,49.76217349652019
51218,96453,130193,204673,27721,207994,29262,101696,22078,171623,44750,204535,148568,260330,112086,241290,11832,67.8,44.81,46.59794218025048
206110,238580,35862,5790,159982,50133,179578,69372,22818,25017,121291,120517,227727,175430,237352,73986,242565,66.71,45.87,47.80208560555553
148403,24300,33119,159144,93735,226757,257089,171103,17294,83864,207253,10147,219048,241118,22008,225199,35994,73.98,51.74,54.088400389920466
171348,210922,96010,260818,217171,19654,213596,60485,189979,9715,157217,207164,83701,58282,77750,195049,93714,75.98,49.93,51.14285124025687
253548,85666,17330,136329,235960,29882,240255,189106,159785,91238,113916,41874,41178,66824,234238,102050,38996,67.19,45.91,47.058993427434004
113043,190786,205049,17073,26155,140106,58354,21533,76849,242491,46316,88331,196452,52147,28576,247862,13337,69.96,47.42,48.847313133596934
14988,145713,206158,192982,46578,216289,44757,146663,167667,85658,77438,231185,63504,192976,131177,125538,29086,61.9,46.95,46.8057787350791
147544,188289,245380,21751,261451,36042,244120,196505,34774,59085,85679,57156,106908,45586,44292,35396,199767,63.46,45.54,46.82430161042678
115452,15950,182148,232640,117534,153501,175070,160894,75324,108746,213485,245500,114445,151609,179974,235026,193276,68.96,47.45,47.25232070075739
241878,97528,181434,147845,257783,186128,128353,227686,96088,192545,221250,204386,138409,49143,80954,69759,178291,67.0,45.91,47.24779317893903
247889,124747,218371,33525,219929,219634,72581,131057,166532,254690,132796,139896,206785,245587,134180,75796,211525,60.84,42.59,44.29244380197757
57014,149033,138020,102408,200992,35333,216235,128125,169721,124740,32575,76336,103304,8403,9162,227788,97382,66.48,43.16,44.00258290832621
132803,247660,77617,90975,98326,183223,7246,162904,260205,37545,217648,180459,3794,20895,216984,48405,117680,67.41,48.86,49.95453253718975
152021,248477,33398,201277,252828,220636,111549,147875,165224,151703,253002,229943,28322,97705,261902,131692,10381,66.69,46.39,46.918774545912036
258969,157612,187622,171947,96657,258434,257973,93883,27860,248186,83832,170446,26771,124953,221072,44497,169391,65.59,44.03,45.361721241023695
61804,124996,95730,151096,90774,244497,97450,197492,211836,112598,98281,194688,164806,175698,10113,192546,36882,61.58,42.05,43.2463225851705
243479,186101,173802,233460,170578,82084,15976,8506,251478,60978,133673,94501,126771,96055,124780,147193,45384,76.08,51.54,52.53156567914533
79097,36567,169616,69850,206023,5960,205316,115574,194362,75448,153106,179432,68366,119091,220576,77714,75912,63.16,47.22,49.03793297507669
105666,225465,130340,117212,172108,164941,23355,130873,235427,171405,115025,89397,35602,151621,254464,193084,28352,68.61,45.03,46.48074913554411
94731,188136,157407,174834,119651,94826,123215,150191,100564,53267,143295,137176,185949,154687,45544,204997,38300,63.13,43.55,45.19393532770254
132180,215805,9043,23197,143706,207903,174392,198990,81630,57057,38624,166731,105062,66432,248442,231120,209495,65.97,46.5,47.74671223559721
51721,250631,30322,3658,9592,116156,188356,217322,55530,82944,82391,7314,256106,1438,192958,4355,193358,60.44,44.08,44.82830825755197
33593,150967,79274,167928,81421,2895,11585,213006,55944,86263,83031,224041,24502,108659,61476,238887,221981,78.6,52.29,53.20754286188506
119,227937,257005,178661,25124,135338,133949,53097,126231,240130,258555,198178,187916,214740,257400,110521,237438,69.7,47.71,49.162152001220036
29331,111442,132800,38734,19541,38250,172467,185974,204085,249365,206236,174326,184847,90761,245419,156564,114364,75.79,49.35,51.65692839870662
172188,13065,66324,107427,181925,173951,52202,259635,7278,74637,16844,201773,127993,82595,182460,42278,59124,64.5,46.86,47.046984863863855
14470,104038,216896,181687,81075,68973,80675,136921,72540,158046,5653,106443,208320,54642,184355,181586,182152,73.59,46.34,46.629273131929644
183779,55307,49538,29335,211638,202309,171773,259750,227140,245454,204521,259378,129589,40867,187627,216210,82441,62.95,47.37,48.081530894683276
62621,171317,237653,21586,114001,90675,234094,132657,216263,232155,144041,179264,130619,238295,121400,227878,160623,64.26,47.41,48.72321627865436
254472,95623,161895,35869,161685,43430,122917,25367,57985,135988,208819,88295,160003,247979,42389,145560,62899,70.42,47.41,48.51335636870226
246923,57896,111582,189447,177258,156601,241036,52682,88547,180251,33661,147672,202988,69886,18901,116530,84751,79.68,50.47,51.052986250573944
260223,149789,36958,173236,62029,188734,155664,104262,220182,5556,241620,82578,104639,93237,201552,81356,31065,57.68,44.95,45.20278800514699
30961,101228,177713,224635,242440,174332,224919,117083,107816,156913,2776,127780,88609,143640,187747,231750,225494,58.37,41.14,43.47334633085699
255759,239551,52516,4285,197939,3987,247648,184676,159195,180239,131195,83599,97655,184883,126887,229729,152218,77.58,49.64,50.07112179088932
27072,160278,45944,29882,14312,261832,116605,72344,21332,143524,7394,51979,65104,165508,241441,19562,15692,71.85,50.49,50.8598580290791
87907,90348,100842,185778,82044,242427,127724,158672,41478,252841,128624,193064,208557,72041,164800,246913,254319,63.81,46.0,47.99365138120071
233791,249065,15489,125175,219446,122657,153199,199878,64552,230626,210950,141819,257229,174926,205339,181078,15156,70.26,47.05,47.295327335878795
134727,200752,133233,170417,105126,246346,117642,137145,124283,229760,210447,175248,41890,257779,30842,150393,242059,87.05,53.26,53.784309506052054
161086,133773,211708,182687,44891,240067,86409,193003,76911,148500,143203,249582,104594,163607,30288,117086,145311,59.06,42.72,43.13770794019039
47893,78121,41755,196183,207714,232147,235020,258058,93598,92568,138678,14633,177870,104906,159058,250553,72178,68.58,46.88,48.247204773388376
18497,238905,64655,144681,218377,187245,250728,180460,123672,114902,74716,183819,247225,49779,125035,143626,17316,78.37,52.86,54.16229990751944
170788,16527,164979,222706,76611,17890,47566,103504,26554,143416,32452,47710,48305,188327,127238,84567,149034,50.13,35.82,36.85738546500552
62275,185077,50630,114816,65505,201257,99450,7760,136285,91302,79919,31277,138162,135387,128726,150071,10350,49.85,37.18,37.743956527346036
152891,24762,116274,190897,96506,66761,86122,238066,27847,27600,50671,228601,127536,111261,148802,117987,26341,86.08,50.84,51.81870547334885
181104,221548,34122,7271,92387,33060,102172,117447,235404,87279,175677,136338,238958,180866,111190,155892,29001,65.54,45.33,45.42559915960992
205787,99616,123235,250061,177284,166179,109565,218369,33094,203747,19453,188434,47691,61734,116360,52720,72382,72.31,46.66,48.167363544541736
