n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
84890,248477,39544,103500,170638,12657,18988,215292,140478,24675,95863,152774,15204,238473,133021,56281,9829,22530,113677,109621,18312,85.64,59.95,61.837280345222744
63088,23779,144453,111285,15495,216754,148230,32453,248368,58520,165314,164477,152829,248436,16216,151284,153496,103987,12999,255919,57955,83.87,58.19,58.90858009990821
12211,145926,225042,34910,75919,109874,37815,141737,30878,149661,80866,146868,213942,178782,47376,27015,152462,149737,167487,49249,97621,72.23,55.01,55.94817319792486
25540,143587,186675,16459,147945,15624,162269,53990,130132,178362,139387,112090,203745,82351,122054,153501,242074,118799,94786,78582,65123,94.89,63.03,63.62992160348549
208241,47124,183237,204427,63988,21457,150581,78708,137677,129791,229412,90040,191219,117659,75481,159634,256946,19189,30950,134200,109608,79.56,57.29,58.88014313353852
43243,198479,89667,39841,244651,128178,110545,10277,252187,175168,20347,200427,146296,150215,206856,229501,214526,82247,89161,182267,91797,79.84,56.83,57.34472598448902
155810,130200,152016,208900,119591,18025,220192,24535,247642,70762,124282,182725,174103,17039,15904,191669,183891,81161,169640,151505,260334,87.28,57.47,58.57381210061473
178582,215462,116822,74605,187859,101132,232532,175283,90965,5914,246585,121030,93182,44052,160148,30695,129418,15454,57201,201387,75348,88.9,58.02,59.72743671751206
33905,193557,64910,104306,102485,240337,228438,130156,21123,43611,117751,105288,144032,72833,231573,35894,214769,112858,226488,144236,72986,91.7,64.37,65.92570006927633
185177,108867,258596,94049,178971,231785,99730,251063,60490,39563,21753,46194,39661,60806,172626,61167,3162,127130,217866,154435,47800,102.19,60.45,62.39152102107863
68877,73906,1073,38188,109824,140139,96797,159858,148462,83522,249848,32896,181008,225234,135132,249095,161898,171695,177261,193930,14153,83.39,58.32,60.2246044617717
119706,235807,228322,204464,249531,229248,178408,209157,146609,102859,104351,104589,103316,27141,126228,166275,104973,16317,49967,17654,258124,79.1,54.66,54.89443271298178
54726,115507,42546,28817,89143,157477,13782,26838,61,148578,39653,140671,26598,248761,95318,160887,6684,18432,229200,54513,160974,83.33,54.56,55.64016426434001
98626,38941,166306,66127,250470,91066,157883,95463,124295,32202,30239,222543,127944,260335,256330,122156,125932,126834,81750,22514,37779,92.85,63.06,64.76534602974547
26787,196522,89819,194078,69404,125467,217279,181418,42320,135353,6054,53795,249295,249566,138479,94831,38430,180897,142389,239637,7089,82.11,56.13,57.97608122473905
198742,138440,78142,256508,168536,226315,23857,182503,221629,68449,135894,96128,238094,43789,93243,202358,58403,139615,141968,204224,131779,75.31,56.25,57.19677578450704
86419,166839,58469,160754,212732,206674,258192,198789,223511,51156,211308,62754,214521,105037,193953,210587,59438,52407,135695,129179,93208,74.9,55.46,55.8485202298178
191628,7596,259418,7323,207123,73247,123794,67941,50762,181540,158633,250744,90251,117238,211960,245634,189563,259008,91624,250347,255463,69.91,51.03,52.5548700011836
95587,21112,57792,26779,59466,123228,51565,88535,53575,126524,163595,258277,236010,159976,220315,500,125691,238341,171174,90179,209621,80.13,55.68,56.894350214398905
168593,22224,218798,173168,31432,238492,101852,205076,186513,196644,52250,125313,233048,46798,113750,206867,166682,87167,22740,209931,248031,67.59,50.01,51.54249971303677
254714,189222,103766,121414,105221,194865,248197,22261,190001,41643,44565,260338,33302,7221,39623,154877,237201,121989,211419,171929,38318,78.16,53.22,53.81509546459374
160320,216664,156203,256981,124349,172298,245751,91857,40871,143827,143729,34336,5609,3733,209546,254513,190413,170308,26941,138040,196475,70.06,51.81,53.56532777932095
244744,36503,113720,258618,228522,51067,216571,229089,55323,7338,66016,55778,76799,131376,63055,200194,153730,85456,67990,142698,109841,84.77,60.59,62.84753779987341
218679,34360,15965,238555,193966,92742,235327,120104,173663,152921,213659,237055,135465,110265,216829,240575,230206,131504,34278,139414,39802,98.37,60.54,63.19672609329111
137234,133836,4903,228800,115376,203556,48000,159528,1030,203433,209497,39269,45179,37108,124123,162293,190105,31545,145876,16188,85454,85.44,57.49,58.4018657067138
178869,135882,139126,145605,126481,205592,203552,27815,231532,146878,14895,65141,50149,72592,11062,202443,25623,133094,118535,147253,7304,68.98,51.14,52.80637278205887
199227,234359,239203,16611,116194,85357,160570,255160,132527,158895,134260,52272,181595,72662,118579,133210,139797,211645,125314,133104,246808,85.28,56.38,57.80972052056523
64921,183295,137156,229778,229632,246986,243219,68050,241902,146673,234030,247271,53107,220200,117316,35948,109218,31882,102855,115898,82832,86.17,59.11,62.04657835856054
19017,175939,63082,112286,19168,55755,175498,79371,205504,32073,235150,203668,40487,246285,187726,168678,173082,95992,37481,66350,231429,71.4,52.89,54.92274858205852
35980,253636,122614,57563,195738,249693,24674,104400,231979,127732,42675,259488,175068,218220,58644,42327,185158,113120,260590,135162,105856,71.13,51.33,51.47429775575863
88897,110435,51313,93484,83499,24168,189307,95932,5107,88599,145240,120237,115463,184326,4740,100753,86900,135642,163558,77451,134286,74.43,53.38,53.78575715156294
251861,16853,29582,258233,240791,206664,59914,254724,229740,27467,22036,69616,71282,10377,237475,204209,47592,70895,198122,33962,214899,70.04,53.51,54.803884120270396
110691,222714,238921,177202,214690,247988,67792,106416,39155,140666,240955,134947,149578,129659,183610,85733,23451,73154,15080,209607,180408,77.91,56.54,58.517581699454354
48062,111494,234693,18982,70496,245982,4412,166314,23217,210142,68302,21952,159430,224455,58302,17464,69324,226171,31897,118954,3026,79.73,57.19,58.328623201976775
88906,260651,144982,109513,242920,239973,70217,162975,33875,11326,138127,186000,62504,245924,28692,254073,42322,68654,13206,47486,52892,71.25,52.4,53.53571200616377
244382,81786,164802,79955,139220,199097,53967,76011,116834,131095,176201,46635,70915,90964,210679,4761,260701,65653,9686,4022,4832,69.95,48.71,49.01298226672161
192172,132554,144454,256390,49664,134803,124455,64403,245011,117192,27861,172574,214675,170421,113292,172100,129761,143106,218789,232974,103045,77.0,54.74,56.61195661131216
254361,132824,80683,180287,56408,257540,60179,89837,52068,218178,231192,185263,191062,166717,36626,106089,259375,91108,257394,14257,219411,76.37,55.81,56.78763624393121
34031,3736,18539,163957,194219,230648,67002,112916,42794,14523,22147,174385,220533,99845,228206,132629,175778,254523,73907,156966,63494,80.2,51.42,52.071512701503636
181583,76823,11858,120442,48588,41296,70526,116870,949,69007,95457,252126,86226,254967,258188,143412,84812,64080,9030,253143,231312,80.93,56.94,57.432605719538735
81146,57112,93476,47961,280,87905,100041,21991,124424,73119,131796,171971,52685,65058,132313,203486,1297,23816,69250,214183,23528,76.34,53.76,53.93839654359969
37713,104729,153826,10922,103279,5896,78550,79755,165064,61029,22146,153507,251038,138723,223673,196749,40698,172371,234042,187693,205531,99.71,61.57,61.48255543031535
230448,156384,102109,200359,85494,188921,258140,129549,39180,74495,189833,162190,168616,37945,11478,216231,218966,187435,233817,134474,164451,74.8,52.0,53.95186272795451
112523,192374,183776,212918,132524,36518,238521,137299,197359,132217,149023,218873,213098,210941,4215,216638,179954,153108,209182,234049,186433,70.89,52.46,52.766054667252014
179016,250630,181751,168529,60277,22306,8168,10973,34889,167017,94557,251531,27503,98728,219105,118328,146414,13311,164565,4938,164161,83.75,59.15,60.557967632954835
139314,178432,64109,128265,69151,868,119786,209111,18379,196153,244450,131850,235367,140299,24102,172831,137885,17314,195488,193144,124219,77.01,55.88,56.893419059939
66111,212131,19516,221808,69614,61547,191190,198296,53796,60486,193941,170375,255783,120675,129485,221650,100285,20116,125569,238673,179226,81.06,54.94,56.54945011664714
75318,201056,12254,161736,165882,168496,51980,20308,157209,38646,86972,66568,170795,194829,181636,79801,162830,148835,34980,3268,126463,86.19,55.87,56.62964923947313
15901,127349,70457,254937,176161,26088,181452,57067,177132,128349,76246,185826,135406,74853,121808,122132,122248,201108,31064,260387,234268,78.44,53.59,56.42484211881716
143937,52232,81703,256409,22506,245433,123979,4588,75913,120316,20044,214931,132807,253783,260730,117820,260562,70426,101409,55007,240269,88.49,58.32,59.6574938573442
247880,243934,55236,19559,152429,23672,37156,195949,137380,68631,249755,94254,34761,158168,215014,165588,133364,73287,232485,29537,184375,75.27,53.51,53.81285249106079
95731,60655,130518,235328,229676,127438,103305,6510,41698,941,249026,128895,178674,118164,106278,79154,190626,36885,109099,90167,98593,80.51,59.45,60.95362301621539
82857,31695,220261,86854,456,85078,196800,88676,219967,104401,31468,246384,242849,51312,186914,3072,236340,193962,75977,66378,97575,69.7,51.49,52.03760341756817
17033,102996,102278,261827,228057,154449,20027,94557,242592,112211,198090,72130,223937,12653,73567,26662,13531,218805,173533,74874,166451,80.83,57.95,60.088883655820865
245259,39037,65358,254551,69659,114357,133945,82733,49767,202685,97871,205820,250652,112131,231805,7605,212851,199663,165385,104868,239448,85.94,54.55,55.02093823567037
