n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
163289,66963,194455,12.42,8.63,9.007071845088337
93987,208455,180996,8.84,6.76,6.696063375113605
247057,220597,193959,9.44,6.48,6.643191708790677
170926,241781,138946,17.54,11.08,11.763453482252986
7603,220292,122060,9.87,6.93,7.0848433973433975
203412,247295,65287,10.62,7.61,8.069471466845073
170124,13593,236165,12.38,8.05,8.168807760048363
41117,29676,97463,17.15,8.03,8.235160122248113
122963,227657,64637,8.88,7.77,7.472807842145122
99813,142543,26731,11.45,7.09,7.1452798399805655
150455,65360,3437,10.6,8.34,8.195990874356353
191675,56814,106994,10.06,6.88,7.000202654884533
73264,47730,240214,12.08,8.41,8.78977894485461
227399,200730,102088,11.59,8.69,8.814318411087632
41839,199734,208967,10.93,8.23,8.438744588744589
18856,36377,161985,8.21,7.19,7.352195479562177
161861,116611,33213,11.99,7.71,7.490202641662725
34666,465,254892,8.93,7.49,7.819681083342688
228433,1392,54907,8.1,6.17,6.083404692286271
202792,56487,251691,10.85,8.2,8.507502011877012
257535,43478,228696,12.91,8.07,8.078364084050174
43642,75839,82221,9.63,6.42,6.675887816795625
252045,52137,141354,11.32,9.43,9.099017416882097
229669,177689,164031,11.09,7.46,7.807210735171262
53681,47623,246671,14.88,9.34,9.438433031933531
253901,181047,51610,6.85,5.82,5.726481372243516
253379,252994,234289,8.72,5.96,6.5747949918595285
100459,78325,5654,20.19,11.33,11.6659820693429
94683,108765,43504,7.6,6.22,6.299346251528086
245312,38194,69156,14.05,8.71,8.854868984868592
17075,86993,78999,15.6,10.73,10.811845100166021
214276,158101,153653,12.36,8.75,8.975681288208012
886,156232,177716,14.8,9.38,9.44344886227098
185513,88577,17307,9.18,7.08,7.3049569162874235
81253,93153,214569,11.63,8.08,8.357310824287282
80232,126024,182562,11.77,8.69,8.828905267818083
82783,48437,126148,7.88,6.46,6.701317330707877
123873,184724,46168,17.24,11.71,12.23339111881831
14942,67156,255616,10.81,8.66,8.269706261751715
246156,5994,248832,10.31,7.87,8.283890432484183
196554,93754,221480,11.29,7.94,8.884533781385047
105983,4736,143934,17.0,8.49,8.918407422888295
206500,109793,95993,13.69,9.37,9.292092308220488
98661,151655,220524,11.15,7.88,8.512634694772636
2379,118704,12249,9.9,8.24,7.805289572821647
185534,47426,163502,21.29,9.69,10.390476190476189
250394,250188,51516,9.73,7.21,7.637360571746954
31200,198111,64510,11.97,8.6,9.196172311196634
243703,214825,246951,10.77,9.08,9.142777956921009
121164,90277,134347,18.51,10.13,10.827987620660316
93006,234018,137547,15.64,11.57,11.247727782848305
65770,203319,121333,11.33,8.17,8.807686126766315
28325,154602,196188,11.42,8.68,8.246582878078186
204731,208988,96284,13.29,9.71,9.835554742257512
225363,77558,9602,13.55,8.24,8.605323264750002
113502,247935,256466,11.58,7.03,7.366401233195098
23902,54652,89323,13.77,8.32,8.93406513862729
134448,160124,95060,8.34,6.61,6.685296608153751
240671,38848,89118,11.98,7.9,8.393532118304845
72266,242272,184184,17.17,10.19,10.865151394008763
142906,24136,81906,9.98,7.81,8.408049741264026
179821,83047,80260,12.93,9.32,9.890593303900765
46524,209393,20498,13.35,9.42,9.406770835385256
164313,39024,189041,13.2,8.75,8.8750501085409
180662,81082,261285,11.07,7.64,7.920671161767549
126823,42343,188777,12.68,8.32,8.90946009619854
12727,21222,258657,10.15,6.42,6.617277339063053
157456,139861,242117,9.61,7.34,7.134254074287742
106401,8343,62216,7.16,5.48,5.594546313316137
194132,155703,90133,8.83,6.34,6.378857476169409
216608,65590,119449,11.96,8.95,8.931833791844962
170646,110561,38175,10.08,7.2,7.374106395765434
14603,256652,240142,9.68,7.35,7.733526113165154
167332,8577,210151,9.12,7.82,8.035931140346246
129384,87604,219789,8.68,6.66,6.5107415776277495
54279,34228,257242,14.78,8.98,9.251558312169838
191801,147861,248983,8.79,6.75,6.7246568112411556
34806,165255,235011,11.59,7.03,6.883894542628075
206571,108481,27952,15.88,10.18,10.501376520431828
44255,113916,97779,13.32,9.02,9.183719954788721
39123,15406,221441,6.65,5.84,6.0273396696119015
110269,77283,37015,10.75,7.35,7.5470535072083065
118791,241697,261960,16.45,11.17,11.754914982817128
162634,223412,44378,14.19,8.52,9.389017083964353
255854,136890,118892,14.98,9.41,9.711270434522314
251692,127967,180575,13.78,8.11,8.865012729753637
191235,83283,125578,8.04,6.78,7.062854157207204
71836,76289,123228,11.45,9.15,9.273054111639906
105850,236417,38405,13.59,8.92,9.351803526932837
29507,98828,215496,14.61,9.98,10.177154280904281
259099,139395,251609,11.68,8.27,8.299911688579453
47027,164355,245666,7.73,6.11,6.242703582609806
130894,227488,88730,9.44,8.08,7.882966056979123
47217,23366,128938,9.34,7.19,7.354082189827113
71384,135051,205001,11.08,7.85,7.873080847632394
143681,227380,131812,11.19,9.43,9.538245395885735
94719,16543,206051,9.65,7.24,7.20640929538127
208444,203134,93244,10.26,7.16,7.598304519569519
182084,154005,174068,8.48,6.66,6.976828575113977
8996,199134,80137,7.16,5.94,5.842903294415803
