n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
35222,149213,222149,210308,200218,18.09,13.57,13.931940187812465
16543,66864,30911,129875,199481,20.76,14.72,15.127080071956682
117831,123796,170811,99513,206759,19.55,13.44,13.2938505260492
55038,24604,127888,7431,234177,19.86,12.59,13.295171883132866
219090,102186,113447,159236,199827,16.23,12.78,13.107185937751197
201105,552,182408,116755,69816,15.02,11.7,12.101829873931191
189147,210193,59968,154967,247797,20.96,12.47,13.02075727550123
26798,236303,83212,8018,5851,17.62,12.02,12.56397936008707
6670,170274,141928,2413,246192,16.93,12.15,12.01381200589301
231010,99930,179957,56780,254028,23.58,16.45,17.01941214150773
110655,190277,7612,138314,58115,20.12,14.07,14.515188347974968
200199,114789,246196,129974,144928,12.82,10.95,11.70281616987266
61101,90623,60520,177431,57352,15.61,11.24,11.4920994912761
199477,120482,249625,75964,242878,13.61,10.79,10.92086869396651
5633,109099,219566,240194,145871,17.24,12.37,12.765546048280424
241746,168373,26214,48734,164981,20.81,15.44,15.710048314846873
260189,189697,225429,77696,31690,17.97,11.81,11.991400149723823
194811,87214,234769,189132,255132,26.0,17.09,17.836151788634083
186434,131281,245482,253548,110652,18.72,13.38,12.928366450589888
133095,217588,238599,175716,49767,20.32,13.9,14.00526114317781
79526,74490,154030,255184,231336,19.46,15.37,15.904613669535237
130904,221825,246654,132457,103115,24.96,16.96,17.36796844743887
154403,223684,9050,125888,63632,21.05,14.65,14.904936045143497
194964,209034,105981,108609,174258,17.93,12.97,13.877909684566278
45352,96239,143864,231402,184297,17.44,11.79,12.184411445997455
203381,176812,193518,98226,22666,14.45,12.04,11.868192104062615
115071,174000,133280,28293,204064,17.33,11.72,12.381873013569086
42912,136560,220188,103089,97130,18.5,13.18,13.41334905347101
128370,192090,7752,123029,11399,17.3,13.07,13.090875080693232
80879,184387,222377,257736,161168,17.52,12.17,12.480001470618499
155499,151565,103179,169648,44656,17.22,14.01,14.496933129847438
44195,131658,59490,257445,3224,19.63,13.18,13.520158168739936
201988,52302,141457,241195,225519,17.35,12.01,12.828545916565396
143743,60863,106025,134682,90131,15.08,12.31,12.870930624190311
249683,222156,151465,92608,120358,15.78,10.74,11.532810830419436
238486,70589,172809,143653,159631,16.96,12.01,12.152310502090803
250902,191207,1496,100581,205430,21.73,15.21,15.818914671704205
224644,215085,250254,232306,246011,21.92,13.53,14.633915568558425
194118,134348,212111,33881,135968,16.11,12.96,12.914557209302389
203790,147156,53866,111697,248963,20.94,13.96,14.09162989865656
14712,126117,228067,95613,149421,16.97,12.44,11.786398363099487
145332,52386,246681,132309,108370,17.93,12.39,12.455853402504875
127120,213215,93530,108638,90722,23.23,16.21,16.65236642772667
415,141158,141586,163444,206161,20.54,13.36,14.075798266726435
160550,86805,120100,157248,7333,17.0,11.96,11.942776692487755
210913,60189,166558,46454,144377,22.84,15.08,15.707831561595428
153212,47391,225708,24012,209305,22.16,13.9,14.01035307574778
144448,208954,223156,214024,244042,15.58,11.48,11.384290840788136
66923,8508,220658,247351,176452,15.94,13.56,14.359675169123943
18468,21819,227561,4375,118750,22.81,14.43,15.574751878580571
3816,197694,198072,73714,65420,24.06,15.37,15.930023339377078
70422,28701,209004,163788,48394,16.67,13.03,13.735842905140494
90288,76096,18223,43901,41844,15.86,11.2,11.14024948630447
66903,138249,249549,44078,172138,18.84,12.82,14.34293979224521
71542,169922,186539,77199,119197,15.51,12.93,13.071175661476275
184189,84410,130152,124196,29934,18.18,11.82,12.71648639821092
