n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
121374,160750,97861,70027,36317,48796,227163,23.83,15.2,16.10034751269113
177378,1686,88690,131801,121561,235483,158518,29.95,20.16,21.45760167866714
21185,87562,145298,245467,161651,183526,10720,30.04,19.16,19.65246572017129
190891,99357,44410,184413,248044,118494,249370,32.64,20.49,21.052900654796424
190071,110778,41197,44152,62393,13456,29084,37.66,20.47,20.14756231498074
34714,132715,228517,242176,259780,154777,16600,27.01,18.35,19.168425985479555
202954,180470,100575,206987,195584,232590,26652,25.77,18.43,19.046562904530475
240898,76330,53729,176746,58799,190239,207879,24.8,17.6,18.29492276664789
110560,233197,22993,202527,69922,238912,55021,24.4,18.45,18.653730383881886
103951,73710,89564,212208,11323,52293,185807,30.41,20.95,21.053826735705524
232364,1381,230522,107790,14362,234831,99304,29.25,18.84,19.30097191032018
221723,128899,36475,6155,62058,111339,192999,32.11,19.64,20.428233642177744
237610,223014,29372,252710,156459,1015,31780,21.85,16.25,16.648536835453015
200373,151702,51818,234698,223398,53229,86564,21.12,16.47,16.592315827635232
2163,233957,21889,34913,141497,240558,4578,20.91,15.25,15.734879047033026
131282,22239,150202,130217,140925,241415,51950,26.64,18.48,19.024950373828318
110128,18040,104368,50374,167435,200513,24488,32.66,21.45,22.152427776234614
183723,151991,38104,45234,246340,159616,188648,23.57,18.72,18.963698050872427
251219,10800,14201,70777,145505,179103,158959,18.77,15.8,16.17159878449432
223343,39139,195336,70336,193169,260802,150806,30.12,20.59,21.221479582361606
261610,8975,31807,227714,184934,105478,249278,22.7,16.43,17.33626429461666
237539,62072,42399,160203,132359,11280,192936,22.64,18.65,18.997827394447576
95930,221686,176717,136854,154732,148172,203063,23.04,17.97,18.482806330619624
180280,22738,227376,91015,28826,226501,231134,25.33,16.52,16.76719919951931
153128,95831,118305,55058,105426,52106,258492,29.15,20.49,20.927099402687407
248225,150584,195480,4814,99337,209550,159317,25.78,18.01,18.70882598927074
86169,161,113658,29283,55948,58118,116395,20.68,17.09,17.23165246789358
70683,85120,213568,23282,80518,165022,74681,24.7,17.92,18.32517603994361
27019,135660,205546,14460,6656,99976,204661,35.52,21.29,20.913627024278682
146914,211694,112364,130372,90722,185977,203891,31.39,20.91,21.09917062305763
65080,148380,193361,17374,111413,169830,60543,23.44,17.57,18.05614752613446
25106,252726,199423,105094,133661,97771,250568,35.54,20.26,21.105858718874597
