n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
59429,97101,252259,98400,33116,50624,184763,11476,22330,25.88,17.27,18.118199652757937
35872,64865,212668,261915,132739,54892,105043,168261,7941,41.61,27.86,28.602729213916074
120359,127769,118785,102361,129756,150241,50392,235232,217716,34.02,24.67,24.070235904779793
105561,23479,127165,61389,198973,5240,183805,69931,136361,30.02,21.79,21.879992657742292
106866,124340,236470,238854,99372,190317,29813,173791,67726,43.77,28.93,28.886484870606868
25471,259942,213446,16538,101284,162573,217456,98882,28240,41.49,27.22,28.155581070564242
173236,15218,88719,61451,181220,22558,130437,236818,170320,41.63,23.32,23.741662964565478
135478,236290,54504,152446,211915,37260,159047,16875,141483,32.7,23.33,23.529725555735638
248001,9821,128101,183977,50817,38851,247999,225525,151771,39.12,23.44,23.895277411701162
119606,191087,153188,230938,116689,74882,146098,93505,224143,36.1,23.91,24.467411163865844
230182,111704,35383,41497,200355,157630,25589,139410,180926,30.71,21.77,22.342468497867667
82257,184063,93593,249036,168796,221116,129664,132021,163574,37.97,25.17,25.8946160736369
51812,80947,39363,93254,138600,74541,133638,172243,18722,31.63,22.73,23.15145100887639
211844,236773,224584,133016,239354,183840,142851,57659,90230,32.15,23.39,23.894814953165458
63933,238001,3123,77517,89976,57616,69951,8822,110992,40.1,28.74,29.800247287115806
66787,98808,78211,218710,184915,233692,109292,45940,172344,34.79,24.27,24.38034663555989
103878,30477,43563,244460,173846,223375,255549,6719,52902,36.19,26.23,26.998301994025628
255085,200926,42120,78654,30535,3464,208776,200356,99733,32.33,23.11,23.712373369689264
89604,219256,44605,149192,114191,237275,60743,36448,107505,26.11,20.45,20.812449693437753
147848,116930,106733,109566,21008,154274,18343,75692,187916,31.36,22.02,23.027837601542274
24932,8921,22349,173857,27924,200351,136562,138224,94414,32.84,22.02,22.29159757656229
40280,211733,245487,132362,127988,185644,38937,256919,158451,31.15,21.43,22.50569993479608
16508,49723,4441,239236,36802,89336,101274,172545,150384,40.4,26.89,28.060014872730996
31653,194970,78488,92129,85310,252959,95956,770,169304,38.74,23.99,25.081740948709147
219068,130814,55071,15903,229422,161811,8682,231448,253011,36.27,23.68,25.23100040665079
227777,199066,211945,259643,214024,152045,45081,46608,88479,29.91,21.37,22.217824222161653
254245,112992,115742,31706,21850,52549,158702,58715,130340,34.91,25.82,25.892800920849442
212697,124043,207148,40506,99899,31987,28432,152236,188995,31.52,22.98,24.100195829878572
118669,169847,33148,188572,115207,134868,190191,23705,187561,50.35,28.37,29.75161502647371
243407,123547,147812,103219,214030,94583,119363,59118,13350,35.58,25.26,26.85764332812663
51775,12825,116974,29201,28359,55368,190091,1206,185682,28.54,21.83,21.659719531508628
157455,160305,237647,5929,171759,95446,217386,113356,138380,33.19,23.91,23.6205188608781
24467,256548,253699,196337,198084,157339,131749,214767,184856,38.19,25.73,25.694123232611382
149153,52606,131472,60144,84963,137819,100692,195022,136260,33.9,26.43,27.1552488081174
169678,51426,1752,75905,160738,77721,238249,20938,194849,31.59,24.12,24.92875619612744
84156,243159,237767,257354,105613,58633,165764,77704,20872,38.33,24.32,24.815735501180335
143481,109964,256063,195094,96797,211492,246788,194187,222948,28.91,19.61,19.999358885218633
84103,135338,79212,163869,217908,250885,93551,205330,234689,34.01,25.36,25.705262152673672
77549,170756,221699,28651,51312,127195,96985,99246,251286,34.99,22.98,23.96646979200885
153346,222050,240820,81786,53804,76151,104077,160703,100525,41.57,27.57,27.747435667423485
220892,240901,179395,137273,245379,181045,190849,93267,215199,41.28,27.36,28.049025426432983
177214,158580,153389,94944,176447,112066,51348,128435,215663,34.17,23.8,23.986238582171417
138656,132990,219727,21490,70476,42846,17990,130611,192185,32.3,22.4,22.768903716659377
227122,71010,259194,110031,204488,30681,163723,217404,216258,42.74,30.3,30.991654071864637
71812,258665,76453,71853,210822,216352,132182,70413,72700,36.74,22.89,23.937816189259454
260904,232888,165720,107951,64104,94728,64429,253085,65015,37.22,23.65,24.998763837716393
207136,132308,195922,120044,65509,61402,213194,212580,156394,39.06,26.45,25.72326590044574
137690,217507,51218,96453,130193,204673,27721,207994,29262,27.89,22.96,23.440847915743973
101696,22078,171623,44750,204535,148568,260330,112086,241290,33.65,26.22,26.48853059256846
11832,206110,238580,35862,5790,159982,50133,179578,69372,38.55,25.85,26.296313955606927
22818,25017,121291,120517,227727,175430,237352,73986,242565,33.17,24.15,24.787276190541803
148403,24300,33119,159144,93735,226757,257089,171103,17294,43.1,28.85,29.6949904331215
83864,207253,10147,219048,241118,22008,225199,35994,171348,36.07,27.17,27.80803545923939
210922,96010,260818,217171,19654,213596,60485,189979,9715,39.33,25.61,25.972580048825826
157217,207164,83701,58282,77750,195049,93714,253548,85666,38.87,26.03,27.337240691066985
17330,136329,235960,29882,240255,189106,159785,91238,113916,41.51,27.5,27.763363548948675
41874,41178,66824,234238,102050,38996,113043,190786,205049,29.17,21.38,21.545426926433628
17073,26155,140106,58354,21533,76849,242491,46316,88331,35.36,25.09,25.114362202941077
