n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
207969,150423,215470,21120,127148,8.983,8.3046,8.340000000000003
199810,68582,9652,118,38162,8.177,7.748,7.720000000000002
173753,153743,123274,253104,199158,8.4814,7.977,8.020000000000003
192632,97821,83725,201887,5738,9.053,8.498,8.550000000000004
71486,128146,210217,51932,191319,9.2538,8.5082,8.610000000000003
228722,108529,238701,141113,141361,9.0186,8.4702,8.580000000000004
178795,24696,50589,147696,145126,8.8144,8.3104,8.420000000000003
183375,211058,191073,69604,173775,8.834,8.36,8.410000000000004
210597,159920,179749,23097,221323,8.3778,7.983,8.000000000000004
111332,87970,259584,24414,94932,8.5156,8.118,8.180000000000003
209789,107464,210968,65663,116709,8.508,7.9828,8.010000000000003
183401,24583,198067,51684,183696,9.1464,8.5018,8.580000000000004
166440,208774,76332,25572,249396,8.7008,8.182,8.190000000000003
11975,154290,236654,52657,217030,9.1436,8.4374,8.470000000000002
171810,239252,94471,127586,244511,8.4366,7.9258,8.030000000000003
218293,238422,50783,134912,150964,9.1062,8.6404,8.650000000000004
168970,254288,182953,233939,211158,8.5106,7.9946,8.060000000000002
132039,255950,240200,7450,166062,8.4396,8.0194,8.010000000000002
94732,64197,157744,112640,79776,9.246,8.5792,8.630000000000003
93684,154443,31348,23511,131113,8.6046,8.0992,8.080000000000004
230707,177895,137694,52199,30624,9.2422,8.529,8.600000000000003
159438,173733,70224,81862,188482,9.0238,8.531,8.540000000000004
51438,99564,126810,58389,36203,9.06,8.4972,8.570000000000004
156589,55020,218629,226895,229634,8.8044,8.2228,8.310000000000004
183035,136876,3282,49478,203963,9.1286,8.5582,8.570000000000004
44339,4471,169865,87270,146209,9.0938,8.4712,8.480000000000002
237092,175991,162598,162167,80248,8.6228,8.041,8.140000000000004
98207,98934,138247,102017,75798,9.1608,8.5036,8.590000000000003
33248,177924,128124,14109,48588,9.1144,8.6274,8.590000000000003
110857,155695,195641,261705,104271,9.3094,8.6346,8.650000000000004
25160,257156,115671,64306,211200,8.6854,8.1594,8.140000000000002
256706,23345,233899,158120,175693,8.3688,7.962,8.080000000000002
228189,233180,116945,117229,205496,7.9046,7.5368,7.560000000000002
217909,99619,208692,20046,135446,9.0488,8.5282,8.580000000000004
111783,123451,79550,184987,214049,8.423,7.7724,7.830000000000002
107233,246605,22526,50369,195694,9.2884,8.6002,8.660000000000002
178305,69683,118320,127838,189432,9.1204,8.5964,8.610000000000003
205528,252988,45122,4860,5733,9.2972,8.591,8.650000000000002
141018,32373,65834,154511,210181,8.6048,8.0868,8.140000000000002
