n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
250618,226258,248467,222574,14824,22.9985,14.7138,15.149566108888228
24008,22248,94649,219021,44324,14.3133,12.0605,12.472828762553744
192930,212064,175565,223827,80776,20.5361,14.4648,14.804758590466548
65951,158844,55631,159069,9367,18.0777,12.821,13.041081860245791
152359,178584,41519,262070,112897,16.5354,13.0014,13.447131899526461
167371,103162,210677,189533,225507,19.7573,13.8087,14.101159127512803
260785,133448,248878,97533,142652,17.1783,11.6378,12.020027551633238
245291,116615,131613,70317,236246,23.6331,15.4977,15.690929635574427
9417,228336,7194,95424,121869,13.3977,10.0674,10.176418646137778
244277,83483,237961,99618,111047,17.4147,12.5553,12.894544337221973
233777,231752,137822,43119,146934,24.7868,15.6976,15.98688702764909
46513,61898,60451,6254,46326,20.1251,12.513,12.568827432152405
85234,45505,35834,133737,133752,13.7042,11.0652,11.206936832989385
94290,261798,134673,176810,146771,21.0393,13.8598,14.098468292112099
47669,260879,234244,116821,208865,19.2327,13.2327,13.405015120669393
108703,192518,137721,237658,238152,20.3661,14.9661,15.511508992024057
199985,95487,207027,155578,92743,15.9986,12.8357,13.210928549974652
94866,257157,225172,252156,116855,25.0697,16.6633,17.264117386573048
42253,250329,197657,104821,187472,20.1912,13.3797,13.784260978912975
193616,120954,171680,139029,65510,24.113,17.4068,17.526817391335697
128454,73164,242439,130564,131292,22.2428,14.3387,14.432006177250415
135106,217979,208723,92779,173456,19.4995,14.7404,15.14664312761821
231434,119193,235851,236762,120851,17.8417,11.969,12.082875751419385
91953,148820,190286,241259,146166,18.6719,13.1829,13.435410524479224
189732,119682,127561,172722,58146,23.4991,15.2359,15.9124059718768
246571,85109,213564,183388,218897,26.7316,18.2047,18.549156308595762
43534,229820,238011,161571,70290,15.3753,10.7405,11.084244089041107
202633,238912,125767,81150,79507,20.0791,13.7959,13.97626955109559
250966,209520,185127,217859,132185,17.7578,12.616,12.845304833600501
147374,135724,133000,170764,161430,19.9745,13.7168,13.937979640933332
154126,106606,81748,191608,54478,16.2828,11.9585,12.251450634072398
128163,134189,96101,244882,179367,17.2934,12.4647,12.708315682605999
163385,231229,19759,205594,215062,17.6508,13.0319,13.284101251665028
