n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
221360,100989,198693,233372,110250,9.62,8.64,8.660000000000004
10612,67873,253090,134027,127383,9.38,8.82,8.490000000000002
106151,240709,205468,217540,79511,7.89,8.11,8.130000000000003
253702,124937,93860,152930,233743,8.33,7.18,7.5500000000000025
238056,57263,132300,36509,73882,9.29,8.9,8.630000000000004
36633,198129,24859,162101,209558,8.49,7.39,7.860000000000003
65668,258804,238484,139608,257631,9.03,8.6,8.570000000000002
184856,212393,157785,236497,38525,8.12,7.71,7.660000000000003
81303,25890,191321,19331,235625,9.17,8.51,8.480000000000002
222946,179302,86559,123769,146751,9.75,8.71,8.600000000000003
26398,92744,113815,82889,160140,9.05,8.65,8.580000000000004
167883,239340,53602,253390,144840,8.41,7.65,7.8400000000000025
125045,116049,226835,136669,68286,9.09,8.74,8.580000000000004
16326,211033,240770,143838,240122,8.73,8.08,8.500000000000004
3680,24450,188666,220224,104549,9.26,8.63,8.540000000000003
186188,216228,205795,175152,163909,9.27,8.61,8.600000000000003
299,160405,129388,217071,227436,8.23,7.75,7.670000000000002
87329,63939,191438,85250,184455,9.38,8.17,8.580000000000004
228188,16510,50087,240391,148769,8.05,8.01,7.860000000000001
58118,62551,210592,253634,37354,9.8,8.81,8.610000000000003
210548,142341,117432,23911,21088,9.03,8.73,8.650000000000004
260367,83900,229398,133153,261612,8.81,8.86,8.530000000000003
244536,128263,28588,79022,144511,9.22,8.43,8.280000000000003
76307,185220,32718,143508,87228,8.98,8.01,8.280000000000003
213507,241762,141632,53268,252664,9.57,8.56,8.580000000000002
209565,158121,143453,154040,75407,9.01,8.37,8.480000000000002
116651,24020,156313,209173,100899,8.98,8.15,8.260000000000003
83111,150903,63466,76108,48200,9.21,8.52,8.620000000000003
49647,215342,48950,8643,160634,8.6,7.92,8.060000000000002
257241,172139,68172,124919,18110,8.7,8.11,8.150000000000002
23546,177923,198601,34137,229840,8.88,8.27,8.180000000000001
39203,242058,10129,220845,21036,8.65,8.13,8.010000000000003
235450,183323,241980,217411,141715,8.97,8.44,8.580000000000004
179175,102575,219641,184885,137513,8.04,7.48,7.610000000000003
72255,136784,212763,61735,222687,7.94,7.54,7.590000000000002
56413,234629,178120,154612,216337,8.82,8.51,8.590000000000003
248975,109949,151963,72144,118112,8.52,8.96,8.640000000000002
129146,173079,168085,261163,183559,8.87,8.02,8.220000000000002
240370,257546,207965,93681,21593,8.47,7.85,8.210000000000003
85019,160637,30238,127518,153898,8.63,8.81,8.480000000000004
165189,87889,221532,49906,63710,8.71,8.11,8.310000000000002
4249,191755,71050,30706,184898,7.46,7.18,7.250000000000002
57792,97533,208295,44690,87172,8.89,8.08,8.390000000000002
111707,213886,16303,26373,205289,9.21,8.34,8.490000000000002
38366,224217,182890,57350,11857,9.18,8.38,8.580000000000004
214203,150435,166253,238555,245503,9.05,8.9,8.600000000000003
140036,157855,178412,19397,6998,9.17,8.66,8.550000000000002
32622,166461,49419,158947,217602,9.78,8.41,8.610000000000003
150982,31377,102553,23994,97029,9.32,8.66,8.600000000000003
218587,257036,30420,9539,158729,9.09,8.77,8.690000000000003
5671,51010,251928,254461,48489,9.26,8.54,8.590000000000003
188249,32478,125628,55201,190619,9.96,8.76,8.610000000000003
209910,16013,245620,178086,5972,8.67,8.2,8.280000000000003
142668,111573,162686,26607,219126,9.04,8.57,8.580000000000004
68136,18351,57889,18866,169587,9.25,8.89,8.620000000000003
78921,91827,114312,47269,16001,8.41,8.15,8.280000000000003
132025,122455,10322,156364,26455,8.59,8.55,8.340000000000003
183323,259059,102570,52259,68192,8.71,8.2,8.450000000000003
