n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,43.24,11.6,11.625522622391479
707,965,861,757,667,35.83,10.35,10.505164250079972
944,542,29,860,476,71.1,15.21,15.510918092258395
794,965,255,664,53,57.77,16.14,15.780289836257912
922,160,115,380,480,56.59,14.9,14.697493125517047
889,252,389,556,104,43.09,13.66,13.383148967681487
587,255,13,748,221,47.25,14.86,14.640774331564543
417,286,186,938,888,39.19,13.24,13.559113741901175
784,398,163,780,816,42.14,11.75,12.068679156493225
73,142,632,632,455,48.92,12.05,15.103802926231314
129,135,1,995,892,70.22,17.72,18.096217407913187
5,214,792,220,983,59.72,16.83,17.206712780480466
169,893,170,296,321,48.79,14.96,14.873480903958912
984,203,552,897,694,37.48,11.52,11.590594071856406
640,209,186,963,991,60.28,14.55,14.590734010974579
707,201,989,988,915,46.57,12.16,11.696137669420894
392,305,22,369,424,88.96,25.04,24.746748665587152
169,958,149,270,66,65.1,17.66,18.096066529105496
339,308,837,617,600,35.48,12.28,11.905994920580717
3,610,694,724,346,41.26,13.32,13.935531496180381
67,317,363,838,313,70.09,16.51,16.59421128341753
492,713,323,189,492,39.48,11.78,13.460783944790904
483,721,180,58,262,64.2,16.13,17.47984242346289
998,961,23,972,767,67.27,16.22,16.70391601099457
366,865,413,18,562,103.58,25.33,25.354832612247193
806,428,374,385,592,38.16,12.24,11.918394161694787
861,9,463,47,724,84.46,20.79,20.93206127170202
185,638,978,977,201,41.8,12.63,12.386115478859512
121,773,251,951,839,52.38,13.64,13.777527113283039
964,473,352,524,363,43.19,11.98,12.533992568548621
914,537,256,794,473,34.71,11.51,11.647650953202174
110,603,766,799,816,44.23,13.23,12.838869939645875
376,880,302,37,443,78.68,17.51,17.719604423000938
968,93,213,348,525,53.58,13.65,13.837273477017012
625,371,940,151,348,47.23,12.9,12.759143757789564
282,946,719,558,94,56.52,14.74,14.255697860948517
319,702,324,313,181,55.25,13.62,14.045148422302749
817,80,641,152,738,54.82,15.91,15.264947614239851
705,316,495,165,737,50.3,13.32,12.750343422417668
49,82,615,546,945,65.75,17.47,18.18767894569807
415,32,243,758,608,74.29,21.11,19.911869054191083
352,846,256,466,666,40.79,12.04,11.983161136861437
431,149,57,938,653,67.74,17.56,17.036158124689873
33,820,505,342,858,72.28,17.91,18.937532642318043
212,133,749,577,972,55.73,14.0,13.567589836512061
135,645,918,806,423,46.06,12.35,12.64497522727491
109,172,444,381,152,67.4,18.06,18.408543859051203
60,865,430,301,144,72.05,14.78,14.811819486275924
464,944,635,872,173,39.27,12.09,12.55582098233187
999,534,464,983,499,50.21,11.85,11.894788025273163
705,747,325,490,280,50.15,12.82,13.086460442582512
298,481,413,923,150,56.9,14.23,14.417097599995946
115,386,841,544,982,48.81,13.99,13.988106882783834
183,642,959,511,888,36.76,11.19,11.548967355039553
346,184,91,503,278,54.68,13.96,14.94467162787776
527,800,561,888,514,42.17,10.81,11.235605999615466
369,64,804,814,793,64.93,17.95,16.93995098215527
364,711,601,679,35,55.0,16.32,17.27497086047994
777,313,372,572,721,34.62,11.62,11.876124480524354
684,287,855,497,271,50.78,12.17,11.958905286332916
788,707,733,300,979,39.51,10.99,11.858724778333032
968,348,665,182,594,41.48,13.01,12.275962978341795
872,11,485,560,792,52.61,14.44,14.256438778518707
256,333,687,280,474,38.64,13.25,13.119662292252496
295,836,512,662,689,42.79,12.43,12.29801899942104
816,365,356,280,659,43.69,13.95,13.679923216704509
353,755,960,848,418,33.98,11.31,11.377041069002395
358,944,863,176,890,46.99,11.93,11.855295331299837
887,704,460,999,373,43.71,10.19,10.698172711326713
979,342,530,145,542,48.99,13.68,13.275780944774388
170,203,856,370,959,52.39,13.56,13.675232150108714
874,488,289,708,80,55.42,15.09,14.532431203416456
736,686,747,426,175,53.14,13.39,13.144747555218084
631,799,958,594,528,30.98,10.11,10.468805011243285
681,958,430,309,638,42.42,12.32,12.378199070327518
566,793,887,652,277,37.89,12.52,12.547637143020555
737,28,200,163,600,84.5,19.29,19.357655131306647
451,639,665,185,224,45.88,11.27,11.703480372882222
777,702,184,646,735,41.2,11.38,11.385269165682685
42,482,231,169,55,77.25,21.69,20.745172943296545
913,136,113,324,991,59.44,16.8,16.686878881004983
185,494,198,561,36,84.7,20.05,20.46875034408231
425,476,359,389,678,47.58,11.29,12.241924285371907
626,73,604,209,243,62.04,17.29,16.696354930296547
735,924,382,0,358,70.13,15.27,15.583443256912934
415,974,285,876,419,45.15,12.34,11.968810011815902
887,117,705,851,560,58.95,13.99,13.947637593638131
382,987,36,563,628,69.66,17.68,18.157739986163957
308,97,302,558,524,68.11,15.88,15.57177668971412
347,973,594,300,981,46.59,11.64,12.172259855060677
360,838,132,429,419,53.63,14.2,13.82447566050126
832,577,657,551,378,38.79,11.72,11.434882676140676
478,145,160,610,391,59.6,14.76,14.531693939600933
577,488,980,203,991,45.53,12.24,11.993495629090967
136,623,93,359,840,68.64,16.54,16.721221228844467
914,677,0,391,110,75.47,18.76,18.1317529054782
333,579,938,629,552,46.08,12.65,11.770690311279473
144,333,644,897,912,39.82,12.1,12.686985337417061
577,384,439,442,231,50.77,13.56,12.853483804246846
505,298,491,995,725,46.71,11.5,12.341016793280943
