n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
275,1165,1735,1643,1564,210.44,13.2,12.52
129,522,241,1014,1558,215.43,17.19,15.68
920,967,1334,777,1615,193.85,12.87,12.84
429,192,999,58,1829,282.49,26.53,27.119999999999976
1711,798,886,1244,1561,175.46,16.55,15.679999999999989
1571,4,1425,912,545,335.3,38.41,42.27999999999998
1477,1642,468,1210,1935,211.73,14.63,15.240000000000002
209,1846,650,62,45,298.83,30.47,35.99999999999996
52,1330,1108,18,1923,336.7,35.93,35.039999999999985
1804,780,1405,443,1984,176.73,12.36,12.92
864,1486,59,1080,454,284.49,18.93,20.12
1564,896,1923,1015,1132,126.47,9.34,9.76
477,707,472,1386,448,210.44,14.27,13.120000000000001
1558,941,1950,593,1897,167.13,12.11,12.839999999999996
44,852,1715,1876,1139,270.29,27.9,26.479999999999986
1888,1315,204,380,1288,251.94,16.99,15.8
1482,1761,607,247,1521,202.73,13.14,13.16
681,1834,1477,1993,1456,196.26,15.14,14.2
1025,1917,1980,864,1039,187.9,14.19,13.839999999999998
1699,1864,1372,388,621,194.14,12.97,13.000000000000002
581,1203,1993,1807,1022,255.2,19.98,20.279999999999987
1733,1926,1034,805,1206,190.96,13.0,12.76
1747,70,983,497,1523,220.91,13.42,13.72
1633,827,848,1361,354,191.74,12.12,12.68
751,1123,1807,1439,1588,256.09,18.9,18.47999999999999
1381,1511,767,177,898,239.48,16.51,18.11999999999999
1359,1041,221,1594,335,230.4,14.64,14.999999999999998
1066,1720,805,758,1002,240.74,17.94,18.999999999999982
1500,60,961,89,631,257.25,21.09,21.47999999999999
1440,1737,1259,1214,1184,229.33,19.97,18.679999999999986
806,1325,348,345,1028,231.68,14.85,15.4
464,25,1578,408,1105,333.43,28.78,27.79999999999999
1884,1761,1122,475,828,171.22,12.3,12.879999999999997
1052,704,1950,1735,1183,186.32,13.71,13.999999999999998
723,940,1863,551,1350,207.57,15.85,14.920000000000003
1122,1247,1960,1493,11,284.96,27.3,27.19999999999998
785,1604,1755,1680,1955,146.24,10.74,10.48
1814,1921,1516,1049,1657,187.78,10.35,10.719999999999999
264,1062,1592,1149,420,190.44,13.94,14.2
872,1945,114,985,1781,205.82,14.86,14.760000000000002
746,1167,1135,409,1927,252.86,21.86,19.199999999999992
1033,846,993,1665,730,205.41,13.71,14.639999999999997
848,708,3,1102,1106,332.5,72.61,72.52000000000008
1276,1610,1254,678,938,209.98,14.24,14.440000000000001
1228,57,1647,470,1301,206.2,15.95,16.080000000000002
362,1127,1196,370,1763,178.64,12.95,12.52
187,1635,1128,1632,1743,215.89,12.31,11.559999999999997
1672,1906,522,66,1723,237.54,19.25,18.19999999999999
1932,1378,144,170,1777,247.48,16.4,16.679999999999993
34,927,29,1544,1547,265.67,17.1,17.639999999999997
575,511,550,224,1632,257.04,16.36,15.320000000000004
1279,378,705,594,142,259.07,19.03,19.559999999999988
342,326,522,1080,1949,262.0,23.92,22.75999999999999
344,1344,558,1327,1457,263.28,14.6,15.560000000000002
603,931,1438,659,1016,218.02,14.81,14.239999999999998
970,233,48,638,791,266.9,19.82,19.96
703,862,1630,385,529,252.25,12.63,13.44
222,519,1842,1495,1044,157.63,10.96,11.24
428,1977,1240,884,1673,200.25,11.66,12.000000000000004
1997,42,461,36,813,296.53,22.27,23.240000000000002
299,72,1472,1965,328,261.15,24.27,24.55999999999999
912,1443,1036,1388,873,183.4,13.38,14.199999999999998
1115,1704,451,1998,1291,164.0,16.6,14.599999999999987
1633,1423,1057,923,457,228.44,17.66,17.31999999999999
1072,1328,62,808,1382,201.92,17.43,17.47999999999999
1179,1645,657,1351,1292,122.56,10.48,9.920000000000002
873,120,1510,611,257,247.35,15.05,16.080000000000002
1982,434,1793,97,627,256.54,15.72,17.08
144,1758,156,635,1878,263.55,14.56,15.52
1923,610,1523,324,852,251.47,18.13,16.04
1156,516,267,17,1148,322.63,27.49,27.879999999999985
1799,1741,77,1209,1678,262.89,16.92,16.68
445,1970,1844,1167,943,243.68,22.5,22.519999999999975
351,1695,1777,1781,1994,184.0,12.57,12.68
1597,1441,1275,1042,76,228.63,18.66,17.999999999999993
774,410,710,202,421,273.64,19.2,20.08
1174,1380,1836,886,1211,194.41,16.22,16.759999999999987
397,1008,213,1920,1363,216.41,15.24,15.120000000000001
798,606,1032,1023,35,233.16,17.23,16.52
666,1253,1785,823,1842,225.26,15.51,15.239999999999998
576,37,321,411,1756,265.12,21.55,20.15999999999999
671,1661,1153,1602,276,142.82,10.97,11.16
694,879,436,545,1381,179.02,12.44,13.0
197,1715,776,1909,1121,234.69,13.49,13.640000000000002
704,1872,1807,1715,1407,197.0,11.82,12.32
1094,992,1572,1090,480,198.19,12.86,12.600000000000001
133,1485,82,173,272,284.24,25.57,25.43999999999999
347,341,1865,1102,436,266.24,16.75,16.0
548,1554,680,1229,1036,139.3,9.56,9.88
1722,522,753,693,696,284.41,17.54,16.279999999999998
233,596,481,1776,1933,215.88,13.34,13.720000000000002
1236,1596,1954,1464,1817,213.52,12.42,12.959999999999996
1001,277,1187,1128,1577,240.37,17.41,18.079999999999995
213,656,80,832,149,294.99,19.67,20.080000000000002
778,1773,1614,301,1696,193.51,11.46,12.36
256,698,234,1259,1203,233.61,20.35,18.16
1601,1896,774,156,1168,185.41,12.92,12.560000000000002
1126,458,1159,167,1950,264.86,21.52,21.839999999999993
546,747,1824,605,1155,198.99,11.24,11.759999999999998
1094,1894,234,937,1836,164.98,13.63,12.119999999999997
