n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
36,5,31,48,16,7.73,7.15,7.210000000000002
2,0,9,42,37,7.83,7.99,8.230000000000002
30,48,47,23,20,7.52,6.54,7.080000000000002
49,1,17,31,12,7.74,7.01,7.170000000000002
46,26,34,34,43,6.3,5.43,6.870000000000002
6,12,36,35,44,7.68,7.84,7.810000000000002
46,16,42,39,43,6.89,6.59,6.510000000000002
5,27,21,5,23,6.51,6.23,7.830000000000003
26,16,28,44,6,7.7,7.15,7.4700000000000015
48,12,44,40,18,7.96,7.42,7.700000000000002
6,2,37,12,41,8.58,7.83,7.8000000000000025
23,31,12,32,36,7.68,7.1,7.360000000000003
41,44,32,1,40,7.34,6.76,6.740000000000001
23,15,38,27,19,7.7,7.45,7.3900000000000015
22,37,7,5,32,7.85,7.13,7.450000000000003
43,33,12,7,38,8.3,7.55,7.960000000000003
42,17,19,46,12,7.66,7.26,7.470000000000002
24,30,14,8,38,8.68,7.12,7.600000000000002
13,44,33,0,12,8.16,7.98,8.15
49,10,1,41,21,7.19,6.88,7.040000000000002
35,42,39,39,19,5.49,5.26,6.45
23,24,33,24,18,6.66,6.2,7.530000000000002
8,43,31,3,11,9.45,8.83,9.110000000000003
27,38,47,25,6,8.28,7.86,7.710000000000003
28,15,5,38,42,7.87,7.12,7.340000000000002
28,28,24,4,33,7.14,6.67,8.39
27,30,19,45,26,8.03,6.64,6.880000000000001
5,12,47,43,17,8.38,7.36,7.600000000000002
28,31,46,11,1,7.44,7.13,7.040000000000002
1,34,7,16,37,7.03,7.26,6.910000000000002
23,12,16,32,28,7.79,6.98,7.360000000000002
21,33,16,26,26,5.91,5.64,7.010000000000002
39,31,17,38,30,7.13,6.83,6.880000000000001
42,30,31,9,46,7.39,7.22,7.290000000000002
24,31,19,40,29,6.8,6.63,6.750000000000002
20,23,42,10,39,7.66,6.86,7.410000000000002
24,44,38,17,20,7.57,7.26,7.270000000000002
41,25,31,46,10,7.69,7.31,7.300000000000002
18,35,0,39,28,8.63,8.39,8.38
3,11,1,39,49,8.51,8.02,8.250000000000002
36,7,43,45,23,7.42,7.03,7.550000000000002
23,31,37,3,12,9.01,8.57,8.810000000000002
9,17,39,0,27,8.61,8.44,8.520000000000001
33,31,4,30,14,8.24,7.91,8.160000000000002
6,23,23,9,43,7.07,6.71,8.040000000000001
40,15,38,20,9,7.92,7.9,7.830000000000002
2,40,42,6,45,8.06,7.52,7.550000000000002
6,2,41,30,29,7.72,7.35,7.480000000000002
46,4,40,1,44,9.17,7.92,8.330000000000002
35,8,39,5,10,8.29,7.84,8.190000000000003
39,40,16,41,28,7.12,6.97,6.730000000000001
31,44,1,40,8,7.65,7.25,7.170000000000002
12,28,30,49,28,6.74,6.21,7.370000000000003
28,35,17,30,45,7.52,6.97,6.900000000000001
37,4,18,23,18,7.06,6.91,9.010000000000002
23,2,5,32,17,8.51,7.29,7.600000000000002
17,17,30,27,28,5.88,5.81,7.070000000000002
23,2,45,5,15,7.38,7.14,7.440000000000001
38,40,15,34,47,7.02,6.78,6.810000000000002
2,47,11,21,23,7.51,6.96,7.310000000000001
2,3,47,48,48,7.72,7.4,8.620000000000001
13,44,27,21,4,8.96,8.65,8.820000000000002
10,46,43,7,25,7.98,7.72,7.640000000000002
35,8,29,47,31,7.15,6.92,7.080000000000003
40,4,8,4,22,6.7,7.02,9.48
33,1,11,33,45,5.82,5.63,7.230000000000001
9,11,18,47,9,7.5,6.49,8.640000000000002
32,36,24,14,14,6.26,5.5,7.310000000000002
44,36,45,8,26,7.89,7.62,7.630000000000003
44,10,48,20,15,7.38,7.5,7.500000000000002
35,36,0,36,24,7.8,7.04,8.420000000000002
12,48,20,24,33,7.65,7.51,7.630000000000003
28,0,25,33,35,8.41,7.6,7.99
42,8,45,14,41,7.54,7.24,7.480000000000002
34,47,23,17,42,7.5,6.94,6.900000000000002
11,9,10,44,40,8.79,7.72,7.990000000000002
8,24,4,3,0,10.3,9.87,10.229999999999999
2,30,48,3,7,9.41,8.77,8.860000000000003
41,45,34,6,43,8.13,7.53,7.540000000000002
23,38,2,3,34,8.99,8.69,8.81
14,26,14,48,36,6.04,5.79,7.270000000000001
44,18,5,30,4,9.47,9.2,9.180000000000003
46,36,3,10,42,8.91,8.59,8.990000000000002
28,7,7,44,11,6.54,5.91,8.460000000000003
3,43,1,48,43,7.25,7.28,8.590000000000002
46,27,41,45,18,7.67,7.39,7.280000000000001
16,28,14,12,41,7.96,7.26,7.460000000000003
49,34,41,13,17,7.53,6.85,7.200000000000002
37,0,16,33,46,8.1,7.88,8.250000000000002
47,45,43,21,49,6.9,6.94,6.700000000000002
33,5,37,38,41,7.11,6.9,7.100000000000001
2,23,23,44,7,6.67,5.8,7.850000000000002
14,48,1,23,44,7.55,7.19,7.050000000000002
21,27,43,3,22,9.41,8.7,8.990000000000002
8,1,0,21,4,8.42,8.7,8.879999999999999
31,0,29,16,5,8.48,7.69,7.860000000000002
43,37,39,17,14,7.42,6.8,6.920000000000002
8,8,26,34,11,6.09,6.0,7.950000000000003
15,42,24,38,27,7.23,6.91,6.830000000000002
36,33,40,30,17,7.05,7.42,7.030000000000002
