n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
24,48,26,2,16,13.38,10.56,10.797756410256408
32,31,25,19,30,12.14,10.19,9.940252340252341
22,37,13,32,8,15.71,11.18,11.95796448921449
18,8,48,6,39,17.03,13.65,14.223860398860399
16,34,45,38,9,14.79,11.53,11.794579263329261
19,6,46,4,43,22.48,18.51,19.22273097273097
21,30,35,6,22,13.99,11.31,11.680799755799754
27,20,39,40,13,14.54,11.61,12.36990995115995
35,30,28,33,16,10.73,8.7,8.722741147741147
3,35,0,5,46,22.33,19.05,20.540972222222216
25,45,42,40,0,16.59,12.7,13.455158730158729
39,31,21,15,46,12.59,10.11,10.189130545380545
20,45,4,12,36,19.88,15.89,16.576973951973947
14,15,9,34,28,14.74,11.13,11.481504375254374
5,5,20,32,31,11.76,9.35,11.808938746438745
6,19,35,18,45,15.84,12.25,12.585124135124135
7,35,21,34,13,17.04,12.76,13.518864468864468
38,35,37,18,28,14.51,11.1,11.202090964590964
5,38,24,20,36,16.23,11.95,12.633569902319902
15,18,11,12,11,14.24,11.29,14.088573463573463
2,39,42,16,30,12.3,9.7,9.31618844118844
4,5,43,48,8,18.9,14.86,16.078240740740736
9,2,5,44,34,16.02,12.38,12.422827635327636
43,25,45,33,17,11.6,9.69,9.12257326007326
33,15,13,43,37,12.15,8.29,8.7134361009361
26,37,17,28,31,11.94,9.39,9.960907610907611
42,41,44,22,5,13.38,10.08,9.498214285714285
20,39,7,31,37,15.53,11.3,11.890878103378103
40,21,12,15,1,11.79,9.74,10.027129120879119
46,17,7,45,14,16.0,12.61,12.821268315018314
23,10,21,27,3,21.42,18.76,20.03915598290598
6,9,44,14,2,17.3,13.73,14.416697191697187
36,40,34,38,43,12.67,9.88,9.790188746438746
4,1,7,40,12,21.53,17.96,19.31055402930403
38,36,7,25,5,15.61,12.49,13.24347781847782
23,7,2,38,1,15.48,11.54,11.656272893772893
12,11,45,7,30,17.93,13.45,13.993538868538868
13,46,3,43,1,18.86,16.08,17.359493284493283
34,27,39,6,16,14.09,11.53,11.645390720390722
4,14,4,41,19,17.84,14.41,23.09066697191697
22,27,11,3,32,20.32,17.38,18.229899267399265
29,2,38,6,44,15.39,12.32,12.744536019536019
25,12,16,22,46,11.38,10.17,9.925213675213675
30,36,10,44,43,13.79,9.97,11.16806573056573
13,49,3,43,10,18.5,15.86,17.434699328449323
10,21,33,16,7,16.59,12.55,13.461034798534799
38,28,42,11,0,17.49,14.15,14.708234126984125
30,43,26,36,32,12.67,9.74,9.898809523809524
19,41,22,24,42,13.43,10.47,10.809165140415141
16,9,35,44,0,18.33,14.27,15.205820105820107
29,47,5,21,47,12.68,8.52,10.645937627187628
2,34,17,8,15,13.48,10.39,10.788878713878713
48,30,22,39,18,14.19,10.4,10.924829568579568
43,22,37,40,39,10.9,9.02,8.812632275132275
8,45,19,24,47,13.92,10.5,11.205357142857142
26,41,5,0,38,17.82,14.29,14.536309523809521
12,44,21,10,15,14.86,11.88,12.17289886039886
14,40,28,24,45,11.44,9.71,9.670886752136752
43,36,26,2,25,12.61,9.72,10.12874949124949
44,36,26,49,42,13.2,10.08,10.001266788766788
45,2,10,28,4,17.98,15.18,16.383419820919823
16,44,10,28,33,13.53,9.73,10.323494098494098
31,35,38,48,0,18.25,14.69,14.856580687830688
2,31,20,19,29,13.99,10.88,11.559030321530322
3,26,12,35,40,19.27,15.32,16.5254884004884
5,46,8,0,25,18.75,14.9,15.361210317460317
43,26,20,0,13,17.24,14.2,15.094609788359785
0,45,48,0,43,13.46,10.4,18.07962962962963
33,39,6,12,7,16.18,12.49,12.524572649572649
38,41,12,19,17,15.39,11.86,11.704797517297516
44,11,6,30,25,15.43,11.21,11.812362637362636
40,5,1,17,28,12.35,10.44,10.209910459910459
7,16,8,41,33,14.63,10.76,11.50738196988197
41,41,22,7,9,16.68,12.06,14.138385225885223
17,1,2,2,13,11.27,8.68,10.062026862026862
43,16,35,20,23,10.8,8.93,9.016697191697192
36,2,47,44,38,13.66,10.46,10.38068783068783
41,31,45,41,29,9.97,6.85,8.620563695563696
40,27,23,34,11,14.79,10.81,10.979525335775335
13,24,37,18,0,19.09,16.35,17.439384920634918
8,9,17,21,21,16.17,12.69,15.4197268009768
23,45,5,21,49,11.71,10.29,10.055069698819699
39,2,2,17,10,12.51,9.62,12.467134717134716
9,37,18,23,25,15.78,12.03,12.470785002034999
35,8,18,7,30,16.05,13.18,14.34598087098087
46,15,3,19,11,19.63,16.08,17.368864468864466
33,46,4,19,25,18.98,14.62,15.898562779812778
21,19,26,6,6,12.95,11.05,15.301689051689053
35,30,30,21,21,7.57,5.97,10.437667887667887
7,30,7,44,31,11.26,9.33,14.094927757427758
27,2,19,21,47,12.77,10.26,11.235546398046399
43,9,10,40,36,14.63,11.91,12.126124338624338
24,40,5,4,5,18.19,14.04,17.652106227106223
12,47,14,3,24,23.16,18.02,19.622672466422465
0,6,25,35,33,19.55,15.47,17.197883597883596
18,28,31,37,45,13.48,8.52,8.9755698005698
43,13,27,5,23,13.16,9.96,10.897870879120878
14,16,37,49,10,14.38,10.73,11.185106328856328
27,12,22,7,4,22.19,19.32,19.61552452177452
44,1,33,28,48,11.73,8.19,8.37053317053317
