n0,monte_carlo,monte_carlo_max_hop,two_hop
864,24.48,3.16,3.3999999999999986
394,13.54,2.05,1.84
776,23.89,3.02,2.6800000000000006
911,44.8,6.28,5.479999999999992
430,15.55,1.81,1.88
41,91.94,8.89,8.919999999999993
265,48.83,4.57,3.7600000000000007
988,14.59,1.7,1.76
523,21.88,1.78,2.04
497,9.85,1.63,1.6
414,19.67,2.45,2.24
940,41.05,2.26,2.2800000000000002
802,6.42,1.84,1.7599999999999998
849,30.47,2.77,2.3600000000000003
310,24.57,1.94,2.08
991,11.52,1.71,1.56
488,14.51,1.63,1.84
366,29.57,2.5,2.5200000000000005
597,14.8,2.25,2.3200000000000003
913,24.42,1.88,1.72
929,32.67,2.39,2.7200000000000006
223,40.09,3.54,3.5600000000000005
516,8.28,1.67,1.68
142,45.69,3.29,3.3600000000000003
288,25.64,1.87,2.12
143,19.81,2.4,2.5999999999999996
773,18.77,2.64,2.3600000000000003
97,57.0,4.58,5.120000000000002
633,7.54,1.52,1.56
818,12.96,1.8,1.8
256,63.77,4.07,4.479999999999999
931,29.64,2.56,3.0400000000000005
545,27.06,1.86,1.72
722,10.62,1.75,1.68
829,14.95,1.79,1.7599999999999998
616,54.22,3.96,4.200000000000001
923,21.27,2.31,2.2
150,32.76,2.55,2.8000000000000007
317,53.94,6.19,7.2799999999999905
101,24.69,2.78,2.7200000000000006
747,18.34,1.8,1.96
75,26.58,2.67,3.040000000000001
920,26.87,1.65,1.9600000000000002
870,11.15,1.56,1.68
700,14.22,2.26,2.52
338,37.41,2.73,2.960000000000001
483,16.2,1.87,1.88
573,20.73,1.59,1.68
103,78.12,7.39,7.559999999999993
362,51.36,3.71,3.8
444,29.91,3.33,3.4799999999999986
323,53.46,6.52,6.319999999999993
625,26.7,2.05,2.0
655,21.46,1.87,2.08
934,11.98,1.98,1.84
209,56.79,7.36,8.079999999999993
989,66.69,6.55,6.5199999999999925
565,21.97,2.75,2.8400000000000007
488,9.3,1.86,1.84
453,57.55,4.54,5.759999999999993
886,46.29,6.49,5.639999999999992
533,12.59,2.5,2.4000000000000004
266,20.97,1.99,1.96
63,70.28,5.37,5.320000000000002
824,25.87,2.02,2.3600000000000003
940,20.95,1.9,2.2800000000000002
561,28.98,2.93,2.7600000000000007
937,24.26,3.3,3.3999999999999986
14,109.36,15.07,14.24
95,62.01,4.65,4.760000000000002
736,60.32,6.78,6.359999999999992
860,10.91,1.73,1.64
408,45.51,6.79,6.039999999999993
727,18.37,2.09,1.9999999999999998
844,22.16,2.7,2.6400000000000006
803,28.26,1.66,1.9600000000000002
684,45.12,3.09,3.160000000000001
640,35.18,2.06,2.6400000000000006
1,34.2,2.35,2.4800000000000004
626,18.84,1.75,1.84
505,23.2,1.76,1.96
847,25.0,2.73,2.4000000000000004
888,6.62,1.55,1.56
341,51.08,5.05,5.000000000000001
249,44.09,4.37,3.959999999999999
747,17.54,2.15,1.96
333,31.72,2.39,2.9600000000000004
720,24.2,1.96,1.7999999999999998
891,15.99,1.49,1.6
64,54.89,4.09,4.200000000000001
195,32.91,2.17,2.5200000000000005
939,17.74,1.86,1.9600000000000002
581,35.62,3.19,3.4400000000000004
227,26.09,2.17,2.1599999999999997
244,24.49,2.45,2.7600000000000007
822,18.06,2.06,2.04
990,18.17,1.92,1.8
145,39.51,3.1,2.8000000000000007
822,26.42,2.11,2.04
556,24.06,1.71,1.8800000000000001
