n0,monte_carlo,monte_carlo_max_hop,two_hop
864,2.9,1.85,1.6999999999999997
394,1.6,1.3,1.3100000000000003
776,1.58,1.63,1.5700000000000005
911,3.62,2.27,2.219999999999998
430,1.43,1.42,1.3700000000000003
41,5.14,3.88,3.5799999999999983
265,2.04,1.85,1.9400000000000008
988,1.39,1.24,1.2900000000000003
523,2.85,1.4,1.3600000000000003
497,1.32,1.21,1.2500000000000002
414,1.43,1.51,1.4100000000000004
940,1.74,1.68,1.4200000000000004
802,1.78,1.33,1.2900000000000003
849,1.93,1.36,1.4400000000000004
310,1.66,1.28,1.4200000000000004
991,1.32,1.18,1.2400000000000002
488,1.16,1.4,1.3100000000000003
366,2.03,1.44,1.5800000000000005
597,2.24,1.67,1.5300000000000005
913,1.58,1.24,1.2800000000000002
929,2.71,1.52,1.5300000000000005
223,3.73,1.81,1.8400000000000003
516,1.2,1.37,1.2700000000000002
142,2.75,1.61,1.7900000000000007
288,1.5,1.46,1.4300000000000004
143,2.03,1.75,1.6500000000000006
773,1.37,1.4,1.4900000000000004
97,3.18,2.65,2.4800000000000013
633,1.57,1.24,1.2400000000000002
818,1.4,1.34,1.3000000000000003
256,3.34,2.3,2.07
931,2.85,1.81,1.61
545,1.7,1.31,1.2800000000000002
722,1.25,1.3,1.2700000000000002
829,1.42,1.3,1.2900000000000003
616,4.08,1.89,1.9500000000000004
923,2.03,1.35,1.4000000000000004
150,2.13,1.54,1.5500000000000005
317,5.9,2.49,2.6699999999999977
101,1.79,1.49,1.5800000000000005
747,1.73,1.34,1.3400000000000003
75,2.31,1.7,1.6100000000000005
920,1.96,1.32,1.3400000000000003
870,1.47,1.28,1.2700000000000002
700,2.04,1.41,1.5300000000000005
338,3.16,1.62,1.6400000000000006
483,1.72,1.48,1.3200000000000003
573,1.98,1.23,1.2700000000000002
103,3.72,3.02,2.9899999999999984
362,2.87,2.47,2.100000000000001
444,2.49,1.49,1.7199999999999998
323,3.5,2.19,2.479999999999998
625,1.5,1.38,1.3500000000000003
655,1.34,1.46,1.3700000000000003
934,1.58,1.38,1.3100000000000003
209,6.39,3.68,3.1199999999999983
989,3.63,2.31,2.479999999999998
565,3.31,1.47,1.6100000000000005
488,1.6,1.4,1.3100000000000003
453,3.04,2.63,2.339999999999998
886,3.01,2.31,2.259999999999998
533,1.88,1.45,1.4500000000000004
266,1.42,1.17,1.3400000000000003
63,3.02,2.1,2.480000000000001
824,2.36,1.36,1.4400000000000004
940,1.48,1.34,1.4200000000000004
561,1.6,1.22,1.5400000000000005
937,1.64,2.14,1.6999999999999997
14,10.58,5.71,5.76
95,3.16,2.17,2.09
736,3.98,1.65,2.439999999999998
860,1.4,1.23,1.2600000000000002
408,5.06,2.79,2.4599999999999977
727,1.53,1.55,1.4000000000000004
844,2.58,1.55,1.5100000000000005
803,1.39,1.31,1.3400000000000003
684,3.08,1.55,1.6900000000000006
640,1.73,1.4,1.5100000000000005
1,3.1,1.48,1.4700000000000004
626,1.28,1.41,1.3100000000000003
505,1.46,1.37,1.3400000000000003
847,1.76,1.37,1.4500000000000004
888,1.85,1.22,1.2400000000000002
341,3.7,2.56,2.5000000000000013
249,3.54,1.62,1.94
747,2.22,1.27,1.3400000000000003
333,2.66,1.73,1.6900000000000006
720,1.69,1.32,1.3000000000000003
891,1.5,1.31,1.2500000000000002
64,4.56,2.19,2.0000000000000004
195,1.59,1.43,1.4800000000000004
939,1.44,1.42,1.3400000000000003
581,3.26,1.93,1.8600000000000008
227,1.83,1.56,1.4400000000000004
244,1.77,1.55,1.5900000000000005
822,1.59,1.45,1.4100000000000004
990,2.12,1.22,1.3000000000000003
145,2.23,1.71,1.6500000000000006
822,1.55,1.31,1.4100000000000004
556,1.7,1.33,1.3200000000000003
