n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,707,965,861,757,667,944,169.98,32.84,32.839999999999975
542,29,860,476,794,965,255,664,53,922,160,166.06,29.42,30.160000000000004
115,380,480,889,252,389,556,104,587,255,13,175.06,37.0,38.879999999999995
748,221,417,286,186,938,888,784,398,163,780,179.35,33.77,33.63999999999999
816,73,142,632,632,455,129,135,1,995,892,171.57,35.28,39.31999999999999
5,214,792,220,983,169,893,170,296,321,984,173.65,43.98,44.39999999999998
203,552,897,694,640,209,186,963,991,707,201,174.48,31.02,31.039999999999992
989,988,915,392,305,22,369,424,169,958,149,183.0,34.67,34.12
270,66,339,308,837,617,600,3,610,694,724,186.1,66.82,70.04000000000003
346,67,317,363,838,313,492,713,323,189,492,177.62,35.98,44.43999999999996
483,721,180,58,262,998,961,23,972,767,366,181.84,40.37,39.679999999999986
865,413,18,562,806,428,374,385,592,861,9,192.83,51.31,54.39999999999999
463,47,724,185,638,978,977,201,121,773,251,173.94,31.23,32.88
951,839,964,473,352,524,363,914,537,256,794,170.42,29.99,30.839999999999996
473,110,603,766,799,816,376,880,302,37,443,167.29,27.9,28.480000000000008
968,93,213,348,525,625,371,940,151,348,282,167.16,31.9,34.83999999999999
946,719,558,94,319,702,324,313,181,817,80,179.87,32.13,34.36
641,152,738,705,316,495,165,737,49,82,615,174.01,35.3,37.91999999999999
546,945,415,32,243,758,608,352,846,256,466,187.26,40.56,40.83999999999999
666,431,149,57,938,653,33,820,505,342,858,172.26,38.01,39.07999999999999
212,133,749,577,972,135,645,918,806,423,109,172.88,39.45,40.959999999999994
172,444,381,152,60,865,430,301,144,464,944,174.44,32.63,34.160000000000004
635,872,173,999,534,464,983,499,705,747,325,152.64,24.62,23.760000000000005
490,280,298,481,413,923,150,115,386,841,544,141.23,24.85,25.88
982,183,642,959,511,888,346,184,91,503,278,163.38,36.07,37.59999999999998
527,800,561,888,514,369,64,804,814,793,364,170.61,35.15,34.4
711,601,679,35,777,313,372,572,721,684,287,169.74,27.66,29.000000000000004
855,497,271,788,707,733,300,979,968,348,665,146.77,25.71,25.640000000000004
182,594,872,11,485,560,792,256,333,687,280,174.0,40.08,41.55999999999998
474,295,836,512,662,689,816,365,356,280,659,171.37,29.31,29.400000000000006
353,755,960,848,418,358,944,863,176,890,887,170.39,31.82,32.23999999999999
704,460,999,373,979,342,530,145,542,170,203,161.23,33.35,34.519999999999996
856,370,959,874,488,289,708,80,736,686,747,169.63,34.35,38.27999999999998
426,175,631,799,958,594,528,681,958,430,309,155.99,29.26,30.119999999999994
638,566,793,887,652,277,737,28,200,163,600,170.95,42.37,42.759999999999984
451,639,665,185,224,777,702,184,646,735,42,182.76,29.76,31.68
482,231,169,55,913,136,113,324,991,185,494,165.2,31.51,32.99999999999999
198,561,36,425,476,359,389,678,626,73,604,182.54,40.71,43.879999999999995
209,243,735,924,382,0,358,415,974,285,876,190.66,50.14,55.59999999999999
419,887,117,705,851,560,382,987,36,563,628,167.05,32.05,31.640000000000004
308,97,302,558,524,347,973,594,300,981,360,163.48,34.11,32.07999999999999
838,132,429,419,832,577,657,551,378,478,145,161.33,28.39,27.68
160,610,391,577,488,980,203,991,136,623,93,161.67,33.26,33.239999999999995
359,840,914,677,0,391,110,333,579,938,629,188.01,47.6,50.11999999999999
552,144,333,644,897,912,577,384,439,442,231,157.21,25.72,25.760000000000005
505,298,491,995,725,388,393,984,875,935,162,137.94,23.11,23.0
610,608,266,758,308,508,257,425,20,326,967,192.04,44.87,52.91999999999996
314,503,951,293,146,488,24,124,675,636,983,189.24,34.96,37.32
454,251,300,40,800,139,846,401,13,491,545,180.14,35.1,36.84
573,280,249,957,485,800,37,251,501,274,864,157.35,31.93,32.03999999999999
158,738,292,300,504,622,486,530,660,884,618,166.38,35.33,34.639999999999986
901,761,916,121,16,778,129,307,289,546,725,174.64,34.07,33.080000000000005
344,628,303,748,542,27,475,358,369,698,762,160.66,38.53,38.76
832,604,135,37,2,258,566,466,702,938,110,171.94,35.38,34.75999999999999
909,703,558,195,14,439,797,826,437,609,589,177.83,38.02,37.36000000000001
705,725,976,647,664,493,879,933,861,394,487,147.62,24.64,24.4
401,698,872,736,201,920,303,476,849,776,67,163.86,30.94,30.83999999999999
310,856,3,711,797,443,596,293,663,799,483,191.29,65.3,67.60000000000005
932,318,146,169,489,711,562,910,509,996,338,169.5,28.95,31.559999999999995
550,157,435,599,554,831,49,70,750,235,273,182.31,37.69,39.79999999999999
839,87,810,64,679,964,26,341,739,439,70,179.07,35.05,35.36000000000001
414,718,498,50,126,862,125,224,629,661,844,165.48,30.51,32.559999999999995
975,113,729,916,137,299,722,940,448,153,187,147.39,28.68,29.32
625,189,423,821,165,68,637,218,44,568,110,180.7,38.24,39.11999999999998
676,388,763,73,286,58,584,589,121,760,408,187.9,40.13,46.519999999999975
899,638,137,10,442,93,322,701,614,501,501,192.28,44.19,47.11999999999999
361,961,671,383,936,57,141,714,301,154,582,165.73,26.7,28.479999999999997
646,694,517,297,932,964,568,563,635,225,269,156.78,26.37,27.39999999999999
64,564,241,260,852,768,290,529,998,136,827,161.13,31.39,32.36000000000001
240,884,380,464,754,398,183,134,730,19,670,179.87,42.04,46.59999999999999
349,87,586,683,36,93,884,127,518,608,464,180.22,39.22,41.51999999999999
244,399,897,473,491,986,331,110,815,543,30,180.08,37.56,36.239999999999995
555,742,393,54,868,154,967,974,439,697,813,158.12,27.88,28.320000000000007
228,767,118,85,996,933,681,503,840,216,143,155.68,28.67,30.839999999999996
718,639,384,362,855,240,296,341,952,628,722,141.15,28.7,28.47999999999999
357,815,395,387,139,740,851,366,663,303,823,152.59,25.88,25.919999999999995
646,443,984,872,370,529,37,606,587,220,757,173.28,29.01,30.599999999999994
184,405,64,99,37,33,190,207,200,40,501,175.89,45.51,44.83999999999999
910,959,492,677,778,356,0,437,481,307,911,182.44,54.7,56.55999999999997
957,634,943,438,331,476,472,102,196,158,669,170.43,34.35,37.67999999999998
162,72,383,889,394,889,901,480,155,565,260,162.22,29.73,33.879999999999995
112,284,838,165,768,293,688,240,33,493,917,172.16,39.99,42.59999999999999
32,352,946,770,377,323,960,60,704,22,689,181.82,37.27,40.599999999999994
467,483,869,968,159,120,804,684,332,298,464,151.26,29.22,27.919999999999998
690,245,746,167,34,205,731,25,588,236,672,183.39,34.83,35.760000000000005
80,632,410,933,996,723,372,696,319,188,479,174.85,32.23,31.960000000000004
370,289,68,749,735,479,167,794,246,179,688,171.92,34.7,34.80000000000001
213,963,44,661,623,440,743,998,277,6,473,196.62,50.68,54.11999999999999
62,463,797,697,420,173,46,34,561,855,857,183.78,36.85,38.08
531,578,358,962,96,733,72,242,920,822,502,177.11,33.26,35.03999999999999
94,958,482,55,699,249,659,51,509,406,800,168.59,36.69,35.52
61,49,261,853,417,456,313,655,52,896,38,182.58,37.46,41.43999999999998
972,994,199,183,712,520,655,412,192,544,239,180.42,35.17,37.67999999999998
86,949,321,809,110,88,554,943,165,612,77,178.49,29.77,31.16
877,747,219,639,17,451,552,366,498,433,585,186.4,36.71,39.23999999999999
786,385,534,640,135,743,12,934,774,314,705,186.65,37.99,38.36
459,912,846,229,567,118,142,319,494,89,798,169.6,30.56,31.679999999999996
790,269,839,412,320,135,132,549,83,482,250,168.94,37.1,39.479999999999976
713,86,817,438,990,590,682,251,282,62,504,164.91,33.01,36.95999999999998
717,254,49,720,204,815,292,903,382,906,100,182.63,37.77,37.239999999999995
