n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,404,666,49,74,840,548,96,374,26.67,23.09,22.549999999999994
596,59,931,519,219,38,88,444,428,71,246,26.76,20.38,20.320000000000004
92,564,434,60,846,579,126,970,228,645,642,20.84,18.27,18.10000000000001
596,970,63,590,599,406,50,999,226,47,570,29.27,21.35,21.13
879,136,296,429,147,553,120,584,315,573,835,21.1,16.16,16.550000000000004
698,185,105,595,584,654,192,381,99,560,729,28.0,19.46,19.520000000000003
64,577,61,633,210,508,696,544,437,795,321,27.27,19.6,19.349999999999998
476,599,945,464,370,306,254,813,184,715,798,21.81,18.42,17.660000000000004
249,83,588,307,537,506,896,351,746,459,294,24.49,17.81,17.790000000000006
623,74,120,524,428,168,775,350,155,955,500,27.84,19.46,19.9
431,40,985,684,79,782,571,586,808,896,837,25.11,17.99,18.560000000000002
321,348,711,358,608,508,593,816,467,70,860,22.96,17.82,18.0
95,967,276,485,713,680,66,62,748,718,317,23.51,20.27,19.319999999999997
662,591,697,841,456,291,733,395,908,684,355,25.28,17.45,17.26
23,963,472,363,172,625,119,505,60,223,786,29.99,21.86,21.25
294,132,756,253,407,400,938,892,508,82,170,30.7,21.71,21.759999999999998
459,411,562,284,904,140,838,440,884,563,285,19.5,16.8,16.990000000000006
723,425,367,699,905,389,980,236,154,84,180,28.5,21.67,21.209999999999997
154,237,674,238,12,496,851,603,186,269,288,30.58,22.62,22.380000000000003
4,149,429,547,378,624,579,326,975,128,707,32.68,23.22,24.650000000000006
879,527,973,632,670,692,757,55,467,921,891,21.65,16.14,16.110000000000007
798,974,895,696,817,572,401,407,408,403,106,24.44,18.96,17.97
493,649,410,63,195,68,213,451,166,112,348,27.71,21.1,20.330000000000002
615,53,104,0,580,154,549,103,971,372,628,37.4,26.69,27.46
26,72,895,212,628,385,152,649,258,978,355,29.12,21.28,21.009999999999998
616,372,485,125,118,869,499,477,491,495,319,23.73,17.0,17.150000000000006
87,147,104,767,350,758,271,490,848,708,165,24.34,18.81,18.43
528,23,210,973,974,540,370,150,706,556,936,27.24,20.04,20.049999999999997
27,776,540,305,658,884,93,712,865,267,530,31.61,23.21,23.49
375,930,171,364,790,228,545,554,797,514,337,24.92,18.51,18.160000000000007
651,228,627,830,807,776,873,199,825,245,837,22.2,16.65,17.090000000000007
410,757,822,232,204,530,504,364,748,29,28,32.08,21.12,22.57
809,286,483,265,198,709,619,979,352,457,827,24.69,18.15,18.18
959,740,357,977,997,373,82,225,104,232,481,24.17,18.98,18.8
201,345,209,494,639,921,624,860,1,490,931,22.7,17.17,17.69
668,352,818,658,86,854,676,122,931,397,801,26.8,17.61,17.82
728,768,204,489,910,182,444,808,651,340,88,25.63,18.32,18.62
820,968,994,739,405,474,411,761,969,86,742,21.29,17.4,16.830000000000002
162,174,130,28,154,604,926,476,825,671,149,26.01,19.35,19.690000000000005
626,846,610,485,673,959,358,159,561,561,134,25.72,17.98,19.38
21,14,818,994,743,665,105,539,767,956,142,35.23,22.09,23.36
444,892,199,845,894,216,28,257,217,299,513,30.96,23.28,23.02
246,782,600,333,265,557,429,854,134,62,931,28.6,20.15,19.97
757,362,919,469,678,597,834,925,529,430,846,21.22,16.21,16.600000000000005
939,899,513,133,544,155,536,522,19,893,450,30.76,20.1,20.37
795,187,623,4,794,818,153,176,144,484,633,32.31,23.0,23.260000000000005
742,123,569,63,333,698,530,543,568,494,803,28.7,20.11,20.33
795,108,904,573,58,254,195,283,43,790,100,27.6,20.22,20.37
519,463,575,28,778,915,934,64,453,333,627,25.75,20.07,20.500000000000004
996,517,620,524,204,709,283,463,520,546,826,22.72,17.29,16.980000000000004
489,519,964,253,715,535,897,897,964,950,265,18.7,13.83,16.570000000000004
944,572,914,965,207,860,458,140,426,124,401,22.94,16.32,16.330000000000005
452,323,74,687,246,438,74,217,685,310,802,27.15,18.11,21.599999999999994
125,918,795,158,962,733,658,676,374,146,259,23.62,18.17,18.290000000000003
904,140,990,478,224,764,975,96,407,906,498,26.23,18.43,18.580000000000002
166,683,852,229,165,723,441,527,413,347,431,24.15,18.34,17.8
200,365,326,94,739,374,19,346,567,469,451,28.65,21.02,20.929999999999996
720,18,393,339,529,638,302,524,983,65,115,30.54,19.78,21.43
940,807,234,995,897,107,86,271,278,40,927,21.48,16.27,16.570000000000007
797,185,276,773,132,839,432,869,933,692,838,23.02,17.07,17.390000000000004
968,264,415,152,549,941,527,584,506,717,334,22.36,16.63,16.800000000000004
91,285,58,818,704,187,435,916,74,275,960,27.19,19.53,19.55
17,649,90,820,266,85,622,876,227,68,270,29.13,20.2,20.06
883,124,464,11,347,566,427,948,937,274,636,30.07,21.09,20.730000000000004
132,44,539,726,244,960,112,992,165,268,51,28.76,21.73,22.109999999999996
185,206,954,319,643,312,543,777,210,296,456,28.6,18.18,18.849999999999998
512,688,182,277,355,822,18,256,37,15,18,32.37,24.11,30.470000000000002
750,517,564,194,526,486,251,957,457,108,674,24.51,18.05,18.91
838,665,442,672,506,559,854,910,402,993,518,21.9,15.94,16.740000000000002
315,704,220,235,350,203,852,903,723,746,651,23.99,18.39,18.01
143,414,355,55,857,132,14,72,640,758,900,31.44,23.15,23.41
261,441,167,56,86,681,861,390,891,518,686,22.28,16.85,17.340000000000003
994,288,613,248,709,300,46,470,189,161,275,22.47,17.64,17.570000000000004
456,3,269,372,984,336,995,560,331,250,35,40.7,30.81,31.490000000000002
988,903,316,223,365,187,1,343,390,85,486,24.39,17.49,17.200000000000003
285,514,671,205,254,516,794,5,93,270,836,31.59,22.61,23.589999999999993
91,147,409,600,42,403,23,306,311,644,238,31.44,21.75,21.990000000000006
86,599,980,541,873,768,158,673,914,733,802,20.77,15.74,15.950000000000003
900,610,398,782,333,737,506,153,290,741,633,25.01,18.6,18.20000000000001
658,148,44,844,855,732,913,525,642,439,751,29.1,20.05,20.52
717,831,517,142,931,536,770,516,582,854,832,20.55,16.76,16.35
823,16,846,702,598,817,914,728,699,979,709,23.91,18.04,18.340000000000003
658,235,87,31,42,136,652,369,982,107,385,26.88,19.12,19.540000000000006
855,462,571,51,642,19,641,544,697,250,501,24.16,19.6,19.060000000000002
270,3,467,816,71,766,954,515,919,548,94,44.86,32.4,32.97
675,538,67,763,754,485,258,828,76,866,271,25.57,17.64,18.740000000000002
240,746,774,210,236,757,665,999,471,505,865,23.75,17.65,18.61
391,78,490,932,700,294,785,47,631,647,658,26.12,19.73,19.09
203,79,614,150,339,260,667,761,709,311,636,24.46,18.21,18.450000000000006
581,136,12,493,62,497,275,995,688,101,708,32.66,24.26,23.39
222,691,501,297,725,528,292,475,477,477,785,18.91,14.64,15.840000000000007
121,915,562,204,319,87,958,484,17,296,469,28.6,20.41,20.220000000000002
78,839,518,991,460,275,396,214,938,968,952,24.19,17.55,17.37
215,76,595,92,145,765,536,268,975,368,135,27.44,20.11,20.270000000000007
617,839,646,520,286,908,115,720,373,236,509,23.23,17.58,17.750000000000007
919,897,497,403,25,162,3,972,503,697,461,41.15,31.37,32.63999999999999
415,309,744,144,426,352,385,323,123,860,339,26.38,17.47,17.890000000000004
1,332,768,346,859,407,122,962,948,200,730,21.37,17.25,17.240000000000002
12,923,757,296,259,381,66,402,399,890,603,29.69,22.08,21.730000000000004
78,369,947,438,773,281,874,49,287,104,52,25.64,19.03,19.390000000000008
