n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
978,883,970,869,57,93,86,369,855,173,753,828,685,175.21,35.79,36.08
874,315,257,620,217,621,36,595,697,162,441,653,402,178.76,38.02,38.720000000000006
822,740,880,521,972,380,557,958,455,514,274,922,36,172.85,37.5,39.11999999999999
891,28,372,476,954,326,929,389,433,913,905,538,168,183.45,42.93,48.79999999999997
573,181,241,236,24,180,332,177,139,522,522,368,526,198.13,47.8,48.72
690,573,186,915,456,815,424,752,537,928,930,781,372,168.69,30.93,30.840000000000003
808,607,362,370,879,984,456,165,977,772,409,732,756,149.74,29.62,30.2
472,670,543,255,501,285,947,510,512,527,851,815,362,173.58,33.58,35.68
677,904,465,921,924,472,359,581,743,942,570,741,467,158.77,29.87,30.47999999999999
498,674,227,963,332,834,716,855,170,897,929,631,274,163.78,30.74,31.64
791,933,491,316,310,980,818,723,851,516,575,530,519,166.25,29.65,30.559999999999995
667,630,602,416,319,748,212,500,524,375,956,700,638,188.0,41.74,44.359999999999985
903,77,803,840,349,743,8,929,834,195,762,108,60,194.87,42.68,43.96000000000001
588,668,50,279,605,232,698,896,937,108,772,534,139,175.17,35.13,36.519999999999996
874,272,250,844,215,966,901,61,433,919,734,777,32,180.1,36.8,38.64000000000001
58,371,368,176,255,688,24,84,117,977,69,25,41,207.99,62.48,67.47999999999998
746,940,21,382,261,130,832,958,160,752,188,535,708,188.79,40.49,41.32000000000001
1,394,603,44,813,253,155,994,37,4,352,960,630,206.82,59.37,63.239999999999995
642,760,765,115,292,345,500,31,315,459,564,784,619,165.91,34.12,34.68000000000001
757,46,923,270,773,411,883,636,722,157,484,981,230,189.74,39.03,39.68
95,676,703,323,858,104,24,458,807,895,970,130,530,195.67,47.53,48.83999999999999
598,799,402,498,527,335,147,895,982,349,265,268,620,171.58,33.72,35.120000000000005
993,429,668,18,716,571,982,143,686,58,259,34,134,192.79,53.47,56.59999999999998
165,174,98,464,650,237,520,938,725,956,32,252,238,195.61,43.56,45.559999999999995
731,455,75,256,82,605,233,639,810,819,638,726,368,187.34,36.63,38.31999999999999
262,700,433,285,538,768,4,154,36,393,418,164,113,194.46,58.79,64.95999999999997
524,741,89,246,104,102,20,186,768,237,107,222,25,199.78,53.59,58.59999999999998
533,685,475,464,317,548,657,389,217,701,928,778,986,174.58,31.38,32.31999999999999
