n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,937,618,485,640,594,67,620,13,32.01,24.76,24.959999999999997
930,857,480,265,564,239,196,734,481,553,856,562,487,25.99,19.01,19.430000000000003
406,654,881,154,237,650,155,888,948,535,399,759,15,30.64,23.58,23.21
687,795,65,163,776,980,605,43,308,798,31,843,886,33.61,21.26,22.44
275,484,609,736,942,899,396,731,807,943,437,404,745,29.51,21.86,21.87
820,590,455,987,958,137,899,374,99,36,139,506,222,28.94,21.77,22.76
264,988,688,446,797,641,875,308,431,519,853,395,587,28.31,20.92,21.61999999999999
359,546,599,417,598,237,925,344,698,937,951,29,876,29.18,20.94,20.550000000000004
286,620,687,712,167,715,881,334,987,554,926,585,582,26.53,19.93,20.180000000000003
106,730,671,216,648,851,587,273,291,127,64,493,874,29.5,21.46,21.060000000000006
654,495,90,352,819,68,420,918,154,20,300,437,787,34.16,24.37,24.400000000000006
425,893,121,45,619,629,779,46,386,735,600,338,564,33.06,23.77,24.280000000000005
902,944,285,517,241,36,317,7,78,110,614,548,32,36.55,30.87,29.94
971,202,994,417,298,625,269,159,706,43,888,347,321,29.49,21.25,21.94
368,981,141,918,882,386,385,471,890,532,395,659,887,29.04,19.5,20.170000000000005
609,697,572,105,635,996,963,830,519,277,441,649,737,24.08,18.6,18.540000000000003
732,243,958,308,447,264,533,310,561,347,11,807,425,34.84,24.85,25.28
593,322,20,385,630,603,647,136,61,648,642,340,477,33.06,23.85,23.490000000000006
361,695,939,361,623,723,285,755,501,22,603,62,977,27.83,21.39,22.530000000000005
692,21,986,378,257,643,467,305,606,615,327,181,372,30.29,23.62,23.94000000000001
189,320,776,378,864,609,270,307,806,386,107,790,832,26.24,20.08,19.880000000000003
27,994,582,700,752,134,317,512,227,669,823,275,244,34.91,24.91,25.180000000000003
335,191,694,445,665,714,99,104,615,329,971,341,691,30.18,23.02,22.560000000000002
853,229,448,829,876,983,173,81,344,759,665,223,906,26.9,22.59,22.300000000000008
582,461,277,230,805,123,34,542,980,195,322,826,856,27.24,20.32,20.29000000000001
858,588,187,884,285,348,826,847,657,87,825,634,353,28.49,20.72,20.46
603,132,431,298,530,812,870,277,475,354,649,426,297,28.66,22.39,22.159999999999993
429,581,419,36,942,423,159,204,4,488,965,852,901,37.9,27.85,27.85
637,522,444,572,972,949,734,227,33,763,467,856,771,31.36,21.09,22.819999999999997
678,765,531,986,295,556,349,911,232,882,69,878,602,31.79,21.13,22.16
994,293,122,829,250,46,35,925,822,710,524,946,203,29.05,21.43,21.300000000000004
918,904,921,440,590,50,13,492,763,123,175,515,307,36.22,24.38,26.880000000000003
244,678,20,537,549,423,54,961,934,626,116,349,128,34.67,25.21,25.680000000000007
258,995,882,553,488,831,801,62,360,226,202,125,547,28.45,22.53,22.34
908,836,122,175,245,810,280,943,910,825,131,843,942,27.83,20.28,20.739999999999995
7,499,643,584,883,409,51,774,277,254,275,632,539,34.98,29.41,29.58
532,433,52,484,330,795,839,1,877,56,793,129,47,30.98,23.32,23.540000000000006
127,51,70,494,998,33,874,729,88,527,514,501,323,32.14,24.54,25.25
160,322,73,359,395,662,398,600,311,369,271,195,336,35.41,22.91,23.500000000000004
438,126,130,568,3,733,740,389,814,81,580,182,43,46.76,36.78,37.26
382,471,618,665,801,554,389,651,820,44,637,907,441,32.72,22.09,23.62
54,381,642,508,778,719,322,430,973,710,428,471,18,36.61,26.15,26.450000000000006
250,223,548,276,711,604,73,822,435,229,436,133,900,28.72,21.54,22.04
28,958,333,383,992,919,572,809,891,268,124,475,707,28.96,21.58,21.810000000000002
126,961,832,749,678,870,908,542,811,385,683,111,751,29.75,20.22,21.110000000000003
326,577,544,105,831,601,733,5,484,146,241,792,398,34.49,25.64,25.74
45,539,94,577,101,675,901,384,183,839,24,349,861,31.12,22.68,23.050000000000004
872,124,26,864,117,689,493,856,713,975,291,592,306,29.63,23.06,22.54
817,90,37,785,577,523,541,732,244,109,567,766,102,33.82,21.32,22.33
