n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,937,618,485,640,594,67,620,13,930,857,205.5,51.73,55.359999999999985
480,265,564,239,196,734,481,553,856,562,487,406,654,881,154,162.94,35.07,34.56
237,650,155,888,948,535,399,759,15,687,795,65,163,776,980,198.8,48.64,50.67999999999999
605,43,308,798,31,843,886,275,484,609,736,942,899,396,731,194.08,47.2,50.79999999999999
807,943,437,404,745,820,590,455,987,958,137,899,374,99,36,190.51,47.06,49.32
139,506,222,264,988,688,446,797,641,875,308,431,519,853,395,185.71,41.02,43.47999999999998
587,359,546,599,417,598,237,925,344,698,937,951,29,876,286,183.2,43.72,44.919999999999995
620,687,712,167,715,881,334,987,554,926,585,582,106,730,671,185.62,37.2,37.080000000000005
216,648,851,587,273,291,127,64,493,874,654,495,90,352,819,189.89,43.57,43.83999999999999
68,420,918,154,20,300,437,787,425,893,121,45,619,629,779,198.98,55.02,57.15999999999999
46,386,735,600,338,564,902,944,285,517,241,36,317,7,78,200.93,66.79,71.67999999999999
110,614,548,32,971,202,994,417,298,625,269,159,706,43,888,190.65,46.97,46.76
347,321,368,981,141,918,882,386,385,471,890,532,395,659,887,171.96,37.36,38.32
609,697,572,105,635,996,963,830,519,277,441,649,737,732,243,192.27,34.63,35.64
958,308,447,264,533,310,561,347,11,807,425,593,322,20,385,194.85,57.92,62.11999999999998
630,603,647,136,61,648,642,340,477,361,695,939,361,623,723,194.13,37.19,40.040000000000006
285,755,501,22,603,62,977,692,21,986,378,257,643,467,305,204.21,54.24,57.799999999999976
606,615,327,181,372,189,320,776,378,864,609,270,307,806,386,189.09,41.47,42.28000000000001
107,790,832,27,994,582,700,752,134,317,512,227,669,823,275,197.49,50.54,52.63999999999999
244,335,191,694,445,665,714,99,104,615,329,971,341,691,853,195.18,46.57,49.48
229,448,829,876,983,173,81,344,759,665,223,906,582,461,277,192.39,41.59,43.32
230,805,123,34,542,980,195,322,826,856,858,588,187,884,285,181.67,36.38,37.440000000000005
348,826,847,657,87,825,634,353,603,132,431,298,530,812,870,187.63,44.74,50.199999999999974
277,475,354,649,426,297,429,581,419,36,942,423,159,204,4,194.68,57.18,61.39999999999999
488,965,852,901,637,522,444,572,972,949,734,227,33,763,467,191.83,44.68,49.83999999999997
856,771,678,765,531,986,295,556,349,911,232,882,69,878,602,185.89,43.68,44.120000000000005
994,293,122,829,250,46,35,925,822,710,524,946,203,918,904,191.84,39.71,40.440000000000005
921,440,590,50,13,492,763,123,175,515,307,244,678,20,537,205.9,66.13,69.87999999999997
549,423,54,961,934,626,116,349,128,258,995,882,553,488,831,198.36,40.82,41.64000000000001
801,62,360,226,202,125,547,908,836,122,175,245,810,280,943,194.74,47.07,51.47999999999999
910,825,131,843,942,7,499,643,584,883,409,51,774,277,254,193.15,63.56,68.43999999999997
275,632,539,532,433,52,484,330,795,839,1,877,56,793,129,212.56,42.56,44.400000000000006
47,127,51,70,494,998,33,874,729,88,527,514,501,323,160,205.96,58.02,62.03999999999999
322,73,359,395,662,398,600,311,369,271,195,336,438,126,130,199.34,46.77,49.0
568,3,733,740,389,814,81,580,182,43,382,471,618,665,801,208.08,82.66,85.76000000000005
554,389,651,820,44,637,907,441,54,381,642,508,778,719,322,203.47,56.0,58.59999999999999
430,973,710,428,471,18,250,223,548,276,711,604,73,822,435,194.47,49.98,51.839999999999996
229,436,133,900,28,958,333,383,992,919,572,809,891,268,124,188.69,48.21,49.27999999999999
475,707,126,961,832,749,678,870,908,542,811,385,683,111,751,174.64,41.95,41.91999999999999
326,577,544,105,831,601,733,5,484,146,241,792,398,45,539,204.15,53.95,60.03999999999999
94,577,101,675,901,384,183,839,24,349,861,872,124,26,864,200.29,48.48,51.440000000000005
117,689,493,856,713,975,291,592,306,817,90,37,785,577,523,197.39,41.76,42.24
541,732,244,109,567,766,102,956,566,62,563,332,890,577,184,186.16,44.97,49.759999999999984
847,79,247,184,661,255,465,630,716,771,965,403,258,376,613,192.39,38.56,40.08
406,961,358,569,428,989,85,384,512,240,996,951,422,863,765,179.93,39.19,42.11999999999999
990,164,425,707,582,774,593,690,946,529,702,495,159,658,410,195.91,41.66,44.59999999999998
918,908,152,166,98,509,766,495,938,715,529,973,453,600,736,193.93,46.62,51.91999999999998
878,190,139,273,770,203,150,599,527,322,957,237,871,707,550,188.65,40.4,40.15999999999999
976,798,302,687,722,875,423,609,874,598,598,273,910,222,314,163.31,29.05,31.36000000000001
23,274,490,823,391,205,176,583,369,244,329,494,792,884,147,195.15,43.03,44.56
428,714,491,718,613,210,479,594,854,923,841,668,570,28,492,194.78,48.95,56.07999999999995
738,74,877,970,409,801,751,903,983,46,478,932,235,912,240,197.64,48.13,53.11999999999999
663,734,795,691,70,981,222,874,260,247,911,194,794,264,140,193.8,40.76,43.199999999999996
191,636,721,691,879,37,921,956,261,173,885,46,320,187,433,188.5,46.41,50.19999999999999
93,746,818,87,120,94,270,853,935,298,36,365,463,594,751,195.05,53.21,56.59999999999998
691,344,7,30,342,339,446,388,497,79,215,659,599,760,978,208.75,59.18,60.07999999999999
501,400,128,557,326,122,904,281,78,681,442,115,448,908,540,188.9,46.67,48.879999999999995
930,256,99,540,963,717,383,694,790,377,775,461,302,678,692,180.22,38.51,38.959999999999994
686,669,966,825,836,271,109,772,967,984,346,688,579,549,538,169.67,39.84,40.39999999999999
116,682,505,520,360,60,735,301,694,745,579,760,186,661,661,188.71,37.81,39.84000000000002
747,646,153,183,379,911,942,671,465,126,110,954,573,144,942,190.11,39.77,41.87999999999999
339,660,737,665,611,430,568,307,663,191,468,493,319,800,180,172.5,39.01,39.760000000000005
722,70,109,733,185,772,567,556,589,757,401,367,102,272,277,186.6,46.3,48.199999999999974
392,54,893,139,43,490,516,277,253,712,787,527,362,896,340,196.05,42.37,44.800000000000004
967,413,458,554,828,790,70,361,509,867,114,155,276,604,102,188.76,43.51,44.16
697,115,577,797,931,744,114,189,714,193,580,426,686,761,400,187.42,40.89,41.879999999999995
835,766,131,606,622,149,880,407,817,198,557,540,174,582,183,188.24,42.88,46.08
206,889,256,378,800,300,30,862,822,455,912,417,972,834,392,184.96,38.35,39.239999999999995
323,565,927,597,317,648,509,541,703,723,306,917,880,683,495,191.95,42.12,45.63999999999998
30,615,195,744,649,2,110,788,774,677,239,503,177,536,640,188.54,50.52,55.599999999999966
471,203,198,800,542,216,37,832,512,948,661,969,454,114,579,196.46,39.23,41.16
290,982,673,913,156,138,478,811,90,638,945,51,26,368,633,191.31,43.9,45.360000000000014
239,518,79,510,551,19,952,347,330,336,891,352,711,710,137,189.42,42.89,43.879999999999995
82,878,859,615,793,949,34,733,81,757,351,826,210,954,64,190.0,44.47,45.08
882,204,447,715,775,226,496,323,111,805,43,418,79,865,205,201.69,49.9,53.67999999999999
722,164,400,509,484,716,69,550,872,432,213,664,500,311,23,205.12,55.17,57.000000000000014
475,468,775,707,411,448,184,466,920,38,736,262,375,869,379,193.37,42.14,44.04
458,542,370,610,411,229,993,2,823,214,264,801,378,146,875,195.85,46.06,47.47999999999998
471,546,199,162,214,22,174,598,413,515,172,651,28,142,112,214.01,56.25,62.47999999999999
623,172,453,502,189,61,861,22,412,458,325,417,33,720,731,190.66,51.3,52.19999999999998
52,244,412,40,406,505,27,930,988,904,224,247,96,398,485,198.85,54.31,56.519999999999996
195,168,340,637,118,354,934,126,608,53,826,745,297,281,806,193.77,44.44,50.079999999999984
964,476,808,955,984,307,500,255,574,272,30,834,345,644,353,188.49,42.59,41.400000000000006
324,95,58,698,445,992,91,606,632,3,107,31,697,92,19,207.64,82.02,89.32000000000005
174,515,37,493,55,193,670,521,921,339,205,921,997,775,488,199.15,36.55,40.120000000000005
348,822,490,939,359,962,674,35,391,312,769,621,646,969,403,157.3,34.62,34.92
89,970,300,188,870,422,117,519,399,560,342,549,696,797,950,195.35,40.58,40.12
412,178,857,757,885,751,395,855,960,566,367,945,188,371,820,193.41,40.75,41.16
424,448,234,455,798,719,492,353,275,840,173,519,737,770,620,186.41,38.79,39.48
937,727,713,396,972,498,43,157,175,727,769,23,842,478,94,189.08,51.19,52.719999999999985
776,708,693,676,99,327,242,615,863,820,657,57,899,626,893,185.51,41.31,42.88
49,460,477,918,889,750,662,341,378,1,73,199,408,805,978,200.83,51.01,56.11999999999999
937,107,346,582,318,112,461,82,841,664,215,246,704,49,156,205.16,51.82,56.55999999999999
957,660,146,599,11,114,235,294,990,213,225,871,575,527,429,194.69,51.6,52.359999999999985
517,799,928,618,326,807,904,548,800,192,478,181,637,81,42,197.54,51.14,53.83999999999998
845,825,115,612,24,879,989,103,204,965,914,261,87,111,476,204.24,52.21,57.159999999999975
408,228,845,849,696,630,111,657,497,779,684,892,716,354,412,188.99,46.31,50.59999999999997
617,676,456,796,113,298,855,967,608,454,834,388,210,119,552,187.13,40.35,41.39999999999999
7,475,306,745,658,79,349,354,196,496,771,73,946,565,702,190.71,63.98,66.43999999999997
752,373,433,802,663,68,620,531,219,255,358,858,63,343,241,187.83,41.2,43.720000000000006
