n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,780,267,37,0,149,678,600,481,988,777,40.23,31.49,31.73
752,382,327,788,22,279,500,821,202,747,893,423,932,551,552,33.09,24.7,24.64
698,96,197,576,566,716,824,746,271,678,822,624,702,90,864,33.44,25.18,25.520000000000003
434,343,95,370,819,419,824,256,455,716,96,773,201,717,650,37.04,24.94,25.920000000000005
815,298,99,974,46,602,924,205,847,671,934,369,498,955,852,34.13,24.2,23.550000000000004
931,198,527,589,660,993,714,913,824,515,999,938,29,648,370,28.78,22.45,22.970000000000006
250,616,440,311,365,603,122,91,512,901,694,537,203,119,622,34.21,23.19,24.100000000000005
678,274,319,736,200,388,495,228,141,611,214,854,886,897,714,35.81,26.8,26.740000000000002
534,12,193,796,173,17,663,340,571,926,687,635,633,313,383,36.61,29.18,27.59000000000001
386,540,398,296,129,695,500,55,189,433,608,764,407,98,451,37.35,25.51,25.830000000000002
251,825,91,913,617,686,891,910,456,457,802,851,389,815,78,31.14,21.64,21.67
529,436,482,310,722,836,418,963,87,196,764,696,272,462,499,31.9,22.91,23.73
739,802,988,176,18,22,550,126,257,603,821,369,192,262,514,43.27,31.09,31.110000000000007
462,337,949,529,260,420,949,900,431,626,497,274,616,486,672,29.52,22.4,23.540000000000003
490,503,145,738,386,508,313,649,824,478,331,375,675,166,994,35.32,23.46,24.559999999999995
935,945,634,385,711,617,272,327,661,407,998,499,746,812,161,29.94,22.88,22.900000000000006
959,847,297,573,6,638,460,987,58,186,30,624,792,583,114,41.88,33.22,33.18000000000001
698,735,379,370,960,509,873,603,63,941,197,158,970,275,628,33.43,23.88,24.050000000000004
15,432,825,801,819,833,537,503,77,480,237,102,379,370,985,37.54,29.48,28.729999999999997
148,697,640,249,621,325,147,38,643,684,99,731,107,46,661,40.01,28.35,27.900000000000006
489,473,741,921,70,644,31,718,564,130,631,852,946,85,164,34.38,25.34,25.070000000000007
632,646,933,271,929,858,914,669,462,511,710,20,810,652,140,30.06,24.27,24.700000000000006
837,966,193,930,956,451,490,797,450,457,571,283,488,729,593,32.55,24.61,24.619999999999997
65,851,819,298,372,292,368,962,34,85,514,878,282,286,280,35.43,27.49,26.050000000000004
989,484,441,454,944,380,32,730,87,255,835,619,653,244,548,33.95,24.96,24.990000000000002
763,33,756,177,344,379,32,53,974,757,783,769,972,214,717,41.78,28.59,29.99
443,351,906,79,161,749,692,116,409,560,138,475,760,506,654,33.6,24.11,24.760000000000005
76,131,75,358,532,31,190,538,725,153,188,288,756,154,519,35.29,24.04,25.570000000000004
582,870,397,815,228,967,226,712,577,732,932,128,429,707,167,27.92,21.9,22.78
775,324,246,574,586,4,805,824,582,395,192,778,333,875,390,40.81,27.73,29.150000000000006
538,451,9,407,865,543,564,870,677,139,733,239,660,556,824,41.49,28.48,30.16
760,381,278,682,189,995,152,168,706,640,137,393,76,62,12,38.99,29.15,29.450000000000003
40,483,777,60,117,666,728,553,102,689,376,609,32,61,555,40.89,27.59,28.180000000000007
230,805,416,230,781,578,704,944,973,300,94,482,79,741,587,33.85,23.37,25.34
884,60,172,915,677,448,122,981,114,718,182,51,700,941,31,31.26,24.91,25.23000000000001
768,860,692,746,435,666,725,293,261,454,237,206,835,879,669,27.36,21.61,22.52000000000001
797,548,806,660,219,284,606,13,261,539,809,749,762,997,992,35.69,26.19,25.680000000000003
725,892,700,338,795,529,95,598,609,660,33,370,375,707,119,33.02,25.55,25.999999999999993
231,971,781,28,369,943,708,970,348,446,702,852,994,52,352,38.21,27.2,27.19000000000001
142,31,10,344,69,496,2,474,848,270,89,693,604,630,279,41.42,32.07,33.160000000000004
235,135,128,429,558,186,248,678,393,608,439,577,529,641,850,35.97,26.26,26.000000000000007
491,950,276,259,140,306,909,33,197,776,459,107,827,180,589,34.78,25.61,25.840000000000007
111,970,950,828,2,525,164,122,155,606,402,485,497,882,890,35.93,25.71,25.45
543,785,710,554,831,814,481,220,862,659,920,397,158,788,941,30.23,23.44,23.650000000000002
469,890,932,875,10,345,427,257,327,136,292,379,602,875,694,39.32,26.22,27.560000000000006
371,228,5,798,312,180,84,417,637,635,786,237,948,657,91,35.79,28.69,29.060000000000002
198,389,421,128,771,932,935,857,151,532,951,976,51,532,537,32.88,24.11,25.080000000000005
795,991,499,943,373,904,336,861,729,605,399,888,279,665,679,34.75,21.66,22.180000000000003
