n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,707,965,861,757,667,944,542,29,860,476,794,965,36.07,25.39,26.800000000000004
255,664,53,922,160,115,380,480,889,252,389,556,104,587,255,13,748,41.91,29.85,32.1
221,417,286,186,938,888,784,398,163,780,816,73,142,632,632,455,129,37.96,26.94,28.990000000000006
135,1,995,892,5,214,792,220,983,169,893,170,296,321,984,203,552,42.1,32.57,32.220000000000006
897,694,640,209,186,963,991,707,201,989,988,915,392,305,22,369,424,39.79,27.95,28.72
169,958,149,270,66,339,308,837,617,600,3,610,694,724,346,67,317,53.21,39.98,41.529999999999994
363,838,313,492,713,323,189,492,483,721,180,58,262,998,961,23,972,40.98,30.23,32.97
767,366,865,413,18,562,806,428,374,385,592,861,9,463,47,724,185,48.49,35.67,35.27
638,978,977,201,121,773,251,951,839,964,473,352,524,363,914,537,256,36.35,26.37,27.1
794,473,110,603,766,799,816,376,880,302,37,443,968,93,213,348,525,37.82,27.69,27.330000000000005
625,371,940,151,348,282,946,719,558,94,319,702,324,313,181,817,80,38.71,29.0,29.15000000000001
641,152,738,705,316,495,165,737,49,82,615,546,945,415,32,243,758,39.48,31.22,30.680000000000003
608,352,846,256,466,666,431,149,57,938,653,33,820,505,342,858,212,44.11,31.91,32.38999999999999
133,749,577,972,135,645,918,806,423,109,172,444,381,152,60,865,430,41.84,29.6,30.32
301,144,464,944,635,872,173,999,534,464,983,499,705,747,325,490,280,27.22,23.57,24.47000000000001
298,481,413,923,150,115,386,841,544,982,183,642,959,511,888,346,184,35.88,28.53,27.810000000000006
91,503,278,527,800,561,888,514,369,64,804,814,793,364,711,601,679,39.24,28.77,28.380000000000003
35,777,313,372,572,721,684,287,855,497,271,788,707,733,300,979,968,32.7,25.63,25.470000000000002
348,665,182,594,872,11,485,560,792,256,333,687,280,474,295,836,512,40.58,31.37,30.980000000000004
