n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,780,267,37,0,149,678,600,481,988,777,752,382,208.37,61.76,69.43999999999997
327,788,22,279,500,821,202,747,893,423,932,551,552,698,96,197,576,206.78,50.81,54.0
566,716,824,746,271,678,822,624,702,90,864,434,343,95,370,819,419,191.01,46.49,48.56000000000001
824,256,455,716,96,773,201,717,650,815,298,99,974,46,602,924,205,199.55,51.84,54.639999999999986
847,671,934,369,498,955,852,931,198,527,589,660,993,714,913,824,515,184.46,39.66,41.36
999,938,29,648,370,250,616,440,311,365,603,122,91,512,901,694,537,205.39,44.96,47.20000000000002
203,119,622,678,274,319,736,200,388,495,228,141,611,214,854,886,897,211.47,54.88,57.23999999999998
714,534,12,193,796,173,17,663,340,571,926,687,635,633,313,383,386,199.53,56.97,57.55999999999999
540,398,296,129,695,500,55,189,433,608,764,407,98,451,251,825,91,189.02,47.67,52.03999999999999
913,617,686,891,910,456,457,802,851,389,815,78,529,436,482,310,722,182.6,40.65,42.83999999999998
836,418,963,87,196,764,696,272,462,499,739,802,988,176,18,22,550,206.77,54.57,57.95999999999999
126,257,603,821,369,192,262,514,462,337,949,529,260,420,949,900,431,200.59,54.02,58.19999999999998
626,497,274,616,486,672,490,503,145,738,386,508,313,649,824,478,331,183.52,47.88,49.59999999999998
375,675,166,994,935,945,634,385,711,617,272,327,661,407,998,499,746,186.32,41.78,41.959999999999994
812,161,959,847,297,573,6,638,460,987,58,186,30,624,792,583,114,207.62,68.38,71.8
698,735,379,370,960,509,873,603,63,941,197,158,970,275,628,15,432,203.82,50.94,54.36
825,801,819,833,537,503,77,480,237,102,379,370,985,148,697,640,249,193.22,52.11,57.31999999999999
621,325,147,38,643,684,99,731,107,46,661,489,473,741,921,70,644,212.52,56.55,58.68000000000001
31,718,564,130,631,852,946,85,164,632,646,933,271,929,858,914,669,193.47,43.16,43.28000000000001
462,511,710,20,810,652,140,837,966,193,930,956,451,490,797,450,457,196.11,52.8,59.51999999999999
571,283,488,729,593,65,851,819,298,372,292,368,962,34,85,514,878,199.63,46.16,48.68
282,286,280,989,484,441,454,944,380,32,730,87,255,835,619,653,244,209.51,51.42,54.91999999999999
548,763,33,756,177,344,379,32,53,974,757,783,769,972,214,717,443,208.91,61.75,68.35999999999997
351,906,79,161,749,692,116,409,560,138,475,760,506,654,76,131,75,192.02,52.32,51.11999999999999
358,532,31,190,538,725,153,188,288,756,154,519,582,870,397,815,228,196.62,44.11,45.64
967,226,712,577,732,932,128,429,707,167,775,324,246,574,586,4,805,208.62,57.84,60.35999999999999
824,582,395,192,778,333,875,390,538,451,9,407,865,543,564,870,677,206.57,59.46,69.51999999999997
139,733,239,660,556,824,760,381,278,682,189,995,152,168,706,640,137,201.18,45.11,47.31999999999999
393,76,62,12,40,483,777,60,117,666,728,553,102,689,376,609,32,211.4,68.01,73.88
61,555,230,805,416,230,781,578,704,944,973,300,94,482,79,741,587,198.66,48.96,54.55999999999999
884,60,172,915,677,448,122,981,114,718,182,51,700,941,31,768,860,196.81,43.92,46.12000000000001
692,746,435,666,725,293,261,454,237,206,835,879,669,797,548,806,660,177.48,41.73,41.84000000000001
219,284,606,13,261,539,809,749,762,997,992,725,892,700,338,795,529,203.68,50.03,53.8
95,598,609,660,33,370,375,707,119,231,971,781,28,369,943,708,970,207.06,58.44,62.719999999999985
348,446,702,852,994,52,352,142,31,10,344,69,496,2,474,848,270,214.5,65.5,70.32
89,693,604,630,279,235,135,128,429,558,186,248,678,393,608,439,577,203.36,53.25,59.27999999999998
529,641,850,491,950,276,259,140,306,909,33,197,776,459,107,827,180,198.76,51.25,52.64000000000001
589,111,970,950,828,2,525,164,122,155,606,402,485,497,882,890,543,201.36,51.24,54.19999999999999
785,710,554,831,814,481,220,862,659,920,397,158,788,941,469,890,932,186.83,40.2,41.36000000000001
875,10,345,427,257,327,136,292,379,602,875,694,371,228,5,798,312,197.58,61.18,66.28
180,84,417,637,635,786,237,948,657,91,198,389,421,128,771,932,935,204.4,51.42,52.52
857,151,532,951,976,51,532,537,795,991,499,943,373,904,336,861,729,180.79,40.47,41.96000000000001
605,399,888,279,665,679,816,990,68,267,134,42,112,603,617,626,736,202.34,51.66,58.15999999999998
158,839,517,518,116,801,704,783,797,990,88,88,852,680,773,127,221,204.64,47.74,54.760000000000005
359,346,162,996,745,838,938,250,179,988,188,230,643,128,880,490,756,194.29,45.82,46.68000000000001
949,468,637,113,743,628,139,466,994,823,201,585,380,751,148,994,340,188.61,42.88,46.03999999999999
641,269,933,69,280,770,1,62,903,670,30,491,645,466,325,62,11,206.49,60.41,69.59999999999998
281,913,738,103,393,956,638,344,104,755,855,879,382,145,852,773,150,197.31,50.69,58.71999999999997
379,683,780,480,761,414,806,19,968,544,910,858,154,106,456,382,12,207.21,57.97,58.43999999999999
914,965,992,130,694,564,491,271,72,489,123,408,721,203,813,556,998,181.11,46.42,45.99999999999999
882,174,448,338,261,820,554,793,354,301,557,705,905,279,463,569,904,193.67,48.24,47.88
735,787,46,512,764,255,677,636,994,3,539,899,837,507,570,549,260,206.35,79.36,86.52000000000007
174,864,36,328,14,879,214,584,311,195,157,284,59,279,744,309,719,218.3,71.28,77.63999999999999
903,383,222,724,745,175,608,2,92,834,896,847,365,590,189,358,187,193.2,50.79,52.87999999999998
488,946,654,226,487,393,911,560,637,367,125,671,751,89,994,440,55,196.09,51.71,54.639999999999965
598,912,633,208,623,449,275,224,653,995,57,494,678,659,515,857,539,201.94,39.98,42.080000000000005
258,533,272,655,993,369,307,805,436,766,379,96,783,558,424,917,658,195.63,45.57,47.83999999999998
166,960,284,62,665,516,325,837,679,519,58,80,680,114,62,449,440,207.02,51.62,61.07999999999998
546,92,180,702,269,360,1,64,272,732,316,354,397,413,607,720,873,192.96,49.08,46.239999999999995
852,734,79,758,117,289,820,507,457,744,263,915,317,246,785,15,943,207.82,59.55,67.31999999999998
52,793,527,554,893,389,157,224,802,301,656,667,884,762,922,12,109,203.98,58.07,61.71999999999998
269,812,984,138,572,121,31,408,263,500,217,71,745,282,782,179,911,207.8,57.16,67.55999999999997
138,157,101,875,24,812,222,609,335,913,429,920,711,486,626,586,499,196.57,43.34,46.2
462,330,987,629,464,197,819,181,544,115,226,685,841,142,400,228,601,203.3,44.38,46.2
360,476,577,788,663,281,606,858,610,875,197,583,934,231,754,27,416,204.51,45.51,46.48
249,406,590,766,122,940,659,35,924,322,372,822,510,660,259,931,446,194.72,47.02,47.39999999999999
385,310,369,537,729,601,381,597,926,58,421,654,603,184,312,296,603,191.88,46.78,50.23999999999998
680,483,246,106,471,910,589,164,375,589,438,693,985,479,819,335,73,194.29,46.1,48.879999999999995
464,443,497,12,878,906,111,621,66,492,444,653,60,655,26,850,749,208.08,65.74,68.79999999999998
999,845,527,539,359,371,164,932,183,491,544,72,415,600,613,117,30,208.85,56.28,61.55999999999998
355,836,666,238,627,752,549,257,849,945,623,534,993,896,830,945,270,176.49,39.26,42.120000000000005
851,800,395,369,727,967,3,634,352,428,307,179,505,868,804,361,38,207.93,78.98,82.00000000000006
16,555,822,209,6,793,45,841,31,486,660,105,575,425,495,334,957,207.48,73.28,84.08
897,481,207,210,383,147,112,216,50,956,228,888,999,275,427,225,365,205.17,50.22,52.04
486,378,153,379,710,773,909,653,742,286,860,194,760,835,924,575,56,202.81,46.07,46.08
513,204,205,410,999,937,541,954,940,47,690,435,654,981,24,942,936,192.53,47.39,47.64000000000001
966,875,654,78,749,83,121,691,621,683,809,197,517,775,101,530,582,194.58,44.94,46.519999999999996
582,493,996,338,905,684,190,451,215,785,876,789,991,9,225,334,219,198.84,61.76,63.599999999999994
555,580,303,153,614,7,29,299,107,414,524,901,220,680,212,746,422,206.36,68.3,69.84
570,608,556,669,769,612,946,510,91,443,887,890,608,884,552,919,174,189.64,43.47,51.55999999999999
965,141,687,621,204,645,718,869,289,431,307,713,410,674,33,992,448,193.01,46.94,51.39999999999999
220,201,304,238,755,441,371,773,48,667,939,322,371,740,366,415,441,182.53,42.52,45.519999999999996
366,542,418,855,292,801,157,619,991,668,610,263,671,202,624,477,513,200.78,49.77,53.319999999999986
177,644,565,7,153,66,229,547,261,475,618,12,991,216,558,312,59,210.67,74.64,81.59999999999998
990,885,856,575,40,501,398,127,358,331,140,889,297,552,3,939,596,209.04,84.3,86.68000000000005
276,813,799,882,133,275,647,328,88,760,657,542,612,358,122,592,622,192.47,44.81,45.16
933,0,248,313,639,213,214,70,441,920,27,629,361,811,323,930,206,214.59,73.84,78.6
946,877,590,772,417,391,809,576,762,849,55,60,190,671,573,873,620,192.64,41.0,43.0
240,536,973,254,298,172,262,180,621,366,361,292,577,798,229,163,73,209.96,54.24,59.83999999999996
129,588,817,570,463,56,117,82,835,567,40,366,381,457,415,283,530,205.26,62.67,67.91999999999999
777,244,426,949,605,594,433,334,917,653,457,390,824,573,552,611,821,187.76,42.17,43.75999999999999
252,51,891,749,95,884,955,908,434,677,520,400,109,631,523,460,340,188.3,49.21,51.239999999999995
593,627,943,702,177,102,723,74,101,917,192,210,508,694,974,747,248,204.61,55.38,68.03999999999995
800,554,5,366,653,191,862,45,35,402,7,289,905,453,710,789,723,212.45,74.2,77.59999999999998
787,998,625,120,205,492,163,3,15,485,675,657,680,989,360,251,934,198.55,77.78,81.00000000000006
148,453,387,424,963,572,242,335,901,718,652,221,786,854,118,948,823,191.46,43.83,44.27999999999999
