n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
232,379,985,384,129,197,721,44,87,140,253,830,518,214,410,657,31,470,499,48.05,34.49,35.23
464,399,506,586,196,918,850,412,91,496,239,777,20,717,273,532,417,485,923,39.53,30.54,31.10000000000001
933,388,743,116,678,264,99,833,64,395,635,849,386,110,676,59,346,240,707,41.6,30.96,31.260000000000005
88,509,925,665,529,923,212,595,827,145,621,65,552,968,38,500,718,198,151,45.22,32.54,32.81000000000001
968,880,592,467,746,598,902,455,292,570,365,875,899,436,138,162,782,615,99,38.3,28.23,28.580000000000005
544,706,321,718,365,972,659,863,506,515,638,202,316,153,364,541,291,522,672,41.85,30.21,30.560000000000006
73,827,924,877,519,934,718,558,225,352,249,929,12,302,351,225,273,34,433,41.83,31.09,34.03000000000001
260,385,305,854,722,912,426,179,673,405,119,170,954,679,872,998,26,206,996,40.52,29.91,30.340000000000007
784,164,307,119,13,815,782,389,350,856,174,582,446,926,237,142,419,577,456,43.3,32.92,32.86000000000001
416,427,82,602,71,295,734,97,34,87,679,109,782,533,539,368,157,827,958,45.72,34.91,34.61
517,499,725,152,618,64,194,17,934,143,348,395,674,587,123,761,306,359,333,45.64,34.19,34.699999999999996
988,374,3,661,855,510,215,62,896,632,33,904,988,889,777,827,836,593,176,52.81,42.05,44.57
182,345,993,441,452,123,85,205,619,229,509,830,484,809,158,390,124,111,594,44.42,34.92,33.86000000000001
738,463,663,129,736,450,526,742,92,732,950,482,577,403,836,369,466,230,52,39.69,32.3,32.669999999999995
202,50,456,114,110,216,742,4,725,615,626,928,23,670,372,849,442,540,95,49.71,39.03,39.96000000000001
991,766,773,614,514,838,722,582,205,513,234,331,538,393,761,532,662,200,6,47.19,35.93,36.56
296,627,303,930,81,761,328,949,928,412,229,647,303,81,560,429,762,378,826,35.19,27.1,30.390000000000004
964,758,870,328,528,309,640,851,980,365,802,916,302,667,866,111,200,496,378,39.27,28.21,28.3
387,981,599,867,940,319,210,297,406,627,392,862,941,700,536,958,707,745,364,36.88,29.23,30.020000000000003
840,692,619,599,370,689,437,200,501,842,541,519,858,83,275,167,70,510,750,37.56,29.95,29.75000000000001
887,277,429,798,119,639,849,844,280,298,280,823,845,516,275,283,909,647,421,34.27,26.66,28.850000000000005
250,370,251,988,253,809,516,765,468,255,239,832,830,610,537,849,200,376,508,39.2,30.76,30.860000000000007
799,108,812,114,397,86,670,174,798,580,437,942,46,805,931,140,22,624,195,44.98,34.27,34.34
701,270,89,97,473,470,889,685,927,289,947,579,94,129,621,366,885,668,67,43.05,32.61,33.05000000000001
327,809,39,855,941,85,879,140,669,823,375,848,76,834,236,742,37,614,809,37.7,31.93,32.70000000000001
326,227,303,761,366,990,334,67,532,921,116,938,738,624,356,444,163,160,261,44.92,32.39,33.77000000000001
914,398,152,441,745,800,66,102,547,227,84,300,947,180,345,767,203,111,968,44.75,33.28,33.56999999999999
52,58,569,805,753,181,844,174,572,654,334,302,903,248,753,512,490,113,576,40.06,30.55,32.1
735,958,84,140,953,767,135,230,334,223,417,178,173,138,780,450,62,711,908,46.61,33.1,33.68
459,599,683,628,294,424,833,958,447,592,703,918,754,944,380,708,577,727,501,40.45,29.08,29.500000000000007
889,375,752,864,798,540,191,316,272,696,968,487,853,130,859,857,283,511,650,38.62,29.17,29.270000000000003
994,518,546,807,959,524,296,826,222,582,539,400,785,138,844,500,662,487,127,37.86,28.71,29.610000000000003
298,403,32,35,889,380,518,967,303,355,384,715,28,636,146,850,704,14,81,48.91,40.3,38.71000000000001
847,189,459,593,970,130,786,987,861,435,577,645,592,988,898,110,381,514,40,40.98,29.23,29.8
615,732,671,377,366,108,969,327,665,104,488,863,173,661,241,488,373,590,354,35.79,28.01,29.299999999999997
955,380,771,827,439,383,760,643,686,39,752,144,951,726,678,911,666,320,62,40.87,31.69,32.559999999999995
33,982,238,522,369,495,375,487,574,177,308,142,662,272,804,23,802,451,759,49.25,34.56,35.8
294,598,700,267,465,861,303,296,412,880,509,457,672,644,91,511,919,669,449,35.28,28.78,28.390000000000008
349,139,592,994,754,110,370,734,614,682,467,370,481,586,392,208,559,535,726,30.37,25.07,26.69000000000001
