n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
864,394,776,911,430,41,265,988,523,497,414,940,802,849,310,991,488,366,597,913,929,214.97,51.5,56.599999999999994
223,516,142,288,143,773,97,633,818,256,931,545,722,829,616,923,150,317,101,747,75,213.81,59.8,60.79999999999998
920,870,700,338,483,573,103,362,444,323,625,655,934,209,989,565,488,453,886,533,266,216.0,64.85,73.43999999999996
63,824,940,561,937,14,95,736,860,408,727,844,803,684,640,1,626,505,847,888,341,218.23,74.08,75.83999999999999
249,747,333,720,891,64,195,939,581,227,244,822,990,145,822,556,458,93,82,327,896,203.94,57.29,60.6
520,955,501,111,308,564,298,723,127,560,340,834,944,553,208,986,818,617,560,601,294,207.71,51.89,54.27999999999999
455,93,610,817,394,324,589,247,297,188,193,841,191,33,627,672,266,487,70,91,695,209.21,62.61,64.11999999999999
775,133,897,153,945,39,862,82,919,716,945,849,553,699,400,857,722,537,282,534,831,208.53,57.72,68.28
241,869,220,916,695,603,845,972,429,593,281,461,504,676,656,717,938,812,365,84,332,205.87,55.68,58.52
627,118,498,601,645,343,865,194,248,16,749,277,119,722,225,380,813,174,340,436,835,226.45,67.31,69.48000000000002
63,103,801,149,875,714,224,46,836,587,649,931,958,547,616,696,75,27,127,650,193,215.84,75.15,83.31999999999998
620,850,589,122,400,93,379,853,118,37,620,22,199,984,993,189,735,126,490,215,744,214.34,66.45,70.67999999999999
819,62,959,695,23,557,435,635,103,855,266,71,226,73,662,308,358,446,184,62,515,216.76,70.4,83.67999999999996
478,40,610,103,716,400,204,266,367,926,749,481,858,923,940,583,173,714,688,208,989,211.42,65.46,67.71999999999998
785,59,807,692,162,865,165,350,542,256,120,611,943,452,681,179,13,482,697,419,921,217.65,65.14,68.28
582,895,520,939,318,664,365,397,857,673,256,157,574,707,12,468,759,80,343,756,46,226.61,78.35,84.35999999999997
557,287,138,245,780,976,493,360,624,294,689,367,604,969,913,648,874,635,135,732,317,207.87,53.91,57.31999999999998
397,766,424,848,666,82,1,608,196,715,342,163,245,228,652,458,387,727,896,689,581,212.11,60.77,62.32
895,424,32,411,892,718,581,428,790,678,726,47,169,456,65,265,718,161,457,540,906,217.4,62.36,69.12
498,929,574,618,773,0,905,39,506,333,319,857,478,51,828,842,896,997,831,425,192,217.49,82.61,91.07999999999996
561,986,648,85,857,742,133,15,411,972,694,427,323,3,218,14,734,772,2,842,691,214.34,99.65,107.80000000000005
541,626,100,195,121,622,664,203,894,309,286,705,186,102,487,874,944,406,642,83,22,215.94,61.33,64.2
281,935,463,819,811,118,882,262,136,669,533,836,666,660,355,117,892,158,285,871,19,218.54,64.64,67.32
43,41,210,697,265,571,322,969,375,960,581,931,869,43,866,767,984,718,622,671,506,206.77,54.11,62.23999999999998
729,659,924,469,655,445,381,892,550,182,212,384,601,298,9,141,154,277,341,345,808,216.21,84.64,91.44
376,735,95,346,798,635,36,42,276,167,153,597,296,369,404,561,132,300,117,489,748,222.09,69.08,75.4
245,956,49,315,183,877,535,746,72,309,412,855,336,306,424,111,101,574,930,492,485,208.31,65.26,74.23999999999997
345,861,817,999,831,351,127,490,118,716,509,436,38,309,343,752,703,915,159,941,170,195.48,53.86,58.32
641,578,384,825,997,654,89,67,827,86,202,767,226,62,394,8,100,403,569,531,296,220.41,68.52,70.4
459,942,500,807,598,731,695,222,433,85,377,225,267,599,795,170,441,196,367,117,65,215.18,61.67,64.16
841,884,873,718,28,924,538,462,770,693,206,121,509,407,262,212,656,43,970,816,221,209.45,65.73,67.55999999999999
638,149,107,202,469,387,370,559,846,154,107,610,499,151,577,415,653,696,433,898,533,204.13,53.05,58.11999999999999
507,695,939,909,330,853,510,510,650,686,895,206,555,624,953,224,9,348,722,985,764,209.58,68.53,73.63999999999999
920,325,837,329,36,537,151,895,263,617,802,159,862,388,596,301,735,723,826,481,67,220.24,67.78,71.16
819,86,528,889,937,40,67,230,133,41,307,15,777,864,459,338,882,164,819,152,889,204.4,66.31,77.79999999999998
671,471,991,380,517,391,922,542,514,34,587,92,694,813,824,530,776,614,78,764,436,211.6,58.15,60.359999999999985
927,772,211,296,548,922,612,427,845,995,493,865,810,995,397,622,600,239,871,885,817,194.5,54.11,56.79999999999998
20,672,906,0,758,186,309,519,583,260,340,67,505,880,268,965,844,310,791,417,393,214.27,71.4,78.32000000000001
829,392,63,167,656,957,130,244,293,746,849,342,56,964,36,492,427,144,503,911,884,215.42,69.82,75.75999999999996
616,734,83,689,715,155,829,361,421,36,626,477,395,469,48,103,482,796,155,20,33,214.42,75.67,90.0
612,632,135,645,331,107,716,562,664,354,199,392,802,795,796,502,113,902,61,624,717,210.71,53.22,54.84000000000001
478,629,647,956,345,666,127,992,698,730,636,303,807,869,130,981,933,396,818,300,938,208.33,52.11,54.879999999999995
763,893,980,697,829,124,531,881,804,193,39,800,401,455,380,774,195,466,365,808,647,220.14,59.32,61.68
77,979,45,923,956,40,497,261,922,27,967,532,682,582,585,896,221,235,95,794,839,209.57,70.73,75.08000000000001
