n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
474,627,382,273,141,190,887,692,6,346,514,474,919,619,82,342,567,958,631,716,41,51.96,39.22,41.07000000000001
745,388,173,720,968,462,974,742,432,160,172,243,52,113,135,518,892,946,604,64,792,48.44,35.43,34.81000000000001
704,392,808,764,908,104,941,298,209,690,229,743,812,431,910,89,791,273,933,214,406,44.71,33.91,36.13999999999999
287,349,828,44,204,725,907,5,900,421,56,917,387,866,503,142,24,242,434,753,928,55.31,41.93,41.83
871,114,987,611,3,124,782,592,202,916,872,207,338,8,913,85,136,552,939,17,512,63.83,51.14,52.230000000000004
86,586,508,550,943,202,430,70,407,196,654,783,95,717,593,148,176,962,623,736,981,44.85,34.18,34.71000000000001
42,55,276,568,699,620,872,152,763,274,754,589,35,124,889,722,412,973,927,242,165,43.24,33.07,33.41000000000001
625,517,44,753,374,865,690,534,604,578,793,704,88,888,355,112,884,902,598,374,462,40.86,32.73,34.50000000000001
215,411,203,969,588,763,18,388,818,622,336,0,443,114,218,227,454,276,332,834,90,57.99,46.15,45.78000000000001
314,644,291,105,529,802,56,26,390,799,573,826,438,509,354,726,796,254,579,755,67,45.19,36.82,36.30000000000001
435,663,236,98,987,778,410,522,381,978,880,573,378,142,683,297,175,709,863,896,265,41.02,33.29,32.870000000000005
30,51,962,998,829,176,269,969,168,123,621,151,12,49,62,461,213,805,398,301,626,53.26,42.39,43.65000000000001
15,989,817,363,291,144,492,575,284,140,984,88,765,569,303,712,120,67,430,462,145,47.37,37.54,37.45
720,575,782,813,392,602,908,822,173,679,732,280,790,611,901,623,506,357,101,945,49,42.53,33.06,33.58000000000001
283,541,131,177,817,644,840,86,166,798,808,227,879,13,207,180,485,467,605,572,558,47.75,35.49,36.14
397,85,177,561,493,607,969,268,548,68,963,666,29,594,599,910,446,557,316,536,539,41.75,36.25,36.00999999999999
550,657,931,815,67,898,658,587,555,978,307,65,742,229,737,140,105,102,716,503,464,46.38,36.14,37.02
61,501,910,652,744,54,695,617,29,382,249,899,469,236,380,842,985,747,586,639,507,44.24,33.55,33.70000000000001
896,248,36,637,611,86,627,48,694,419,416,602,70,82,193,34,622,770,185,86,66,49.8,34.08,36.65
30,363,639,481,560,548,486,26,720,794,77,341,86,801,329,8,474,976,459,604,152,51.81,38.32,38.31000000000001
999,395,489,852,141,108,914,357,687,236,462,798,132,196,991,226,111,113,53,122,76,47.25,36.42,36.72000000000001
960,660,999,84,381,106,758,24,478,641,534,205,378,895,649,83,241,5,262,781,530,54.11,41.97,42.01
699,202,15,449,259,966,625,22,983,105,531,819,427,59,920,257,486,872,322,619,895,47.73,35.96,37.39000000000001
225,654,60,697,281,135,307,39,819,191,998,361,805,923,412,953,7,897,942,309,990,48.55,38.72,40.03000000000001
879,96,30,325,449,253,426,618,329,503,576,355,901,857,913,408,440,213,80,283,308,51.6,37.79,38.60999999999999
472,477,625,946,582,466,450,394,190,337,411,60,332,94,174,325,556,27,193,216,728,48.45,38.17,37.83000000000001
373,674,918,140,966,640,87,345,998,457,985,621,613,779,963,904,686,751,394,216,713,42.17,32.1,31.860000000000007
554,789,343,77,19,685,565,431,481,232,887,744,331,782,853,818,526,514,101,474,734,44.78,36.95,36.260000000000005
3,291,939,546,210,73,229,11,943,322,43,93,152,336,167,710,98,521,843,808,413,60.45,49.11,50.739999999999995
664,859,404,398,909,600,518,889,138,520,706,365,367,969,276,206,328,936,394,580,186,50.04,34.09,35.41
818,627,795,889,182,584,175,9,313,700,908,20,285,490,535,886,772,693,437,930,772,51.41,40.73,42.84000000000001
95,279,291,147,529,462,490,696,237,183,338,150,766,694,355,761,615,52,558,285,951,43.84,34.41,35.09
352,26,592,190,550,797,973,685,780,98,464,137,348,215,765,556,137,924,432,221,527,43.76,33.53,35.22
207,859,702,582,433,10,866,568,50,958,792,732,363,508,381,62,381,827,817,408,907,51.3,37.62,41.07
474,447,647,744,987,195,569,101,939,170,987,601,86,912,363,266,909,253,785,480,992,40.65,29.59,31.310000000000006
