n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,5.63,4.49,4.65
133,378,937,9.11,4.73,5.479999999999999
618,485,640,4.4,4.48,4.230000000000001
594,67,620,8.18,6.64,6.1899999999999995
13,930,857,14.88,8.85,8.160000000000002
480,265,564,5.56,4.31,4.530000000000001
239,196,734,6.81,4.5,4.760000000000002
481,553,856,5.86,3.9,4.150000000000001
562,487,406,4.36,4.15,4.1800000000000015
654,881,154,5.58,4.49,4.460000000000001
237,650,155,7.89,6.9,6.179999999999999
888,948,535,5.59,4.0,4.010000000000002
399,759,15,13.05,7.34,7.159999999999998
687,795,65,7.55,4.8,4.820000000000001
163,776,980,5.06,4.59,4.740000000000001
605,43,308,7.2,6.24,5.510000000000001
798,31,843,6.53,5.19,5.170000000000002
886,275,484,9.85,5.25,5.6
609,736,942,8.08,4.3,5.2799999999999985
899,396,731,6.51,4.57,4.69
807,943,437,5.01,5.11,4.670000000000002
404,745,820,8.46,5.47,5.219999999999999
590,455,987,5.77,5.05,4.749999999999998
958,137,899,5.87,4.91,4.520000000000001
374,99,36,12.31,7.56,7.400000000000002
139,506,222,6.37,5.18,4.840000000000002
264,988,688,5.74,4.34,4.5200000000000005
446,797,641,6.52,4.29,4.330000000000001
875,308,431,6.33,4.74,5.239999999999998
519,853,395,6.0,4.96,5.379999999999999
587,359,546,7.01,5.11,5.309999999999999
599,417,598,5.42,4.0,4.250000000000001
237,925,344,8.22,5.32,4.940000000000001
698,937,951,8.22,4.34,4.700000000000001
29,876,286,11.11,5.25,5.52
620,687,712,5.66,4.54,4.350000000000001
167,715,881,7.19,5.36,5.090000000000002
334,987,554,6.53,4.43,4.460000000000001
926,585,582,5.75,4.51,4.36
106,730,671,5.9,4.35,4.410000000000002
216,648,851,7.61,4.89,4.860000000000001
587,273,291,7.46,5.79,5.229999999999999
127,64,493,8.0,5.09,5.310000000000001
874,654,495,4.64,4.01,3.9700000000000006
90,352,819,6.19,5.17,5.210000000000002
68,420,918,7.9,5.92,5.750000000000002
154,20,300,11.54,7.25,7.7299999999999995
437,787,425,6.68,5.98,5.559999999999999
893,121,45,10.36,5.79,5.810000000000001
619,629,779,6.25,4.1,4.470000000000001
46,386,735,9.07,6.54,6.610000000000001
600,338,564,7.41,5.04,4.860000000000001
902,944,285,5.93,4.04,4.330000000000001
517,241,36,13.11,7.16,7.020000000000001
317,7,78,16.12,12.79,12.379999999999999
110,614,548,4.79,4.2,4.170000000000001
32,971,202,10.32,6.65,6.550000000000001
994,417,298,5.82,4.41,4.120000000000001
625,269,159,9.8,5.52,5.989999999999998
706,43,888,5.91,5.04,4.950000000000001
347,321,368,6.83,5.2,5.270000000000002
981,141,918,6.61,4.34,4.610000000000001
882,386,385,6.13,4.67,4.630000000000002
471,890,532,6.4,4.46,4.450000000000001
395,659,887,6.05,4.77,4.510000000000002
609,697,572,7.25,4.32,4.240000000000001
105,635,996,6.43,4.27,4.210000000000001
963,830,519,4.55,3.97,3.980000000000001
277,441,649,5.46,5.03,4.7
737,732,243,5.44,5.06,4.870000000000001
958,308,447,5.38,4.66,5.01
264,533,310,6.1,4.33,4.160000000000001
561,347,11,11.6,8.29,8.360000000000001
807,425,593,7.35,5.36,5.729999999999999
322,20,385,11.87,7.24,7.4399999999999995
630,603,647,6.75,4.93,4.6800000000000015
136,61,648,8.48,5.42,5.580000000000002
642,340,477,7.08,4.7,4.830000000000002
361,695,939,4.37,4.28,4.07
361,623,723,6.77,4.67,4.570000000000002
285,755,501,8.86,4.92,5.389999999999999
22,603,62,11.64,7.45,7.229999999999999
977,692,21,8.61,6.29,6.440000000000001
986,378,257,7.88,4.79,5.050000000000002
643,467,305,7.1,4.72,5.209999999999999
606,615,327,5.81,4.36,4.620000000000001
181,372,189,6.64,5.19,5.290000000000001
320,776,378,6.67,4.69,4.73
864,609,270,5.81,4.9,4.960000000000001
307,806,386,7.03,4.88,4.850000000000001
107,790,832,5.43,4.29,4.240000000000001
27,994,582,11.51,7.63,7.9200000000000035
700,752,134,8.3,6.16,5.949999999999999
317,512,227,9.17,5.03,5.6099999999999985
669,823,275,4.43,4.39,4.130000000000001
244,335,191,6.88,4.97,4.840000000000001
694,445,665,8.68,5.85,5.799999999999998
714,99,104,8.28,5.4,5.4300000000000015
615,329,971,5.58,4.11,4.200000000000001
341,691,853,7.08,5.42,6.14
