n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,81.08,7.4,7.0
404,666,49,109.0,17.26,17.999999999999986
74,840,548,109.75,13.4,14.119999999999997
96,374,596,84.94,12.89,11.319999999999993
59,931,519,83.29,8.62,8.64
219,38,88,121.11,13.28,13.880000000000004
444,428,71,123.6,13.34,12.48
246,92,564,75.01,7.39,7.160000000000001
434,60,846,80.0,10.13,9.76
579,126,970,68.8,8.43,8.32
228,645,642,73.77,8.56,8.64
596,970,63,68.19,9.08,9.320000000000002
590,599,406,62.9,9.12,9.599999999999993
50,999,226,84.65,8.08,8.16
47,570,879,115.23,15.76,15.759999999999993
136,296,429,66.17,7.34,7.120000000000001
147,553,120,80.07,7.82,8.0
584,315,573,81.33,7.5,7.32
835,698,185,90.95,7.77,7.760000000000002
105,595,584,81.86,9.39,9.080000000000002
654,192,381,96.18,16.28,15.479999999999993
99,560,729,84.73,7.54,7.84
64,577,61,115.07,12.02,11.16
633,210,508,84.72,10.87,14.159999999999984
696,544,437,69.76,7.23,7.280000000000001
795,321,476,66.33,6.78,6.680000000000001
599,945,464,52.32,7.0,6.4
370,306,254,81.91,12.62,11.879999999999992
813,184,715,87.42,8.15,8.040000000000001
798,249,83,96.85,10.05,10.32
588,307,537,73.66,7.27,7.999999999999999
506,896,351,47.71,7.67,7.200000000000001
746,459,294,72.83,7.66,7.640000000000001
623,74,120,126.62,15.67,14.639999999999995
524,428,168,68.35,12.54,11.759999999999991
775,350,155,95.94,10.16,9.760000000000003
955,500,431,56.77,8.17,9.239999999999993
40,985,684,93.96,10.9,10.200000000000003
79,782,571,103.25,11.22,9.720000000000002
586,808,896,44.01,6.18,6.24
837,321,348,78.76,7.18,7.280000000000001
711,358,608,95.26,10.67,10.919999999999993
508,593,816,79.22,9.65,9.879999999999994
467,70,860,74.92,7.36,7.400000000000001
95,967,276,73.91,7.43,8.000000000000002
485,713,680,44.13,6.62,6.159999999999999
66,62,748,113.31,15.86,15.479999999999986
718,317,662,73.87,10.19,11.359999999999992
591,697,841,61.37,6.81,6.84
456,291,733,49.55,6.25,5.800000000000001
395,908,684,98.42,11.19,11.759999999999994
355,23,963,119.33,14.46,14.84
472,363,172,60.07,7.18,7.4399999999999995
625,119,505,66.28,8.52,7.800000000000001
60,223,786,85.91,10.93,10.479999999999999
294,132,756,69.36,11.24,10.839999999999993
253,407,400,79.25,10.21,10.56
938,892,508,96.39,15.62,14.959999999999985
82,170,459,112.17,11.12,11.88
411,562,284,70.26,6.71,6.960000000000001
904,140,838,86.69,9.01,9.560000000000002
440,884,563,66.09,6.68,6.920000000000001
285,723,425,93.0,9.92,11.839999999999995
367,699,905,69.67,8.56,9.679999999999993
389,980,236,59.87,7.3,7.52
154,84,180,121.62,13.96,14.600000000000003
154,237,674,88.25,8.69,8.44
238,12,496,128.93,19.26,19.71999999999999
851,603,186,95.45,8.64,8.080000000000002
269,288,4,152.38,28.89,30.319999999999986
149,429,547,71.96,8.03,8.040000000000003
378,624,579,68.15,6.89,7.16
326,975,128,97.73,12.57,13.239999999999995
707,879,527,47.34,6.62,6.32
973,632,670,77.08,8.55,8.480000000000002
692,757,55,59.96,7.0,7.760000000000001
467,921,891,36.12,5.36,5.24
798,974,895,59.45,6.15,6.5600000000000005
696,817,572,91.22,7.31,7.759999999999998
401,407,408,85.83,12.77,11.519999999999992
403,106,493,77.47,9.42,8.8
649,410,63,96.39,9.76,10.8
195,68,213,83.84,10.13,10.320000000000002
451,166,112,104.38,11.32,12.679999999999994
348,615,53,90.97,9.0,8.840000000000002
104,0,580,157.13,33.16,34.11999999999998
154,549,103,97.8,12.27,12.639999999999993
971,372,628,62.23,6.82,7.0
26,72,895,116.82,17.16,17.679999999999996
212,628,385,73.9,9.54,10.240000000000002
152,649,258,100.08,8.63,8.92
978,355,616,69.83,7.33,8.760000000000002
372,485,125,80.33,10.15,9.84
118,869,499,55.91,6.05,5.92
477,491,495,67.02,6.4,6.6
319,87,147,95.53,10.66,9.68
104,767,350,70.65,7.39,7.800000000000001
758,271,490,65.41,8.28,8.2
848,708,165,85.13,9.88,11.279999999999992
528,23,210,131.73,18.76,19.839999999999993
