n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
137,582,867,821,782,10.25,7.38,7.280000000000001
64,261,120,507,779,11.94,9.06,8.470000000000002
460,483,667,388,807,12.02,7.36,7.700000000000003
214,96,499,29,914,17.46,10.24,11.089999999999996
855,399,443,622,780,11.77,8.04,7.7200000000000015
785,2,712,456,272,11.11,9.04,9.0
738,821,234,605,967,10.03,7.31,7.729999999999999
104,923,325,31,22,16.59,11.19,11.390000000000004
26,665,554,9,961,24.54,14.89,15.75
902,390,702,221,992,8.48,6.98,6.970000000000002
432,743,29,540,227,11.22,8.01,8.3
782,448,961,507,566,11.42,8.06,7.790000000000003
238,353,236,693,224,11.82,9.28,9.400000000000002
779,470,975,296,948,7.02,6.47,6.410000000000001
22,426,857,938,569,13.23,9.25,8.740000000000002
944,657,102,190,644,10.67,8.27,8.37
741,880,303,123,760,9.54,7.31,7.620000000000001
340,917,738,996,728,9.35,8.49,7.729999999999999
512,958,990,432,519,9.59,7.23,7.140000000000002
849,932,686,194,310,10.2,8.2,7.860000000000003
290,601,996,903,511,11.21,7.52,7.670000000000002
866,963,517,402,603,10.18,6.85,6.820000000000001
873,35,491,248,761,12.46,8.67,8.700000000000001
816,413,424,680,177,11.74,8.0,8.19
375,561,903,719,794,9.79,7.21,6.9700000000000015
690,755,383,88,449,14.05,9.71,9.36
679,520,110,797,167,8.63,8.22,7.800000000000002
533,860,402,379,501,8.11,6.93,6.9300000000000015
750,30,480,44,315,18.23,11.96,12.04
720,868,629,607,592,10.62,7.39,7.300000000000002
403,662,174,172,514,13.39,9.71,9.420000000000002
232,12,789,204,552,16.52,11.44,11.150000000000002
942,880,561,237,414,8.91,7.06,7.410000000000002
526,352,975,867,591,8.48,7.01,7.260000000000002
361,470,931,275,675,9.07,6.98,7.230000000000002
561,623,980,746,5,16.93,10.73,11.279999999999998
392,802,877,840,977,7.75,6.83,6.990000000000003
907,960,758,524,828,11.2,7.29,8.22
132,531,796,574,210,15.02,9.96,9.909999999999997
436,972,57,492,890,13.47,9.29,9.08
373,583,567,204,963,8.87,7.4,7.380000000000003
516,423,496,832,365,8.18,7.19,7.040000000000001
424,354,1,551,553,8.35,8.02,7.490000000000003
638,805,627,339,469,10.18,8.21,8.070000000000002
614,28,823,235,650,15.98,11.77,11.559999999999999
181,563,598,185,881,13.77,8.08,8.070000000000002
93,817,564,816,871,12.41,8.39,8.719999999999999
836,953,261,33,861,14.11,9.22,9.65
966,689,72,85,888,11.32,8.95,8.82
17,463,14,772,773,20.0,14.18,14.539999999999997
287,255,275,112,816,12.91,8.02,8.370000000000001
639,189,352,297,71,13.21,8.43,8.800000000000002
171,163,261,540,974,10.49,8.3,8.140000000000002
172,672,279,663,728,10.56,8.74,7.979999999999999
301,465,719,329,508,11.68,7.68,8.59
485,116,24,319,395,16.14,11.37,11.110000000000003
351,431,815,192,264,13.6,8.48,9.249999999999998
111,259,921,747,522,11.12,8.01,8.339999999999998
214,988,620,442,836,13.01,8.69,9.29
998,21,230,18,406,17.68,14.46,13.960000000000003
149,36,736,982,164,15.82,11.06,11.71
456,721,518,694,436,9.27,6.92,7.080000000000002
557,852,225,999,645,10.82,8.16,8.040000000000001
816,711,528,461,228,8.74,7.21,7.030000000000001
536,664,31,404,691,13.85,9.94,10.389999999999997
589,822,328,675,646,12.01,7.13,7.180000000000002
436,60,755,305,128,15.09,9.45,10.059999999999999
991,217,896,48,313,11.59,8.27,8.150000000000002
72,879,78,317,939,12.66,9.76,9.819999999999997
961,305,761,162,426,10.32,7.48,7.760000000000001
578,258,133,8,574,19.84,11.06,11.52
899,870,38,604,839,10.47,7.69,7.470000000000002
222,985,922,583,471,8.5,7.05,7.280000000000002
175,847,888,890,997,10.78,7.81,7.730000000000002
798,720,637,521,38,11.89,8.05,8.68
387,205,355,101,210,11.82,9.88,9.11
587,690,918,443,605,12.71,8.12,8.450000000000001
198,504,106,960,681,12.22,8.56,8.720000000000002
399,303,516,511,17,12.63,10.44,9.84
333,626,892,411,921,11.02,8.28,8.26
288,18,160,205,878,17.56,12.97,12.270000000000003
335,830,576,801,138,12.19,7.54,7.800000000000002
347,439,218,272,690,10.04,7.7,7.670000000000002
98,857,388,954,560,8.41,7.42,7.330000000000002
352,936,903,857,703,9.64,6.96,7.200000000000001
547,496,786,545,240,12.92,8.59,8.43
66,742,41,86,136,13.76,10.58,10.190000000000001
173,170,932,551,218,11.31,7.79,7.960000000000002
274,777,340,614,518,8.72,7.17,7.010000000000002
861,261,376,346,348,8.19,7.43,7.490000000000002
116,298,240,888,966,11.27,9.59,9.01
618,798,977,732,908,9.69,7.47,7.589999999999999
500,138,593,564,788,9.02,6.92,6.780000000000002
106,328,40,416,74,14.82,10.48,11.280000000000001
389,886,807,150,848,12.67,8.33,8.3
128,349,117,629,601,16.75,10.04,9.88
800,948,387,78,584,11.24,7.43,7.860000000000003
563,229,579,83,975,11.23,8.6,8.200000000000003
273,373,912,302,577,8.73,6.88,7.010000000000002
547,947,117,468,918,12.32,9.74,9.280000000000003
