n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,490,158,136.36,26.05,27.119999999999983
92,68,20,411,562,939,296,154.83,26.47,26.199999999999996
819,783,60,227,532,549,368,141.95,20.65,20.84
283,798,176,846,108,268,219,137.29,18.49,19.76
965,949,26,848,656,826,266,138.87,16.66,17.640000000000004
819,278,198,168,317,296,642,155.13,27.66,27.799999999999983
888,749,983,875,868,901,381,125.86,16.35,17.840000000000003
88,865,620,345,687,397,518,144.11,21.24,22.36
254,182,253,484,286,91,967,146.36,27.2,27.55999999999999
957,837,886,964,560,860,307,119.93,18.18,20.359999999999985
7,930,298,586,721,903,319,172.78,34.31,34.919999999999995
868,783,520,199,423,433,613,132.9,17.87,18.320000000000004
295,441,462,165,238,312,265,143.58,18.7,19.84
832,816,44,83,47,473,641,172.22,30.34,31.99999999999999
287,531,547,663,482,717,351,136.61,22.39,21.479999999999993
148,689,200,68,422,935,207,146.76,19.72,21.240000000000002
650,647,451,282,188,364,446,137.04,25.09,27.119999999999976
764,602,328,649,571,203,926,109.46,15.72,16.080000000000002
331,103,859,63,725,234,284,159.79,26.59,25.639999999999997
783,596,630,882,243,125,339,158.97,20.01,21.32
957,181,297,470,26,43,365,163.29,28.36,29.999999999999996
714,84,917,987,977,292,752,125.05,21.64,20.560000000000006
691,982,334,18,330,295,329,166.66,30.76,31.839999999999993
989,156,793,667,420,882,965,143.32,23.46,23.159999999999993
890,635,696,837,79,300,632,126.94,19.12,18.32
196,915,454,299,139,256,390,149.69,19.38,19.48
613,984,162,339,586,9,372,182.91,34.62,34.44
45,465,173,373,802,823,371,139.74,18.61,19.36
297,585,99,449,212,434,938,147.92,22.38,23.440000000000005
212,116,60,63,56,754,172,169.63,28.9,29.92
609,693,993,153,621,41,559,149.38,24.59,26.08
502,596,255,329,36,125,854,154.99,25.41,25.76
541,299,792,419,667,205,489,155.29,17.66,17.400000000000002
206,247,449,420,503,37,224,148.41,25.54,26.159999999999993
431,454,254,662,910,438,850,143.29,25.56,24.479999999999986
220,510,192,32,37,260,259,167.02,32.39,30.96
248,538,213,790,237,427,890,133.37,19.6,22.07999999999999
267,145,332,52,912,950,322,146.73,20.62,20.120000000000005
578,119,583,412,985,922,668,132.34,17.58,17.440000000000005
669,891,809,734,762,41,506,144.38,21.25,21.839999999999993
396,95,440,215,952,894,586,141.94,21.62,21.400000000000002
921,966,946,169,344,303,672,111.07,16.43,15.64
482,818,922,657,322,834,430,102.53,17.91,18.159999999999993
540,220,670,820,702,820,274,95.17,13.65,15.520000000000001
346,944,401,979,508,76,879,147.29,24.35,22.959999999999994
994,286,984,642,684,195,45,135.94,22.36,22.04
404,920,634,130,785,991,275,136.37,21.88,22.199999999999985
683,876,61,890,171,704,650,143.05,20.46,20.639999999999993
475,582,483,764,413,949,399,110.73,15.89,15.040000000000003
223,817,3,216,944,160,13,188.5,68.1,72.08000000000006
624,897,263,118,405,829,788,167.44,22.75,23.83999999999999
801,390,898,227,563,54,899,134.15,20.11,20.600000000000005
