n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
474,627,382,273,141,190,887,14.33,10.3,10.710000000000004
692,6,346,514,474,919,619,22.62,18.25,17.960000000000008
82,342,567,958,631,716,41,16.97,12.94,13.25
745,388,173,720,968,462,974,11.96,10.13,10.020000000000003
742,432,160,172,243,52,113,16.85,13.74,13.230000000000002
135,518,892,946,604,64,792,14.79,12.24,11.96
704,392,808,764,908,104,941,15.29,11.16,11.46
298,209,690,229,743,812,431,17.62,11.41,12.279999999999998
910,89,791,273,933,214,406,15.35,13.1,12.619999999999997
287,349,828,44,204,725,907,20.03,14.0,13.850000000000001
5,900,421,56,917,387,866,21.19,14.62,14.919999999999998
503,142,24,242,434,753,928,17.45,13.84,13.660000000000004
871,114,987,611,3,124,782,34.82,25.12,26.879999999999995
592,202,916,872,207,338,8,20.59,14.19,13.930000000000003
913,85,136,552,939,17,512,17.4,13.23,13.16
86,586,508,550,943,202,430,17.43,11.9,12.3
70,407,196,654,783,95,717,14.49,11.18,11.490000000000002
593,148,176,962,623,736,981,16.11,11.35,11.06
42,55,276,568,699,620,872,12.64,10.44,10.610000000000003
152,763,274,754,589,35,124,16.17,12.15,12.520000000000001
889,722,412,973,927,242,165,13.73,10.18,10.360000000000003
625,517,44,753,374,865,690,18.2,12.78,12.780000000000001
534,604,578,793,704,88,888,14.81,11.37,11.140000000000002
355,112,884,902,598,374,462,14.08,11.18,10.940000000000003
215,411,203,969,588,763,18,25.2,17.91,17.43
388,818,622,336,0,443,114,26.91,18.38,18.490000000000002
218,227,454,276,332,834,90,14.36,10.83,10.780000000000005
314,644,291,105,529,802,56,14.87,10.89,11.430000000000003
26,390,799,573,826,438,509,14.9,12.48,11.980000000000002
354,726,796,254,579,755,67,18.13,13.04,13.34
435,663,236,98,987,778,410,13.78,10.93,10.830000000000004
522,381,978,880,573,378,142,14.7,11.49,11.170000000000002
683,297,175,709,863,896,265,14.36,11.09,10.930000000000003
30,51,962,998,829,176,269,17.89,13.06,12.940000000000001
969,168,123,621,151,12,49,23.27,19.0,18.54
62,461,213,805,398,301,626,17.52,12.37,12.450000000000003
15,989,817,363,291,144,492,20.0,14.1,15.079999999999995
575,284,140,984,88,765,569,16.23,12.07,12.100000000000003
303,712,120,67,430,462,145,13.7,10.89,10.920000000000003
720,575,782,813,392,602,908,14.19,10.88,10.629999999999999
822,173,679,732,280,790,611,12.53,10.05,10.100000000000001
901,623,506,357,101,945,49,18.37,12.09,12.93
283,541,131,177,817,644,840,18.08,12.79,12.979999999999997
86,166,798,808,227,879,13,21.83,12.65,13.570000000000004
207,180,485,467,605,572,558,14.2,9.79,10.100000000000003
397,85,177,561,493,607,969,18.12,12.68,12.290000000000001
268,548,68,963,666,29,594,19.59,12.25,13.100000000000001
599,910,446,557,316,536,539,14.71,10.27,10.819999999999999
550,657,931,815,67,898,658,17.88,12.23,11.860000000000003
587,555,978,307,65,742,229,17.94,11.64,12.08
737,140,105,102,716,503,464,20.61,14.19,13.259999999999996
61,501,910,652,744,54,695,16.2,13.04,12.400000000000004
617,29,382,249,899,469,236,16.52,11.61,11.910000000000002
380,842,985,747,586,639,507,13.11,9.69,9.770000000000001
896,248,36,637,611,86,627,20.1,14.49,14.430000000000001
48,694,419,416,602,70,82,16.08,11.88,11.980000000000002
193,34,622,770,185,86,66,15.94,11.12,10.750000000000004
30,363,639,481,560,548,486,13.95,11.84,11.550000000000002
26,720,794,77,341,86,801,21.49,14.53,14.140000000000002
329,8,474,976,459,604,152,19.41,12.6,13.160000000000002
999,395,489,852,141,108,914,17.79,11.39,12.040000000000003
357,687,236,462,798,132,196,17.72,11.62,11.98
991,226,111,113,53,122,76,17.85,12.81,13.330000000000002
960,660,999,84,381,106,758,17.43,14.2,14.16
24,478,641,534,205,378,895,15.53,12.32,12.170000000000003
649,83,241,5,262,781,530,22.24,15.82,16.06
699,202,15,449,259,966,625,20.26,13.95,13.809999999999997
22,983,105,531,819,427,59,19.8,13.43,13.090000000000003
920,257,486,872,322,619,895,13.95,10.53,10.570000000000002
225,654,60,697,281,135,307,15.01,11.54,11.880000000000004
39,819,191,998,361,805,923,19.0,13.23,13.130000000000003
412,953,7,897,942,309,990,23.37,16.33,15.900000000000002
879,96,30,325,449,253,426,20.78,14.83,14.91
618,329,503,576,355,901,857,12.03,11.53,10.850000000000003
913,408,440,213,80,283,308,18.81,13.69,13.270000000000001
472,477,625,946,582,466,450,11.09,10.42,10.050000000000004
394,190,337,411,60,332,94,15.96,12.83,12.240000000000004
174,325,556,27,193,216,728,20.89,15.15,15.660000000000004
373,674,918,140,966,640,87,13.52,11.07,11.100000000000001
345,998,457,985,621,613,779,14.62,10.82,10.68
963,904,686,751,394,216,713,11.75,10.52,10.140000000000004
554,789,343,77,19,685,565,21.01,13.48,13.750000000000004
431,481,232,887,744,331,782,14.12,11.19,10.61
853,818,526,514,101,474,734,16.07,11.29,12.04
3,291,939,546,210,73,229,35.77,25.64,26.309999999999995
11,943,322,43,93,152,336,22.97,17.44,16.61
167,710,98,521,843,808,413,14.06,10.94,10.770000000000001
664,859,404,398,909,600,518,20.03,13.08,12.559999999999999
889,138,520,706,365,367,969,16.09,11.57,11.56
276,206,328,936,394,580,186,15.01,10.77,11.41
818,627,795,889,182,584,175,17.89,12.12,12.110000000000003
9,313,700,908,20,285,490,26.72,19.24,20.470000000000002
535,886,772,693,437,930,772,13.23,10.25,11.52
95,279,291,147,529,462,490,19.2,12.01,11.690000000000001
696,237,183,338,150,766,694,15.05,11.65,11.93
355,761,615,52,558,285,951,15.29,11.51,11.550000000000004
352,26,592,190,550,797,973,16.95,12.6,12.470000000000002
685,780,98,464,137,348,215,17.19,11.99,12.010000000000002
765,556,137,924,432,221,527,15.46,10.54,10.850000000000001
207,859,702,582,433,10,866,21.45,14.62,14.310000000000002
