n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,490,158,92,68,21.4,15.27,17.06
20,411,562,939,296,819,783,60,227,25.37,17.86,17.140000000000004
532,549,368,283,798,176,846,108,268,19.01,14.57,14.520000000000003
219,965,949,26,848,656,826,266,819,16.37,13.75,13.770000000000001
278,198,168,317,296,642,888,749,983,23.15,15.72,16.18
875,868,901,381,88,865,620,345,687,20.05,16.0,15.310000000000002
397,518,254,182,253,484,286,91,967,24.59,17.78,17.15
957,837,886,964,560,860,307,7,930,27.6,20.25,20.31
298,586,721,903,319,868,783,520,199,19.46,13.91,13.790000000000003
423,433,613,295,441,462,165,238,312,16.26,13.55,13.850000000000003
265,832,816,44,83,47,473,641,287,29.34,19.19,19.390000000000004
531,547,663,482,717,351,148,689,200,22.37,15.92,15.910000000000004
68,422,935,207,650,647,451,282,188,22.51,15.83,16.219999999999995
364,446,764,602,328,649,571,203,926,17.87,13.41,13.450000000000003
331,103,859,63,725,234,284,783,596,23.13,15.68,15.990000000000004
630,882,243,125,339,957,181,297,470,23.38,15.43,15.6
26,43,365,714,84,917,987,977,292,23.03,18.28,17.980000000000004
752,691,982,334,18,330,295,329,989,28.32,19.87,19.07
156,793,667,420,882,965,890,635,696,18.66,13.94,13.800000000000004
837,79,300,632,196,915,454,299,139,18.11,14.52,14.680000000000007
256,390,613,984,162,339,586,9,372,28.69,20.3,20.130000000000003
45,465,173,373,802,823,371,297,585,19.81,14.46,14.650000000000004
99,449,212,434,938,212,116,60,63,22.32,16.07,19.180000000000003
56,754,172,609,693,993,153,621,41,23.86,16.84,16.98
559,502,596,255,329,36,125,854,541,24.31,16.31,16.240000000000006
299,792,419,667,205,489,206,247,449,18.4,14.15,14.540000000000003
420,503,37,224,431,454,254,662,910,22.85,17.71,17.34
438,850,220,510,192,32,37,260,259,26.1,18.04,17.880000000000006
248,538,213,790,237,427,890,267,145,23.54,15.7,15.590000000000002
332,52,912,950,322,578,119,583,412,18.46,14.29,14.280000000000005
985,922,668,669,891,809,734,762,41,20.39,14.76,14.59
506,396,95,440,215,952,894,586,921,20.32,15.05,15.050000000000002
966,946,169,344,303,672,482,818,922,18.34,14.21,13.96
657,322,834,430,540,220,670,820,702,15.22,12.62,12.820000000000004
820,274,346,944,401,979,508,76,879,22.25,14.53,14.799999999999999
994,286,984,642,684,195,45,404,920,22.68,15.94,15.8
634,130,785,991,275,683,876,61,890,18.54,14.44,14.069999999999999
171,704,650,475,582,483,764,413,949,15.86,13.23,13.26
399,223,817,3,216,944,160,13,624,42.65,32.91,33.92999999999999
897,263,118,405,829,788,801,390,898,20.46,15.84,15.19
227,563,54,899,973,206,165,687,622,19.1,14.28,14.570000000000004
338,838,913,575,792,803,482,937,539,18.32,14.37,14.340000000000002
450,27,80,35,712,608,115,500,574,27.08,19.82,19.900000000000006
885,263,622,792,142,42,371,81,786,20.93,15.79,16.65
900,535,926,10,304,857,355,847,76,26.57,17.99,18.210000000000004
87,982,556,464,390,210,806,318,397,24.2,16.31,15.809999999999999
239,776,498,876,989,409,97,79,117,24.83,17.25,17.560000000000002
937,635,817,906,374,524,444,425,878,21.58,14.98,15.069999999999999
728,795,454,68,643,902,963,200,652,21.99,15.38,15.540000000000003
309,952,856,490,432,121,817,571,171,17.46,13.28,14.010000000000002
380,895,166,180,723,152,334,506,880,19.39,14.57,14.870000000000003
346,264,554,997,925,4,727,172,5,33.87,22.51,22.919999999999998
663,319,123,558,113,498,805,732,615,18.4,14.47,14.460000000000004
495,538,77,533,251,421,867,300,365,21.24,15.12,15.000000000000002
234,785,184,884,641,1,692,54,624,18.94,14.85,15.160000000000004
929,320,557,934,930,478,801,933,581,20.14,14.74,14.120000000000005
312,959,888,518,805,451,627,632,452,21.93,15.7,15.609999999999998
401,144,257,789,611,370,677,348,136,18.07,13.49,13.830000000000005
443,84,620,147,691,828,637,181,292,27.57,17.63,18.520000000000003
923,962,380,202,589,812,358,691,635,18.61,13.12,13.67
904,95,78,412,661,958,925,183,337,20.71,15.14,15.250000000000002
669,380,334,178,307,904,23,618,20,27.99,20.81,19.930000000000003
536,972,772,849,90,820,367,826,832,23.26,15.29,15.389999999999999
976,100,162,186,598,507,676,587,960,19.52,15.14,14.900000000000002
78,778,947,991,119,176,667,490,691,17.35,13.26,13.020000000000003
907,763,227,632,805,851,676,310,873,17.91,14.17,13.9
950,704,415,902,613,243,918,501,720,16.58,12.78,13.340000000000003
226,317,376,235,763,334,550,641,542,21.96,16.26,16.299999999999997
462,920,822,409,518,410,992,837,320,18.22,13.47,13.920000000000002
290,448,421,602,13,257,188,918,553,24.43,16.43,17.670000000000005
469,709,574,629,845,373,413,973,397,20.09,15.44,15.0
638,28,159,523,69,469,997,988,645,26.72,18.11,18.59
942,355,618,815,319,932,93,773,264,17.8,14.52,14.470000000000002
495,227,655,950,488,913,618,796,67,15.85,13.57,13.060000000000002
152,946,244,70,306,135,970,48,167,23.53,16.49,16.000000000000004
407,809,595,697,635,560,730,982,551,14.78,12.5,12.640000000000004
268,18,536,251,161,769,99,210,32,31.09,20.22,20.759999999999998
972,324,83,124,277,62,899,658,295,25.58,18.4,18.29
624,911,646,718,176,748,152,670,424,21.06,15.11,14.999999999999998
975,133,899,726,736,83,573,373,710,23.15,14.89,15.13
2,741,901,565,159,514,421,157,220,26.53,17.6,18.099999999999994
864,305,495,519,69,384,172,167,895,19.84,15.43,14.78
911,262,527,400,550,698,310,882,410,20.77,14.73,14.65
336,174,396,63,433,28,285,897,692,26.36,18.92,17.950000000000003
19,311,983,808,156,87,160,118,868,23.59,16.74,16.780000000000005
623,843,15,237,236,566,8,488,932,27.98,19.06,19.03
735,545,189,906,845,463,749,723,890,20.3,13.73,14.51
943,699,959,714,388,344,867,176,853,19.36,14.33,14.69
543,601,192,109,486,634,924,933,365,24.16,17.11,17.449999999999996
312,952,662,851,918,423,614,755,38,18.45,13.95,14.280000000000005
840,647,217,261,592,878,821,677,605,19.84,14.13,13.880000000000003
314,803,917,488,640,853,347,826,854,17.56,12.92,13.43
85,913,241,914,323,904,106,674,998,20.01,14.45,14.450000000000003
715,39,619,330,539,487,978,361,950,19.8,15.07,15.980000000000002
83,181,730,44,510,531,558,847,612,24.48,18.08,17.970000000000002
728,255,39,205,692,73,344,800,616,25.56,17.52,18.649999999999995
930,141,713,315,119,519,910,846,844,17.96,14.61,14.39
521,859,0,73,864,231,638,280,637,32.77,23.31,23.229999999999997
977,18,911,750,996,35,10,489,714,30.55,21.82,23.29
