n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
232,379,985,384,129,197,721,44,87,175.31,32.0,31.55999999999999
140,253,830,518,214,410,657,31,470,163.14,32.91,33.76
499,464,399,506,586,196,918,850,412,148.26,22.2,22.560000000000002
91,496,239,777,20,717,273,532,417,174.32,27.84,30.599999999999994
485,923,933,388,743,116,678,264,99,159.89,21.98,22.920000000000005
833,64,395,635,849,386,110,676,59,162.23,24.77,25.799999999999997
346,240,707,88,509,925,665,529,923,152.81,30.56,29.639999999999997
212,595,827,145,621,65,552,968,38,177.2,28.44,28.800000000000008
500,718,198,151,968,880,592,467,746,144.0,24.72,23.96
598,902,455,292,570,365,875,899,436,141.87,26.36,23.07999999999999
138,162,782,615,99,544,706,321,718,138.22,23.41,22.72
365,972,659,863,506,515,638,202,316,153.46,25.65,26.840000000000003
153,364,541,291,522,672,73,827,924,154.63,27.32,27.759999999999994
877,519,934,718,558,225,352,249,929,150.64,22.54,22.240000000000002
12,302,351,225,273,34,433,260,385,173.75,34.43,36.72
305,854,722,912,426,179,673,405,119,147.99,25.12,24.679999999999993
170,954,679,872,998,26,206,996,784,155.82,24.73,25.120000000000008
164,307,119,13,815,782,389,350,856,176.84,32.13,33.28000000000001
174,582,446,926,237,142,419,577,456,144.07,22.94,22.64
416,427,82,602,71,295,734,97,34,188.81,35.16,35.20000000000001
87,679,109,782,533,539,368,157,827,172.34,31.11,31.359999999999985
958,517,499,725,152,618,64,194,17,163.33,33.16,33.08
934,143,348,395,674,587,123,761,306,150.38,28.76,28.039999999999992
359,333,988,374,3,661,855,510,215,195.06,65.16,66.40000000000005
62,896,632,33,904,988,889,777,827,164.18,30.26,31.39999999999999
836,593,176,182,345,993,441,452,123,158.17,25.15,25.400000000000006
85,205,619,229,509,830,484,809,158,149.67,25.43,26.840000000000003
390,124,111,594,738,463,663,129,736,172.47,30.85,38.35999999999997
450,526,742,92,732,950,482,577,403,140.74,24.36,25.079999999999995
836,369,466,230,52,202,50,456,114,175.53,28.5,29.96
110,216,742,4,725,615,626,928,23,184.61,45.64,46.75999999999999
670,372,849,442,540,95,991,766,773,166.28,24.5,24.360000000000003
614,514,838,722,582,205,513,234,331,155.58,24.85,24.239999999999995
538,393,761,532,662,200,6,296,627,190.57,45.31,45.12
303,930,81,761,328,949,928,412,229,161.33,25.52,26.759999999999998
