n0,monte_carlo,monte_carlo_max_hop,two_hop
137,3.43,1.72,2.154543457991501
582,2.34,1.77,1.8383333333333334
867,2.3,1.7,1.729241693978536
821,2.07,1.72,1.697536201615149
782,2.09,1.56,1.5988416381670105
64,5.35,2.81,2.749154348771552
261,10.28,5.02,5.212033085961657
120,5.11,2.54,2.768322090367545
507,3.83,1.7,1.748833897931642
779,2.48,1.86,1.7796052631578947
460,2.89,2.02,2.2768517447464816
483,2.32,2.03,1.77778946088081
667,2.55,1.75,1.6815354090354089
388,3.58,2.86,2.773859569549225
807,5.16,2.57,2.3494343500753754
214,9.7,4.23,4.379197287547907
96,8.99,5.04,5.54671195124678
499,2.29,1.83,1.8021031746031746
29,6.79,3.45,3.038365265453068
914,2.21,1.76,1.7780070269866188
855,2.49,1.93,1.8544322344322344
399,3.82,2.51,2.230238274031145
443,4.67,2.69,2.780677567403999
622,2.65,1.99,1.888131313131313
780,2.89,1.88,1.8795848091302636
785,4.03,1.56,1.7007090336134452
2,7.76,5.03,5.132769540818202
712,2.5,1.76,1.824023199023199
456,2.87,1.65,1.7640692640692641
272,4.83,2.58,2.190664021164021
738,1.88,2.31,1.7260656506662697
821,2.31,1.78,1.697536201615149
234,3.83,2.45,2.307495226838999
605,2.61,1.7,1.7574193581118789
967,2.33,1.96,1.9668109668109668
104,7.22,4.64,4.564000393545848
923,4.49,1.87,1.8177442785135094
325,8.01,4.8,4.84295394776164
31,9.48,4.82,5.257095243475963
22,9.58,6.21,6.187611874115104
26,13.99,5.46,5.809686728402885
665,4.56,3.32,2.85043767234629
554,2.69,1.6,1.7088619293543792
9,42.68,19.1,18.88558734430115
961,4.1,1.48,1.7613817663817664
902,3.42,1.73,1.7479458450046685
390,5.45,2.49,2.3811076753933897
702,4.51,2.23,2.3358064058956916
221,2.96,1.41,1.6577926267686507
992,2.73,1.86,1.9677777777777776
432,2.85,2.28,2.1993450352780277
743,2.51,1.72,1.7853599275967698
29,5.34,2.91,3.038365265453068
540,1.4,1.6,1.6802611544438468
227,2.75,2.17,2.175019219286461
782,1.63,1.84,1.5988416381670105
448,8.69,3.74,3.6018432298695453
961,2.79,1.52,1.7613817663817664
507,2.68,1.48,1.748833897931642
566,4.75,2.73,2.850710572107631
238,4.71,3.87,3.4293706162367417
353,8.25,4.65,4.374770834311031
236,8.45,5.26,5.06148404816472
693,3.13,1.84,1.7537439189317499
224,3.32,2.21,2.2080088229623835
779,2.73,2.0,1.7796052631578947
470,2.55,1.69,1.6525210084033612
975,3.48,1.89,1.896153846153846
296,6.31,2.88,2.9678833071690214
948,2.04,2.06,1.875860805860806
22,11.06,6.34,6.187611874115104
426,3.13,2.57,2.324639208173691
857,3.97,2.33,2.544707276850134
938,3.8,2.77,2.4804131054131053
569,4.58,2.2,2.295421070157912
944,2.8,2.26,2.243809311603429
657,3.09,1.76,1.7733508554937127
102,6.51,2.96,2.7010759295030793
190,3.42,2.46,2.2256440352981994
644,4.49,2.98,2.9808859269385586
741,4.0,2.37,2.4849747474747472
880,2.6,1.9,1.8420940170940172
303,1.73,1.81,1.7879416737109044
123,9.62,4.75,5.37439319203245
760,3.89,1.71,1.9246031746031744
340,4.41,2.25,2.2111184210526313
917,4.15,1.98,1.7836356764928192
738,2.19,2.22,1.7260656506662697
996,1.91,1.66,1.8261490493633348
728,4.48,2.45,2.3674494056390607
512,3.13,1.59,1.7154794556093256
958,3.24,1.84,1.6938605671688378
990,3.57,1.69,1.7911522633744854
432,5.62,2.34,2.1993450352780277
519,2.61,1.73,1.7924385964912282
849,2.86,1.74,1.6817996334336203
932,2.11,1.78,1.761302681992337
686,2.19,1.81,1.8685592185592186
194,12.29,6.28,6.1049797570850215
310,4.05,2.18,2.207034632034632
