n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
978,883,970,869,57,93,86,369,855,173,753,45.09,26.15,26.760422659591143
828,685,874,315,257,620,217,621,36,595,697,55.49,36.34,36.28498417461741
162,441,653,402,822,740,880,521,972,380,557,36.82,22.52,23.306687979545035
958,455,514,274,922,36,891,28,372,476,954,68.31,38.85,38.52411136628197
326,929,389,433,913,905,538,168,573,181,241,34.57,22.86,23.94812407581216
236,24,180,332,177,139,522,522,368,526,690,55.72,36.56,37.93672601154713
573,186,915,456,815,424,752,537,928,930,781,35.9,21.92,21.409438331327628
372,808,607,362,370,879,984,456,165,977,772,40.17,25.79,26.319362599741016
409,732,756,472,670,543,255,501,285,947,510,42.52,26.22,25.36224793118774
512,527,851,815,362,677,904,465,921,924,472,41.01,25.32,24.868481870666532
359,581,743,942,570,741,467,498,674,227,963,37.29,23.67,24.348470349603577
332,834,716,855,170,897,929,631,274,791,933,34.85,20.79,21.449394539292737
491,316,310,980,818,723,851,516,575,530,519,33.08,22.44,22.535742533647156
667,630,602,416,319,748,212,500,524,375,956,47.97,25.43,26.559673875928958
700,638,903,77,803,840,349,743,8,929,834,49.33,30.64,30.831797167365277
195,762,108,60,588,668,50,279,605,232,698,45.86,29.22,28.612356047867653
896,937,108,772,534,139,874,272,250,844,215,53.1,30.38,30.524613548312736
966,901,61,433,919,734,777,32,58,371,368,51.09,29.46,30.090666450406296
176,255,688,24,84,117,977,69,25,41,746,85.61,52.96,53.24947908845416
940,21,382,261,130,832,958,160,752,188,535,56.72,34.61,35.94611133892934
708,1,394,603,44,813,253,155,994,37,4,83.62,44.96,44.062159044102174
352,960,630,642,760,765,115,292,345,500,31,52.21,30.48,31.161609166139847
315,459,564,784,619,757,46,923,270,773,411,43.81,27.24,27.61330291707582
883,636,722,157,484,981,230,95,676,703,323,34.06,22.1,22.696902969072255
858,104,24,458,807,895,970,130,530,598,799,49.18,30.78,30.290775656647206
402,498,527,335,147,895,982,349,265,268,620,40.22,25.3,26.045471840934706
993,429,668,18,716,571,982,143,686,58,259,65.06,37.25,36.140182894870605
34,134,165,174,98,464,650,237,520,938,725,51.55,30.34,30.93655550402923
956,32,252,238,731,455,75,256,82,605,233,45.03,27.07,27.294779276477023
639,810,819,638,726,368,262,700,433,285,538,41.22,21.06,22.104255338247974
768,4,154,36,393,418,164,113,524,741,89,81.66,49.06,48.26211497226393
246,104,102,20,186,768,237,107,222,25,533,71.61,41.51,40.72534906839723
685,475,464,317,548,657,389,217,701,928,778,35.43,22.14,22.34746017585235
986,215,746,825,444,435,523,21,595,605,52,65.68,37.63,38.838710718622515
902,428,951,537,595,185,942,96,679,821,491,38.5,24.87,25.294789695938803
374,19,531,983,943,121,625,375,296,706,954,56.58,33.39,33.75085573479609
381,315,19,895,701,422,103,107,313,203,860,56.53,33.79,36.576964019775836
793,688,845,16,831,462,61,420,652,497,474,54.33,31.66,32.91879747684042
