n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,707,965,861,757,667,944,542,29,40.69,28.13,28.518997170971048
860,476,794,965,255,664,53,922,160,115,380,480,889,50.39,30.71,31.557395515897827
252,389,556,104,587,255,13,748,221,417,286,186,938,67.04,42.33,41.2458985362311
888,784,398,163,780,816,73,142,632,632,455,129,135,52.13,32.38,34.920610620243785
1,995,892,5,214,792,220,983,169,893,170,296,321,67.04,38.6,37.30728689507193
984,203,552,897,694,640,209,186,963,991,707,201,989,47.5,30.12,30.305221899223767
988,915,392,305,22,369,424,169,958,149,270,66,339,58.51,32.43,33.34135271036892
308,837,617,600,3,610,694,724,346,67,317,363,838,121.29,74.26,74.98525209161267
313,492,713,323,189,492,483,721,180,58,262,998,961,47.42,28.09,29.38421329373294
23,972,767,366,865,413,18,562,806,428,374,385,592,83.43,49.11,49.42422602894874
861,9,463,47,724,185,638,978,977,201,121,773,251,78.83,48.57,48.22690675313133
951,839,964,473,352,524,363,914,537,256,794,473,110,43.44,27.32,33.672603337285416
603,766,799,816,376,880,302,37,443,968,93,213,348,49.4,30.16,30.718997959634912
525,625,371,940,151,348,282,946,719,558,94,319,702,60.18,34.13,34.049158609279566
324,313,181,817,80,641,152,738,705,316,495,165,737,55.96,33.49,33.033218010059976
49,82,615,546,945,415,32,243,758,608,352,846,256,54.73,33.87,34.742657065207815
466,666,431,149,57,938,653,33,820,505,342,858,212,70.31,44.22,42.99837212762702
133,749,577,972,135,645,918,806,423,109,172,444,381,44.52,28.92,27.32928575190117
152,60,865,430,301,144,464,944,635,872,173,999,534,46.53,31.64,30.346952414610804
464,983,499,705,747,325,490,280,298,481,413,923,150,43.89,28.49,27.495998576743858
115,386,841,544,982,183,642,959,511,888,346,184,91,54.79,34.55,34.674691980788744
503,278,527,800,561,888,514,369,64,804,814,793,364,43.08,29.04,28.883766054748207
711,601,679,35,777,313,372,572,721,684,287,855,497,51.39,30.23,29.883552549826977
271,788,707,733,300,979,968,348,665,182,594,872,11,67.12,39.96,38.81286524028849
485,560,792,256,333,687,280,474,295,836,512,662,689,48.05,28.37,28.495731792403987
816,365,356,280,659,353,755,960,848,418,358,944,863,51.19,28.95,29.790701958382144
176,890,887,704,460,999,373,979,342,530,145,542,170,43.21,27.49,27.686452513483637
203,856,370,959,874,488,289,708,80,736,686,747,426,50.22,30.26,29.983228261885714
175,631,799,958,594,528,681,958,430,309,638,566,793,43.49,27.22,28.94835011580888
887,652,277,737,28,200,163,600,451,639,665,185,224,70.53,40.89,42.533754379188004
777,702,184,646,735,42,482,231,169,55,913,136,113,53.31,31.21,30.985577168069245
324,991,185,494,198,561,36,425,476,359,389,678,626,64.72,38.6,40.22622235687534
73,604,209,243,735,924,382,0,358,415,974,285,876,91.47,49.74,50.09886872267626
419,887,117,705,851,560,382,987,36,563,628,308,97,66.7,38.88,39.035823169119254
302,558,524,347,973,594,300,981,360,838,132,429,419,43.84,28.11,27.910202840688093
832,577,657,551,378,478,145,160,610,391,577,488,980,43.19,24.16,26.340401060535726
203,991,136,623,93,359,840,914,677,0,391,110,333,80.96,46.72,48.02233574022351
579,938,629,552,144,333,644,897,912,577,384,439,442,51.27,30.65,30.755742945744384
231,505,298,491,995,725,388,393,984,875,935,162,610,38.63,26.91,26.37568530769529
608,266,758,308,508,257,425,20,326,967,314,503,951,62.33,37.19,38.79706358677098
293,146,488,24,124,675,636,983,454,251,300,40,800,61.29,34.13,35.74814672913163
139,846,401,13,491,545,573,280,249,957,485,800,37,65.5,41.66,41.113314882324374
251,501,274,864,158,738,292,300,504,622,486,530,660,46.63,29.14,28.739025897481614
884,618,901,761,916,121,16,778,129,307,289,546,725,57.46,34.51,35.3775776224467
344,628,303,748,542,27,475,358,369,698,762,832,604,59.04,38.96,40.40666386150468
135,37,2,258,566,466,702,938,110,909,703,558,195,58.04,33.19,33.548712831544
14,439,797,826,437,609,589,705,725,976,647,664,493,67.39,38.93,39.72723940943788
879,933,861,394,487,401,698,872,736,201,920,303,476,38.72,25.07,25.39381387333873
849,776,67,310,856,3,711,797,443,596,293,663,799,115.27,73.7,74.4828252228393
483,932,318,146,169,489,711,562,910,509,996,338,550,41.29,28.53,28.95668158688382
157,435,599,554,831,49,70,750,235,273,839,87,810,56.99,31.28,31.98650259994155
64,679,964,26,341,739,439,70,414,718,498,50,126,62.34,38.88,39.531818471537974
862,125,224,629,661,844,975,113,729,916,137,299,722,48.04,28.46,27.9026180457121
940,448,153,187,625,189,423,821,165,68,637,218,44,63.09,41.54,40.764459695503255
568,110,676,388,763,73,286,58,584,589,121,760,408,53.68,34.22,34.07031957258319
899,638,137,10,442,93,322,701,614,501,501,361,961,62.62,36.09,38.28495828548652
671,383,936,57,141,714,301,154,582,646,694,517,297,52.17,31.39,30.891187259300477
932,964,568,563,635,225,269,64,564,241,260,852,768,46.55,29.36,28.880606527049867
290,529,998,136,827,240,884,380,464,754,398,183,134,51.48,30.23,29.86266466780852
730,19,670,349,87,586,683,36,93,884,127,518,608,70.89,41.48,41.996132633727036
464,244,399,897,473,491,986,331,110,815,543,30,555,51.96,33.27,33.4960178939152
742,393,54,868,154,967,974,439,697,813,228,767,118,45.55,31.96,32.02036217911286
85,996,933,681,503,840,216,143,718,639,384,362,855,53.76,29.77,29.973690983044225
240,296,341,952,628,722,357,815,395,387,139,740,851,54.59,36.29,36.93026220565606
366,663,303,823,646,443,984,872,370,529,37,606,587,40.55,27.19,28.192808489962246
220,757,184,405,64,99,37,33,190,207,200,40,501,73.57,44.29,43.51604421622399
910,959,492,677,778,356,0,437,481,307,911,957,634,66.05,41.15,42.39000783367812
943,438,331,476,472,102,196,158,669,162,72,383,889,41.89,30.33,30.996966540337507
394,889,901,480,155,565,260,112,284,838,165,768,293,54.03,32.97,33.116623590525386
688,240,33,493,917,32,352,946,770,377,323,960,60,63.36,40.45,40.554960443148666
704,22,689,467,483,869,968,159,120,804,684,332,298,62.31,34.62,34.416397457344644
464,690,245,746,167,34,205,731,25,588,236,672,80,67.98,39.88,39.20866288211666
632,410,933,996,723,372,696,319,188,479,370,289,68,47.63,28.72,29.20708968139172
749,735,479,167,794,246,179,688,213,963,44,661,623,62.26,33.94,33.24837321142156
440,743,998,277,6,473,62,463,797,697,420,173,46,89.63,58.54,58.48968199012752
34,561,855,857,531,578,358,962,96,733,72,242,920,52.81,29.57,31.46634639465005
822,502,94,958,482,55,699,249,659,51,509,406,800,50.77,33.11,32.147945693853615
61,49,261,853,417,456,313,655,52,896,38,972,994,55.31,35.55,36.67466498642445
199,183,712,520,655,412,192,544,239,86,949,321,809,49.92,28.1,28.739981782074985
110,88,554,943,165,612,77,877,747,219,639,17,451,60.15,33.95,35.204000824136386
552,366,498,433,585,786,385,534,640,135,743,12,934,66.18,35.39,36.80042177343745
774,314,705,459,912,846,229,567,118,142,319,494,89,51.0,29.73,30.44453714854941
798,790,269,839,412,320,135,132,549,83,482,250,713,54.33,32.31,31.23354415659615
86,817,438,990,590,682,251,282,62,504,717,254,49,54.84,30.83,32.0038890062316
720,204,815,292,903,382,906,100,73,430,787,321,388,58.45,36.47,36.19871614198382
770,787,569,0,917,292,669,962,777,134,588,28,452,88.87,54.94,53.4738167991536
146,836,704,671,800,977,19,745,48,718,437,274,109,69.55,36.5,36.63060385255087
831,824,391,575,133,328,67,313,173,140,268,509,692,47.78,29.92,30.33953088729678
330,292,34,65,555,782,756,570,28,28,124,51,992,64.87,38.49,49.448185200934084
133,846,365,446,880,264,972,974,626,17,236,540,439,59.2,33.32,33.731249421187
128,371,206,338,366,12,167,598,634,846,167,744,97,68.34,42.75,45.70239403461598
274,543,620,175,645,726,147,456,783,961,444,813,439,48.97,31.09,30.534313455112866
121,341,324,456,936,233,472,610,444,175,452,49,785,66.1,37.92,38.83031765229145
684,958,164,545,484,992,503,610,1,106,129,833,870,59.71,33.43,34.04788820699182
429,701,53,212,1,33,930,590,241,493,721,902,362,73.54,40.5,41.85244532838203
402,475,220,206,283,841,205,310,575,528,365,782,769,40.77,28.29,28.052073915949936
804,247,375,360,828,254,833,679,860,930,870,63,632,56.28,32.44,33.90727425065286
506,410,357,146,146,851,244,501,390,38,96,173,406,53.09,34.41,37.059069557061015
101,771,734,288,921,942,204,815,816,773,331,488,699,40.42,25.86,25.456571723890665
481,883,546,638,93,819,203,385,705,10,106,524,619,72.12,41.33,41.997771642616655
