n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,490,158,92,68,20,411,562,939,296,819,783,60,80.9,50.66,49.903202989143224
227,532,549,368,283,798,176,846,108,268,219,965,949,26,848,656,826,73.23,41.68,42.34699659036883
266,819,278,198,168,317,296,642,888,749,983,875,868,901,381,88,865,72.69,43.57,44.09444433366185
620,345,687,397,518,254,182,253,484,286,91,967,957,837,886,964,560,72.41,41.16,41.50041119890547
860,307,7,930,298,586,721,903,319,868,783,520,199,423,433,613,295,82.54,49.76,51.1362126908059
441,462,165,238,312,265,832,816,44,83,47,473,641,287,531,547,663,94.23,59.0,58.74152861744515
482,717,351,148,689,200,68,422,935,207,650,647,451,282,188,364,446,71.0,42.13,41.58978675806376
764,602,328,649,571,203,926,331,103,859,63,725,234,284,783,596,630,67.68,41.46,41.36757466539659
882,243,125,339,957,181,297,470,26,43,365,714,84,917,987,977,292,82.44,51.59,50.45123536698439
752,691,982,334,18,330,295,329,989,156,793,667,420,882,965,890,635,81.79,48.02,48.358326637834466
696,837,79,300,632,196,915,454,299,139,256,390,613,984,162,339,586,68.43,41.99,41.44841067968427
9,372,45,465,173,373,802,823,371,297,585,99,449,212,434,938,212,100.47,60.02,66.47089047460645
116,60,63,56,754,172,609,693,993,153,621,41,559,502,596,255,329,84.37,50.25,51.77092472344441
36,125,854,541,299,792,419,667,205,489,206,247,449,420,503,37,224,86.41,50.02,50.52942804042439
431,454,254,662,910,438,850,220,510,192,32,37,260,259,248,538,213,73.84,45.6,46.771146842988244
790,237,427,890,267,145,332,52,912,950,322,578,119,583,412,985,922,69.39,41.3,41.49024791363712
668,669,891,809,734,762,41,506,396,95,440,215,952,894,586,921,966,73.22,44.17,43.4590634509266
946,169,344,303,672,482,818,922,657,322,834,430,540,220,670,820,702,57.84,34.9,34.96202518796087
820,274,346,944,401,979,508,76,879,994,286,984,642,684,195,45,404,66.3,39.44,41.46556268116205
920,634,130,785,991,275,683,876,61,890,171,704,650,475,582,483,764,58.4,34.69,33.625460668724195
413,949,399,223,817,3,216,944,160,13,624,897,263,118,405,829,788,152.34,94.29,96.62661046992108
801,390,898,227,563,54,899,973,206,165,687,622,338,838,913,575,792,67.97,39.22,39.13357947953325
803,482,937,539,450,27,80,35,712,608,115,500,574,885,263,622,792,91.57,54.48,53.921317435349735
142,42,371,81,786,900,535,926,10,304,857,355,847,76,87,982,556,82.68,53.98,54.3476566153215
464,390,210,806,318,397,239,776,498,876,989,409,97,79,117,937,635,74.47,45.79,47.31967261891662
817,906,374,524,444,425,878,728,795,454,68,643,902,963,200,652,309,76.31,44.31,43.11195004559606
952,856,490,432,121,817,571,171,380,895,166,180,723,152,334,506,880,67.57,37.58,37.31886418014931
346,264,554,997,925,4,727,172,5,663,319,123,558,113,498,805,732,101.09,56.61,58.85382462617438
615,495,538,77,533,251,421,867,300,365,234,785,184,884,641,1,692,57.33,36.96,36.54455106603613
54,624,929,320,557,934,930,478,801,933,581,312,959,888,518,805,451,63.96,39.84,39.82990746524227
627,632,452,401,144,257,789,611,370,677,348,136,443,84,620,147,691,81.14,51.46,52.42603922245024
828,637,181,292,923,962,380,202,589,812,358,691,635,904,95,78,412,67.97,37.43,37.996397811697534
661,958,925,183,337,669,380,334,178,307,904,23,618,20,536,972,772,91.12,55.04,55.963223101361734
849,90,820,367,826,832,976,100,162,186,598,507,676,587,960,78,778,67.38,40.39,39.294368668977455
947,991,119,176,667,490,691,907,763,227,632,805,851,676,310,873,950,53.27,32.96,33.327708509005355
704,415,902,613,243,918,501,720,226,317,376,235,763,334,550,641,542,61.42,36.38,36.716705223344356
462,920,822,409,518,410,992,837,320,290,448,421,602,13,257,188,918,88.93,54.1,53.85579443397016
553,469,709,574,629,845,373,413,973,397,638,28,159,523,69,469,997,80.12,48.11,49.38424333725364
988,645,942,355,618,815,319,932,93,773,264,495,227,655,950,488,913,56.12,35.03,36.01798234179257
618,796,67,152,946,244,70,306,135,970,48,167,407,809,595,697,635,64.2,39.74,40.67347891228081
560,730,982,551,268,18,536,251,161,769,99,210,32,972,324,83,124,85.78,52.81,52.41018390908338
