n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
637,261,759,367,814,707,965,861,757,667,944,542,29,860,476,794,965,255,664,58.32,36.8,41.44860178671941
53,922,160,115,380,480,889,252,389,556,104,587,255,13,748,221,417,286,186,86.32,56.9,57.74918301331645
938,888,784,398,163,780,816,73,142,632,632,455,129,135,1,995,892,5,214,83.36,54.08,56.49601898683045
792,220,983,169,893,170,296,321,984,203,552,897,694,640,209,186,963,991,707,66.81,44.12,44.15395004356467
201,989,988,915,392,305,22,369,424,169,958,149,270,66,339,308,837,617,600,74.25,43.98,44.18674340102282
3,610,694,724,346,67,317,363,838,313,492,713,323,189,492,483,721,180,58,136.06,87.17,88.51166491899191
262,998,961,23,972,767,366,865,413,18,562,806,428,374,385,592,861,9,463,121.34,75.26,75.41568042021454
47,724,185,638,978,977,201,121,773,251,951,839,964,473,352,524,363,914,537,78.97,49.36,49.86743610243139
256,794,473,110,603,766,799,816,376,880,302,37,443,968,93,213,348,525,625,73.4,44.95,46.93843889822543
371,940,151,348,282,946,719,558,94,319,702,324,313,181,817,80,641,152,738,85.14,49.13,49.655449220151716
705,316,495,165,737,49,82,615,546,945,415,32,243,758,608,352,846,256,466,80.41,50.24,50.73303048041434
666,431,149,57,938,653,33,820,505,342,858,212,133,749,577,972,135,645,918,87.1,51.24,51.75046555558298
806,423,109,172,444,381,152,60,865,430,301,144,464,944,635,872,173,999,534,69.94,42.71,43.910345861191146
464,983,499,705,747,325,490,280,298,481,413,923,150,115,386,841,544,982,183,67.39,44.84,43.787091928062246
642,959,511,888,346,184,91,503,278,527,800,561,888,514,369,64,804,814,793,73.77,41.13,43.37700215034475
364,711,601,679,35,777,313,372,572,721,684,287,855,497,271,788,707,733,300,65.24,42.33,42.342215644042334
979,968,348,665,182,594,872,11,485,560,792,256,333,687,280,474,295,836,512,84.67,51.08,51.69054249513764
662,689,816,365,356,280,659,353,755,960,848,418,358,944,863,176,890,887,704,75.74,45.16,43.207545991219675
460,999,373,979,342,530,145,542,170,203,856,370,959,874,488,289,708,80,736,70.18,42.95,43.6678427977744
686,747,426,175,631,799,958,594,528,681,958,430,309,638,566,793,887,652,277,73.72,40.43,42.2094068464481
737,28,200,163,600,451,639,665,185,224,777,702,184,646,735,42,482,231,169,85.2,54.88,55.98895645853372
55,913,136,113,324,991,185,494,198,561,36,425,476,359,389,678,626,73,604,91.56,57.12,57.80419748563593
209,243,735,924,382,0,358,415,974,285,876,419,887,117,705,851,560,382,987,96.06,57.97,59.96769179133291
36,563,628,308,97,302,558,524,347,973,594,300,981,360,838,132,429,419,832,80.14,49.44,49.502612188324285
577,657,551,378,478,145,160,610,391,577,488,980,203,991,136,623,93,359,840,65.83,40.47,43.04857317218552
914,677,0,391,110,333,579,938,629,552,144,333,644,897,912,577,384,439,442,100.21,58.04,59.982238922844815
231,505,298,491,995,725,388,393,984,875,935,162,610,608,266,758,308,508,257,59.94,40.04,40.6642814732067
425,20,326,967,314,503,951,293,146,488,24,124,675,636,983,454,251,300,40,95.92,58.21,57.935653815577844
