n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,monte_carlo,monte_carlo_max_hop,two_hop
812,587,841,82,496,780,267,37,0,149,678,600,481,988,777,752,382,327,788,22,279,108.52,66.65,68.32454295176223
500,821,202,747,893,423,932,551,552,698,96,197,576,566,716,824,746,271,678,822,624,81.1,51.67,52.74316886025009
702,90,864,434,343,95,370,819,419,824,256,455,716,96,773,201,717,650,815,298,99,81.36,50.45,49.68279546062118
974,46,602,924,205,847,671,934,369,498,955,852,931,198,527,589,660,993,714,913,824,70.81,47.0,47.168431518138625
515,999,938,29,648,370,250,616,440,311,365,603,122,91,512,901,694,537,203,119,622,76.54,47.89,48.7369169603452
678,274,319,736,200,388,495,228,141,611,214,854,886,897,714,534,12,193,796,173,17,109.87,63.92,66.79028076188112
663,340,571,926,687,635,633,313,383,386,540,398,296,129,695,500,55,189,433,608,764,76.01,49.01,48.78095783115763
407,98,451,251,825,91,913,617,686,891,910,456,457,802,851,389,815,78,529,436,482,67.65,41.66,41.86172581815527
310,722,836,418,963,87,196,764,696,272,462,499,739,802,988,176,18,22,550,126,257,99.82,59.87,61.616377371560695
603,821,369,192,262,514,462,337,949,529,260,420,949,900,431,626,497,274,616,486,672,72.92,45.67,48.287263216854136
490,503,145,738,386,508,313,649,824,478,331,375,675,166,994,935,945,634,385,711,617,67.11,45.18,44.744097861166956
272,327,661,407,998,499,746,812,161,959,847,297,573,6,638,460,987,58,186,30,624,119.88,71.93,74.90784730165765
792,583,114,698,735,379,370,960,509,873,603,63,941,197,158,970,275,628,15,432,825,94.4,56.23,56.95330314887558
801,819,833,537,503,77,480,237,102,379,370,985,148,697,640,249,621,325,147,38,643,87.65,50.05,51.373794935522035
684,99,731,107,46,661,489,473,741,921,70,644,31,718,564,130,631,852,946,85,164,97.35,61.3,60.56187597018901
632,646,933,271,929,858,914,669,462,511,710,20,810,652,140,837,966,193,930,956,451,72.8,47.3,47.92935842414643
490,797,450,457,571,283,488,729,593,65,851,819,298,372,292,368,962,34,85,514,878,81.57,51.41,51.44907281921292
282,286,280,989,484,441,454,944,380,32,730,87,255,835,619,653,244,548,763,33,756,75.48,51.34,51.3316731813231
177,344,379,32,53,974,757,783,769,972,214,717,443,351,906,79,161,749,692,116,409,100.93,58.79,60.10087608972137
560,138,475,760,506,654,76,131,75,358,532,31,190,538,725,153,188,288,756,154,519,81.28,49.35,49.89963748664596
582,870,397,815,228,967,226,712,577,732,932,128,429,707,167,775,324,246,574,586,4,90.64,56.77,58.235035484382124
805,824,582,395,192,778,333,875,390,538,451,9,407,865,543,564,870,677,139,733,239,100.89,60.78,63.61149039481894
660,556,824,760,381,278,682,189,995,152,168,706,640,137,393,76,62,12,40,483,777,92.98,58.87,58.32906685248175
60,117,666,728,553,102,689,376,609,32,61,555,230,805,416,230,781,578,704,944,973,77.65,52.15,54.670170462279174
300,94,482,79,741,587,884,60,172,915,677,448,122,981,114,718,182,51,700,941,31,96.83,61.49,62.53580922059389
768,860,692,746,435,666,725,293,261,454,237,206,835,879,669,797,548,806,660,219,284,71.09,45.97,46.19965502686316
606,13,261,539,809,749,762,997,992,725,892,700,338,795,529,95,598,609,660,33,370,97.27,59.82,60.458092925929805
375,707,119,231,971,781,28,369,943,708,970,348,446,702,852,994,52,352,142,31,10,118.89,71.2,70.0575452081425
344,69,496,2,474,848,270,89,693,604,630,279,235,135,128,429,558,186,248,678,393,95.01,60.04,60.62018225305951
608,439,577,529,641,850,491,950,276,259,140,306,909,33,197,776,459,107,827,180,589,82.82,52.29,52.95282881255816
111,970,950,828,2,525,164,122,155,606,402,485,497,882,890,543,785,710,554,831,814,77.54,50.76,49.43986016591911
481,220,862,659,920,397,158,788,941,469,890,932,875,10,345,427,257,327,136,292,379,98.51,60.77,62.295902588560786
602,875,694,371,228,5,798,312,180,84,417,637,635,786,237,948,657,91,198,389,421,103.9,62.49,64.15326273836908
128,771,932,935,857,151,532,951,976,51,532,537,795,991,499,943,373,904,336,861,729,78.34,50.04,54.04245672882544
605,399,888,279,665,679,816,990,68,267,134,42,112,603,617,626,736,158,839,517,518,83.48,51.62,52.155101611794386
116,801,704,783,797,990,88,88,852,680,773,127,221,359,346,162,996,745,838,938,250,68.96,45.89,50.72261554103036
179,988,188,230,643,128,880,490,756,949,468,637,113,743,628,139,466,994,823,201,585,81.13,53.33,54.28245569856889
380,751,148,994,340,641,269,933,69,280,770,1,62,903,670,30,491,645,466,325,62,84.02,54.36,57.50772075817006
11,281,913,738,103,393,956,638,344,104,755,855,879,382,145,852,773,150,379,683,780,88.54,55.16,56.90798950787287
480,761,414,806,19,968,544,910,858,154,106,456,382,12,914,965,992,130,694,564,491,98.38,58.78,59.845719435124614
271,72,489,123,408,721,203,813,556,998,882,174,448,338,261,820,554,793,354,301,557,90.32,54.81,56.205150969766244
705,905,279,463,569,904,735,787,46,512,764,255,677,636,994,3,539,899,837,507,570,142.86,89.69,91.4377186670472
549,260,174,864,36,328,14,879,214,584,311,195,157,284,59,279,744,309,719,903,383,116.39,67.46,68.8428929878717
222,724,745,175,608,2,92,834,896,847,365,590,189,358,187,488,946,654,226,487,393,78.33,50.86,50.18399333526536
911,560,637,367,125,671,751,89,994,440,55,598,912,633,208,623,449,275,224,653,995,79.39,48.22,47.567917454398774
57,494,678,659,515,857,539,258,533,272,655,993,369,307,805,436,766,379,96,783,558,80.25,50.51,50.485740943072564
424,917,658,166,960,284,62,665,516,325,837,679,519,58,80,680,114,62,449,440,546,73.42,52.83,54.43284938120224
92,180,702,269,360,1,64,272,732,316,354,397,413,607,720,873,852,734,79,758,117,85.19,53.32,52.37939645892663
289,820,507,457,744,263,915,317,246,785,15,943,52,793,527,554,893,389,157,224,802,77.8,49.57,50.68653845461378
301,656,667,884,762,922,12,109,269,812,984,138,572,121,31,408,263,500,217,71,745,105.47,64.69,65.14258703933366
282,782,179,911,138,157,101,875,24,812,222,609,335,913,429,920,711,486,626,586,499,72.74,45.12,44.583688515370405
462,330,987,629,464,197,819,181,544,115,226,685,841,142,400,228,601,360,476,577,788,76.5,49.75,49.156543438048864
663,281,606,858,610,875,197,583,934,231,754,27,416,249,406,590,766,122,940,659,35,97.37,62.01,61.720818639259214
924,322,372,822,510,660,259,931,446,385,310,369,537,729,601,381,597,926,58,421,654,72.94,50.14,49.56269387660862
603,184,312,296,603,680,483,246,106,471,910,589,164,375,589,438,693,985,479,819,335,65.44,41.77,46.55223085821766
73,464,443,497,12,878,906,111,621,66,492,444,653,60,655,26,850,749,999,845,527,107.42,63.18,64.68058481122989
539,359,371,164,932,183,491,544,72,415,600,613,117,30,355,836,666,238,627,752,549,82.62,53.84,53.74649528801515
257,849,945,623,534,993,896,830,945,270,851,800,395,369,727,967,3,634,352,428,307,145.43,89.38,91.75010006202007
179,505,868,804,361,38,16,555,822,209,6,793,45,841,31,486,660,105,575,425,495,124.17,79.27,80.51825429236733
334,957,897,481,207,210,383,147,112,216,50,956,228,888,999,275,427,225,365,486,378,76.17,50.09,50.728984941496336
153,379,710,773,909,653,742,286,860,194,760,835,924,575,56,513,204,205,410,999,937,79.0,52.76,52.50261395291312
541,954,940,47,690,435,654,981,24,942,936,966,875,654,78,749,83,121,691,621,683,95.62,55.98,56.8716297473979
809,197,517,775,101,530,582,582,493,996,338,905,684,190,451,215,785,876,789,991,9,102.08,63.28,66.82980125096921
225,334,219,555,580,303,153,614,7,29,299,107,414,524,901,220,680,212,746,422,570,113.97,70.99,72.38288142053365
608,556,669,769,612,946,510,91,443,887,890,608,884,552,919,174,965,141,687,621,204,71.36,41.61,44.0599328382772
645,718,869,289,431,307,713,410,674,33,992,448,220,201,304,238,755,441,371,773,48,90.79,54.71,55.27751644469973
667,939,322,371,740,366,415,441,366,542,418,855,292,801,157,619,991,668,610,263,671,62.88,42.1,44.88849469688363
202,624,477,513,177,644,565,7,153,66,229,547,261,475,618,12,991,216,558,312,59,133.33,83.07,85.03987139733754
990,885,856,575,40,501,398,127,358,331,140,889,297,552,3,939,596,276,813,799,882,149.17,89.22,92.47500171265854
133,275,647,328,88,760,657,542,612,358,122,592,622,933,0,248,313,639,213,214,70,109.49,66.98,67.36995610358497
441,920,27,629,361,811,323,930,206,946,877,590,772,417,391,809,576,762,849,55,60,100.63,61.38,60.23255357049757
190,671,573,873,620,240,536,973,254,298,172,262,180,621,366,361,292,577,798,229,163,76.72,48.69,51.89028556118639
73,129,588,817,570,463,56,117,82,835,567,40,366,381,457,415,283,530,777,244,426,96.62,60.6,61.75959715886939
949,605,594,433,334,917,653,457,390,824,573,552,611,821,252,51,891,749,95,884,955,71.08,44.32,44.91718019667329
908,434,677,520,400,109,631,523,460,340,593,627,943,702,177,102,723,74,101,917,192,85.16,51.81,50.99666093933744
210,508,694,974,747,248,800,554,5,366,653,191,862,45,35,402,7,289,905,453,710,117.27,75.19,75.63564272840445
789,723,787,998,625,120,205,492,163,3,15,485,675,657,680,989,360,251,934,148,453,139.76,90.74,92.14074768884686
387,424,963,572,242,335,901,718,652,221,786,854,118,948,823,647,409,475,759,698,49,76.45,49.28,50.36451392796672
221,302,579,579,644,279,859,551,750,108,581,263,231,649,791,336,790,611,374,881,312,75.26,46.92,51.16082415608966
281,410,442,653,934,322,458,356,204,119,600,424,892,829,275,83,238,357,523,849,869,81.86,50.14,49.3901573397087
869,846,877,947,729,42,79,741,941,116,160,867,15,839,517,349,18,432,44,128,197,127.74,78.99,80.08709632339239
12,119,281,175,872,855,964,216,227,776,107,601,221,707,654,11,707,745,331,666,798,107.26,62.42,64.64919221503824
407,72,946,24,742,371,563,674,161,866,940,969,459,929,151,993,907,626,789,444,284,82.47,54.45,54.38483113406361
53,577,582,393,937,307,806,611,480,648,656,620,789,801,811,735,646,604,620,982,986,63.06,41.99,45.71083613706401
992,996,0,651,987,307,299,151,1,217,304,112,131,643,3,581,822,757,381,364,116,189.37,117.74,121.71741058863813
731,740,561,205,843,354,651,416,844,330,784,751,113,196,258,831,122,469,594,439,120,77.73,45.79,47.53768895594856
338,371,940,684,247,13,425,896,267,720,125,176,22,33,697,14,833,12,324,76,450,141.52,89.74,91.65233540822989
977,836,55,156,280,283,753,304,253,225,255,338,542,589,279,982,160,53,788,963,830,89.19,56.09,54.15485266374671
91,247,477,119,996,532,405,550,498,958,393,340,134,535,867,75,151,281,250,43,224,86.49,53.9,54.2781230261094
740,891,325,987,24,390,357,646,343,720,180,464,217,827,116,322,862,752,804,168,715,91.81,57.77,57.93292048713196
145,196,159,85,182,492,986,596,251,421,669,512,13,453,889,464,763,570,682,877,926,92.89,59.18,59.83942412212578
33,866,779,683,123,932,965,342,8,561,321,882,563,724,483,479,818,254,69,428,910,100.59,62.41,62.732446355885926
407,17,480,976,992,805,147,17,476,56,1,121,838,93,71,170,998,220,206,535,199,85.69,55.58,62.91904136108499
505,650,255,93,96,608,828,523,775,850,585,631,666,894,823,849,674,367,125,896,111,72.15,44.65,45.86928200423438
636,481,22,890,340,648,701,240,715,189,717,112,791,572,743,733,928,488,262,762,928,76.27,46.03,48.30783522326048
959,910,917,830,738,234,609,616,883,880,334,868,102,218,442,41,345,562,941,83,883,73.13,47.93,48.23585799606919
535,124,122,359,127,104,898,386,635,840,64,410,548,134,299,667,461,648,772,668,916,84.47,51.62,52.87955982761156
162,26,238,11,182,940,114,141,958,850,311,649,446,596,563,648,416,86,863,355,982,102.48,59.1,61.63910695933493
76,286,559,246,281,435,725,380,221,565,708,961,751,331,795,954,850,281,910,380,121,67.91,42.17,44.14745429535725
767,393,694,923,925,630,984,303,166,825,946,257,418,21,179,338,430,991,288,13,435,101.47,62.47,64.67691310373539
