n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,10.78,6.21,6.598658504862958
738,405,490,11.93,6.92,6.817673682927553
158,92,68,18.88,10.47,10.809202202206627
20,411,562,24.73,13.43,12.691483437757652
939,296,819,8.66,6.24,6.32094930846495
783,60,227,21.91,9.92,9.744276634797695
532,549,368,14.0,7.85,8.321873254388436
283,798,176,11.94,6.68,6.924267215808882
846,108,268,13.65,7.42,7.93579084397297
219,965,949,10.16,4.83,5.2823423869577715
26,848,656,18.46,10.54,10.101382213632853
826,266,819,8.37,4.97,5.1805635749473495
278,198,168,16.35,8.66,8.59136410887668
317,296,642,15.1,9.55,9.906793914618078
888,749,983,10.4,5.08,5.3818273709739435
875,868,901,10.23,6.15,5.9977459304619885
381,88,865,20.99,12.6,11.005776903819442
620,345,687,13.43,7.28,7.340093502921071
397,518,254,15.24,9.92,9.480084549248406
182,253,484,19.67,12.22,11.570864617879707
286,91,967,8.91,5.2,5.237187561345981
957,837,886,9.01,4.9,5.2507570016126515
964,560,860,9.66,5.46,5.603025191183086
307,7,930,38.29,23.1,22.411456342869275
298,586,721,8.84,5.64,5.715693789947991
903,319,868,10.43,6.4,6.817060951933212
783,520,199,12.18,6.34,6.682233991545656
423,433,613,10.73,5.67,5.887301428984122
295,441,462,7.32,6.52,6.895020228388155
165,238,312,13.34,8.9,8.354471859182812
265,832,816,13.07,7.23,7.210240373977809
44,83,47,39.61,22.42,22.19780422358571
473,641,287,17.1,9.9,10.274638759666956
531,547,663,13.65,9.83,8.38502519700601
482,717,351,10.2,6.19,6.269911379691123
148,689,200,24.21,10.3,10.958600526937065
68,422,935,16.22,8.91,9.436132998967855
207,650,647,8.15,5.24,5.184485720551624
451,282,188,7.85,5.44,5.598639584090023
364,446,764,9.85,6.54,6.993559837561882
602,328,649,12.15,6.97,7.085302749704226
571,203,926,13.95,7.84,7.852886254514075
331,103,859,11.66,8.03,7.704273888551552
63,725,234,14.39,9.69,8.90831588288921
284,783,596,11.9,6.42,5.810411663160774
630,882,243,7.38,5.85,6.284586701564151
125,339,957,9.75,5.35,5.650304416536063
181,297,470,12.91,6.37,6.746720655865149
26,43,365,20.64,12.61,12.52663341309535
714,84,917,23.28,14.37,14.901163268948276
987,977,292,11.23,7.31,6.788750055500055
752,691,982,13.24,5.72,5.822549111018527
334,18,330,32.26,16.54,16.929227732444296
295,329,989,16.75,7.02,7.170332117740534
156,793,667,11.68,7.74,7.7723004643868805
420,882,965,13.28,7.27,7.157510472840143
890,635,696,8.59,5.92,5.909577955458843
837,79,300,16.67,9.23,9.734613907843253
632,196,915,14.25,7.28,7.384332150457504
454,299,139,12.08,6.6,6.872257906466126
256,390,613,9.52,7.36,6.911719927128345
984,162,339,10.59,6.5,6.546711879310585
586,9,372,44.57,23.61,24.031983066332653
45,465,173,16.39,8.25,8.385015298892611
373,802,823,10.11,7.04,6.511343989343988
371,297,585,10.4,7.15,6.904761380889338
99,449,212,18.6,11.4,11.480301857495398
434,938,212,17.44,10.77,10.897003294832965
116,60,63,25.29,14.97,15.205363043885995
56,754,172,12.46,6.72,6.6895978613552405
609,693,993,6.51,5.2,5.259916655434156
153,621,41,27.06,13.5,14.171686290870944
559,502,596,12.23,6.41,6.492554544394405
255,329,36,24.62,14.96,15.344361482158476
125,854,541,9.21,5.81,5.9582048303275466
299,792,419,8.19,6.26,6.502136797111735
667,205,489,11.48,6.4,6.787305137956016
206,247,449,17.99,9.73,10.228374519350448
420,503,37,18.15,10.02,9.693150362275198
224,431,454,9.57,5.97,5.569423377474909
254,662,910,13.88,8.39,8.809628670344486
438,850,220,12.94,7.0,7.2858477769507175
510,192,32,16.05,10.9,10.952414353417142
37,260,259,16.77,8.97,8.724923764569297
248,538,213,14.49,8.43,8.86822724700361
790,237,427,14.83,7.65,7.844499647547325
890,267,145,10.62,7.32,6.783957264831185
332,52,912,18.14,11.09,10.748278067851038
950,322,578,12.57,6.28,5.827353302503679
119,583,412,12.01,5.66,6.188305360990804
985,922,668,10.23,5.8,5.7658332043081835
669,891,809,6.98,5.78,5.5576760276760275
734,762,41,18.37,10.28,9.92259743949649
506,396,95,11.51,6.63,6.5476785349401725
440,215,952,21.49,12.95,12.68252575965977
894,586,921,8.42,5.16,5.40715694748571
966,946,169,10.04,6.48,6.400838383228397
344,303,672,9.75,6.43,5.947156377084314
482,818,922,9.81,7.48,5.89662494703439
657,322,834,8.02,5.25,5.4088151819636785
