n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,490,158,29.27,16.43,17.371813143693846
92,68,20,411,562,939,296,40.14,22.6,23.489157177615894
819,783,60,227,532,549,368,34.48,19.53,19.606389898809915
283,798,176,846,108,268,219,29.85,15.36,16.45605753039671
965,949,26,848,656,826,266,32.26,17.59,17.258584825835467
819,278,198,168,317,296,642,32.12,19.11,20.05653905875957
888,749,983,875,868,901,381,23.09,15.51,15.798632806780883
88,865,620,345,687,397,518,32.31,18.49,19.62382717166251
254,182,253,484,286,91,967,34.49,21.93,20.551281276920605
957,837,886,964,560,860,307,17.26,12.56,12.506136709623938
7,930,298,586,721,903,319,46.35,30.89,31.45378014343932
868,783,520,199,423,433,613,25.09,14.51,14.38792320032409
295,441,462,165,238,312,265,32.56,19.04,18.745848133871345
832,816,44,83,47,473,641,53.29,32.02,32.10117834266083
287,531,547,663,482,717,351,29.28,17.06,17.390642990166707
148,689,200,68,422,935,207,36.5,21.53,22.18098831517695
650,647,451,282,188,364,446,21.59,14.03,14.150373632182257
764,602,328,649,571,203,926,27.67,17.18,16.75824572496754
331,103,859,63,725,234,284,29.4,18.83,18.982915198072533
783,596,630,882,243,125,339,21.99,14.17,13.68478368912065
957,181,297,470,26,43,365,37.27,20.71,20.94386741478875
714,84,917,987,977,292,752,36.73,24.55,23.49020068077017
691,982,334,18,330,295,329,49.59,26.86,26.480302793827878
989,156,793,667,420,882,965,28.06,15.92,16.507294660561367
890,635,696,837,79,300,632,26.53,17.57,17.856416662236665
196,915,454,299,139,256,390,31.29,16.77,17.122160683692908
613,984,162,339,586,9,372,54.7,31.35,32.39369054586737
45,465,173,373,802,823,371,30.05,18.07,17.76743071680803
297,585,99,449,212,434,938,40.55,20.47,20.347703931025432
212,116,60,63,56,754,172,47.36,26.79,27.891585412195415
609,693,993,153,621,41,559,37.35,20.69,21.60503120649807
502,596,255,329,36,125,854,38.7,24.28,22.893694021188885
541,299,792,419,667,205,489,25.22,15.38,15.813736806862622
