n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
243,606,557,133,378,937,618,485,640,26.73,16.14,16.322795809048394
594,67,620,13,930,857,480,265,564,65.22,34.78,34.184631476103476
239,196,734,481,553,856,562,487,406,27.79,18.77,18.447881987281495
654,881,154,237,650,155,888,948,535,34.4,20.57,21.14719500115635
399,759,15,687,795,65,163,776,980,50.66,27.58,27.684797674456018
605,43,308,798,31,843,886,275,484,36.41,23.5,22.41461256043081
609,736,942,899,396,731,807,943,437,32.71,16.96,17.85640533660761
404,745,820,590,455,987,958,137,899,27.13,17.95,18.344847311698597
374,99,36,139,506,222,264,988,688,47.01,29.19,28.880060128195748
446,797,641,875,308,431,519,853,395,32.98,20.48,20.096045690145285
587,359,546,599,417,598,237,925,344,35.88,21.03,21.201660856673968
698,937,951,29,876,286,620,687,712,28.93,18.38,18.464479604040914
167,715,881,334,987,554,926,585,582,28.7,18.93,18.987205727947543
106,730,671,216,648,851,587,273,291,34.26,20.52,20.773234668533853
127,64,493,874,654,495,90,352,819,36.97,22.55,21.93422990713948
68,420,918,154,20,300,437,787,425,60.67,31.79,32.570048493627645
893,121,45,619,629,779,46,386,735,42.65,29.69,29.37216730313059
600,338,564,902,944,285,517,241,36,47.39,26.33,26.78979000668083
317,7,78,110,614,548,32,971,202,70.79,39.63,41.1757913539047
994,417,298,625,269,159,706,43,888,32.81,19.7,20.20268624396286
347,321,368,981,141,918,882,386,385,38.08,24.39,23.77387008062168
471,890,532,395,659,887,609,697,572,30.6,20.09,19.615290066579554
105,635,996,963,830,519,277,441,649,27.81,18.23,17.47779545547146
737,732,243,958,308,447,264,533,310,26.81,19.99,19.89086323246902
561,347,11,807,425,593,322,20,385,64.21,37.04,36.13476669437228
630,603,647,136,61,648,642,340,477,33.62,22.34,22.999813599373137
361,695,939,361,623,723,285,755,501,32.37,14.18,16.930373643503692
22,603,62,977,692,21,986,378,257,55.63,32.7,34.29789805832012
643,467,305,606,615,327,181,372,189,37.81,22.37,22.54462305309334
320,776,378,864,609,270,307,806,386,33.45,23.02,21.46427646411746
107,790,832,27,994,582,700,752,134,56.03,35.42,34.819086411915855
317,512,227,669,823,275,244,335,191,26.73,18.08,18.284918373623256
694,445,665,714,99,104,615,329,971,39.4,22.93,22.92467559884566
341,691,853,229,448,829,876,983,173,41.07,24.85,24.756779746075726
81,344,759,665,223,906,582,461,277,40.06,24.9,25.276655793228883
230,805,123,34,542,980,195,322,826,35.0,21.38,20.89300954553025
856,858,588,187,884,285,348,826,847,30.15,17.44,17.29395815022803
657,87,825,634,353,603,132,431,298,35.91,22.82,22.048725571614064
530,812,870,277,475,354,649,426,297,37.61,20.95,21.247996208038273
429,581,419,36,942,423,159,204,4,66.52,39.06,40.767464964953966
488,965,852,901,637,522,444,572,972,25.94,14.63,15.842196046014035
949,734,227,33,763,467,856,771,678,36.9,24.03,23.343832194014958
765,531,986,295,556,349,911,232,882,38.66,18.9,20.37569351479082
69,878,602,994,293,122,829,250,46,48.74,30.53,29.063577372465517
35,925,822,710,524,946,203,918,904,35.51,22.17,22.146739323024807
921,440,590,50,13,492,763,123,175,63.1,39.23,38.73009572897709
515,307,244,678,20,537,549,423,54,49.72,31.21,31.760142699216402
961,934,626,116,349,128,258,995,882,42.14,25.35,25.188838436593795
553,488,831,801,62,360,226,202,125,40.64,22.18,22.50353238933645
547,908,836,122,175,245,810,280,943,33.32,23.1,23.1264442137911
910,825,131,843,942,7,499,643,584,61.72,33.12,34.43327130216179
883,409,51,774,277,254,275,632,539,37.03,24.17,23.782653893264225
532,433,52,484,330,795,839,1,877,37.21,20.1,21.225435676883755
56,793,129,47,127,51,70,494,998,54.05,30.59,30.504203084269516
33,874,729,88,527,514,501,323,160,47.12,28.56,29.38578495633333
322,73,359,395,662,398,600,311,369,43.63,27.57,26.3889663388929
271,195,336,438,126,130,568,3,733,121.18,67.9,68.88951448585328
740,389,814,81,580,182,43,382,471,46.85,28.2,27.437660645178006
618,665,801,554,389,651,820,44,637,43.92,25.02,26.44608833857769
907,441,54,381,642,508,778,719,322,43.95,27.29,27.683531880567166
430,973,710,428,471,18,250,223,548,56.12,31.01,31.476932197119506
276,711,604,73,822,435,229,436,133,36.75,21.11,21.56899961559149
900,28,958,333,383,992,919,572,809,41.17,26.22,26.397357503214277
891,268,124,475,707,126,961,832,749,34.51,21.13,21.93321102531705
678,870,908,542,811,385,683,111,751,29.87,18.64,18.80300368200091
326,577,544,105,831,601,733,5,484,49.94,26.4,27.994164207760434
146,241,792,398,45,539,94,577,101,43.21,22.98,22.337128656048254
675,901,384,183,839,24,349,861,872,43.93,25.52,25.177988568067946
124,26,864,117,689,493,856,713,975,46.27,27.86,27.22682128666284
291,592,306,817,90,37,785,577,523,35.94,22.28,22.089978654554628
541,732,244,109,567,766,102,956,566,31.88,21.05,20.85447758753698
62,563,332,890,577,184,847,79,247,41.25,28.48,28.3945657727011
184,661,255,465,630,716,771,965,403,39.73,20.66,20.778625800911392
258,376,613,406,961,358,569,428,989,31.63,17.88,18.43849837364151
85,384,512,240,996,951,422,863,765,32.83,18.38,19.119334656091368
990,164,425,707,582,774,593,690,946,34.27,19.88,21.03238160963811
529,702,495,159,658,410,918,908,152,36.54,19.95,20.008517280157125
166,98,509,766,495,938,715,529,973,39.27,21.05,21.319312256281055
453,600,736,878,190,139,273,770,203,37.75,22.92,22.037653250632395
150,599,527,322,957,237,871,707,550,33.62,21.06,20.495617671922478
976,798,302,687,722,875,423,609,874,28.27,17.01,16.58365095987836
598,598,273,910,222,314,23,274,490,54.41,32.23,33.06646443680344
823,391,205,176,583,369,244,329,494,36.72,19.74,19.69414245295401
792,884,147,428,714,491,718,613,210,29.59,17.93,18.708682789699534
479,594,854,923,841,668,570,28,492,43.06,24.6,25.29983603448117
738,74,877,970,409,801,751,903,983,40.59,23.95,23.506767888561512
46,478,932,235,912,240,663,734,795,33.21,21.72,22.07421006011665
691,70,981,222,874,260,247,911,194,43.15,27.08,27.792216187474093
794,264,140,191,636,721,691,879,37,37.58,20.64,20.531768385354102
921,956,261,173,885,46,320,187,433,46.76,25.51,26.240215563432884
93,746,818,87,120,94,270,853,935,41.15,20.59,21.273499891335447
298,36,365,463,594,751,691,344,7,78.2,44.27,43.84162522054115
30,342,339,446,388,497,79,215,659,49.73,32.49,32.30436401176607
599,760,978,501,400,128,557,326,122,49.5,25.33,26.018298288948948
904,281,78,681,442,115,448,908,540,33.99,19.61,20.617890576953382
930,256,99,540,963,717,383,694,790,34.48,19.5,19.417538283541244
377,775,461,302,678,692,686,669,966,32.77,19.02,19.879314535802777
825,836,271,109,772,967,984,346,688,28.48,17.75,17.30028335937104
579,549,538,116,682,505,520,360,60,38.44,23.42,23.97946053886947
735,301,694,745,579,760,186,661,661,28.31,19.22,21.119705557565396
