n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
331,970,154,404,666,11.58,8.28,8.62
49,74,840,548,96,16.78,12.6,13.179999999999994
374,596,59,931,519,8.54,7.6,7.660000000000002
219,38,88,444,428,15.52,9.32,9.540000000000003
71,246,92,564,434,15.82,8.7,8.840000000000002
60,846,579,126,970,9.9,9.0,9.100000000000003
228,645,642,596,970,9.14,7.96,7.810000000000002
63,590,599,406,50,12.0,8.98,9.600000000000001
999,226,47,570,879,15.5,10.92,10.26
136,296,429,147,553,8.34,7.44,7.5100000000000025
120,584,315,573,835,9.64,7.1,7.690000000000003
698,185,105,595,584,11.12,8.46,8.000000000000002
654,192,381,99,560,14.12,10.92,10.03
729,64,577,61,633,10.1,8.64,8.410000000000002
210,508,696,544,437,14.26,8.78,9.569999999999997
795,321,476,599,945,11.78,7.24,7.3000000000000025
464,370,306,254,813,10.68,8.38,8.399999999999999
184,715,798,249,83,10.22,9.64,9.080000000000004
588,307,537,506,896,9.92,7.94,7.660000000000001
351,746,459,294,623,10.74,7.0,7.460000000000002
74,120,524,428,168,14.92,10.02,10.959999999999996
775,350,155,955,500,8.58,7.28,7.790000000000002
431,40,985,684,79,15.22,9.82,10.02
782,571,586,808,896,10.04,7.04,7.130000000000001
837,321,348,711,358,9.96,7.24,7.450000000000001
608,508,593,816,467,11.02,9.42,8.869999999999997
70,860,95,967,276,12.86,7.76,7.730000000000001
485,713,680,66,62,11.44,7.56,8.54
748,718,317,662,591,13.32,8.18,9.409999999999997
697,841,456,291,733,9.36,6.58,6.660000000000001
395,908,684,355,23,20.6,11.52,11.85
963,472,363,172,625,9.92,6.94,7.410000000000003
119,505,60,223,786,11.52,9.12,8.920000000000002
294,132,756,253,407,11.48,9.56,9.339999999999998
400,938,892,508,82,19.58,11.34,10.529999999999998
170,459,411,562,284,10.32,7.34,7.830000000000002
904,140,838,440,884,10.86,8.24,8.260000000000003
563,285,723,425,367,11.24,9.84,9.519999999999996
699,905,389,980,236,8.6,7.28,7.330000000000002
154,84,180,154,237,10.64,9.32,10.900000000000002
674,238,12,496,851,20.8,10.54,11.390000000000004
603,186,269,288,4,19.9,16.0,15.11
149,429,547,378,624,10.24,7.14,7.6700000000000035
579,326,975,128,707,12.78,9.52,9.25
879,527,973,632,670,10.08,7.58,7.560000000000002
692,757,55,467,921,8.08,6.58,7.300000000000002
891,798,974,895,696,8.7,7.02,6.940000000000001
817,572,401,407,408,12.12,8.14,8.799999999999999
403,106,493,649,410,10.56,7.96,8.270000000000003
63,195,68,213,451,14.76,10.48,10.29
166,112,348,615,53,11.88,8.9,8.950000000000001
104,0,580,154,549,22.84,16.04,16.349999999999998
103,971,372,628,26,15.28,10.5,10.66
72,895,212,628,385,13.42,10.54,9.889999999999999
152,649,258,978,355,9.22,8.3,7.990000000000002
616,372,485,125,118,11.46,8.24,8.450000000000001
869,499,477,491,495,8.28,6.58,6.950000000000002
319,87,147,104,767,9.62,8.34,8.500000000000002
350,758,271,490,848,10.82,6.96,7.460000000000001
708,165,528,23,210,22.78,12.72,13.169999999999998
973,974,540,370,150,10.38,6.62,7.210000000000003
706,556,936,27,776,18.22,12.1,10.880000000000003
540,305,658,884,93,13.44,9.46,9.659999999999997
712,865,267,530,375,16.18,8.2,8.34
930,171,364,790,228,9.56,8.12,7.9300000000000015
545,554,797,514,337,12.48,7.9,8.850000000000001
651,228,627,830,807,11.54,7.9,8.040000000000003
776,873,199,825,245,10.54,7.84,7.660000000000002
837,410,757,822,232,8.22,7.04,7.240000000000001
204,530,504,364,748,14.62,9.44,9.849999999999998
29,28,809,286,483,14.88,11.96,11.52
265,198,709,619,979,13.24,8.34,8.770000000000003
352,457,827,959,740,10.14,6.96,8.749999999999998
357,977,997,373,82,13.74,7.96,8.410000000000002
225,104,232,481,201,9.94,8.14,8.180000000000003
345,209,494,639,921,11.3,8.48,8.95
624,860,1,490,931,8.5,6.94,7.330000000000002
668,352,818,658,86,14.48,7.46,8.26
854,676,122,931,397,11.24,7.64,7.710000000000001
801,728,768,204,489,13.36,7.6,8.410000000000002
910,182,444,808,651,12.04,7.76,8.450000000000003
340,88,820,968,994,13.02,7.54,7.550000000000002
739,405,474,411,761,12.0,8.62,8.44
969,86,742,162,174,10.3,7.78,8.210000000000004
130,28,154,604,926,14.36,10.26,10.32
476,825,671,149,626,8.1,7.04,6.960000000000002
846,610,485,673,959,9.12,7.14,8.049999999999999
358,159,561,561,134,10.92,8.54,10.07
21,14,818,994,743,17.48,13.22,13.310000000000004
665,105,539,767,956,13.82,8.24,8.5
142,444,892,199,845,13.64,10.3,10.299999999999997
894,216,28,257,217,13.86,11.6,11.750000000000002
299,513,246,782,600,13.52,7.94,7.880000000000001
333,265,557,429,854,9.26,7.8,7.560000000000003
134,62,931,757,362,14.86,9.46,10.759999999999998
919,469,678,597,834,12.04,7.54,7.310000000000002
925,529,430,846,939,8.92,7.5,7.240000000000002
899,513,133,544,155,12.48,8.02,8.62
536,522,19,893,450,14.62,9.58,10.45
795,187,623,4,794,21.3,13.38,13.520000000000001
