n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
474,627,382,273,141,19.3592,11.2804,11.317025288994621
190,887,692,6,346,58.0076,32.2654,32.45399492739402
514,474,919,619,82,21.0925,12.354,12.399494242839781
342,567,958,631,716,18.4009,11.1028,11.146564432093257
41,745,388,173,720,28.2501,16.1113,16.16436641444173
968,462,974,742,432,17.3382,10.4597,10.467424303477987
160,172,243,52,113,29.97,17.3433,17.513715083631432
135,518,892,946,604,18.0293,10.8613,10.804971928265815
64,792,704,392,808,19.0192,11.5664,11.613465785090563
764,908,104,941,298,19.959,12.4073,12.366939281777876
209,690,229,743,812,22.352,13.0091,12.986842081474304
431,910,89,791,273,18.003,11.0229,11.032676941659874
933,214,406,287,349,22.5094,13.5973,13.700394259841369
828,44,204,725,907,31.376,17.8016,17.883474595789018
5,900,421,56,917,33.2294,18.759,18.900038137479385
387,866,503,142,24,32.6991,18.4861,18.64275401894823
242,434,753,928,871,17.2357,10.628,10.615453262650192
114,987,611,3,124,107.0126,61.1832,62.07098036931621
782,592,202,916,872,21.9982,13.1732,13.174271228324406
207,338,8,913,85,31.6393,17.8042,17.865294737865824
136,552,939,17,512,27.0548,15.5973,15.624897605067037
86,586,508,550,943,18.0015,10.8497,10.819378728905992
202,430,70,407,196,28.3391,16.7625,16.819934697192853
654,783,95,717,593,16.255,9.5856,9.519316882180087
148,176,962,623,736,15.2294,9.0206,9.026494549555748
981,42,55,276,568,18.1337,10.8733,10.80987246185656
699,620,872,152,763,20.0661,12.1286,12.04085229664212
274,754,589,35,124,22.9489,13.0028,13.033703641977915
889,722,412,973,927,14.6278,9.0,8.961050969087516
242,165,625,517,44,34.251,19.4841,19.470028055737316
753,374,865,690,534,15.4441,9.6316,9.554623388307597
604,578,793,704,88,22.6768,13.7078,13.746602940946985
888,355,112,884,902,21.0241,12.6891,12.628335613473023
598,374,462,215,411,27.6184,16.367,16.434093471995755
203,969,588,763,18,44.0685,25.2554,25.262583709825044
388,818,622,336,0,50.2933,27.9924,28.279928413427648
443,114,218,227,454,21.9519,12.5714,12.547483449633715
276,332,834,90,314,23.5488,14.2291,14.196427669497258
644,291,105,529,802,19.1195,11.0551,11.033214933664325
56,26,390,799,573,26.2078,14.7468,14.838594239900626
826,438,509,354,726,20.4174,12.2475,12.198704553903255
796,254,579,755,67,25.8596,15.0724,15.104146982374257
435,663,236,98,987,24.5727,14.1999,14.192277001818871
