n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
232,379,985,384,129,91.53,11.61,11.72
197,721,44,87,140,150.18,23.29,24.159999999999993
253,830,518,214,410,139.41,22.54,20.239999999999995
657,31,470,499,464,87.1,12.01,12.680000000000001
399,506,586,196,918,122.29,14.81,14.200000000000003
850,412,91,496,239,100.02,13.5,13.040000000000003
777,20,717,273,532,136.36,20.75,20.839999999999993
417,485,923,933,388,82.33,10.4,9.96
743,116,678,264,99,104.8,14.91,14.64
833,64,395,635,849,119.29,15.92,15.0
386,110,676,59,346,106.68,13.41,13.0
240,707,88,509,925,130.76,19.83,19.039999999999996
665,529,923,212,595,125.19,15.86,16.960000000000004
827,145,621,65,552,115.46,13.93,13.200000000000003
968,38,500,718,198,131.33,15.47,15.160000000000004
151,968,880,592,467,110.54,13.42,13.160000000000002
746,598,902,455,292,83.2,10.88,11.120000000000001
570,365,875,899,436,112.19,13.21,15.199999999999992
138,162,782,615,99,124.69,12.83,13.520000000000001
544,706,321,718,365,115.28,12.53,12.120000000000001
972,659,863,506,515,101.85,12.29,13.48
638,202,316,153,364,149.93,17.12,18.240000000000002
541,291,522,672,73,122.59,14.94,16.559999999999995
827,924,877,519,934,77.98,8.75,9.0
718,558,225,352,249,120.64,13.65,14.159999999999998
929,12,302,351,225,133.11,26.36,24.91999999999999
273,34,433,260,385,151.29,14.15,14.600000000000001
305,854,722,912,426,90.95,9.15,9.36
179,673,405,119,170,138.7,17.88,20.239999999999995
954,679,872,998,26,107.07,13.45,14.600000000000001
206,996,784,164,307,114.21,12.32,12.720000000000002
119,13,815,782,389,142.91,22.94,22.520000000000007
350,856,174,582,446,107.63,12.09,12.480000000000002
926,237,142,419,577,107.57,12.64,12.52
456,416,427,82,602,118.27,13.56,15.239999999999998
71,295,734,97,34,153.42,25.48,23.76000000000001
87,679,109,782,533,109.05,17.18,17.359999999999996
539,368,157,827,958,110.42,14.96,15.879999999999992
517,499,725,152,618,106.48,11.76,11.64
64,194,17,934,143,151.29,24.07,23.999999999999993
348,395,674,587,123,130.43,16.18,16.75999999999999
761,306,359,333,988,100.06,14.24,14.52
374,3,661,855,510,177.01,52.9,53.080000000000055
215,62,896,632,33,148.94,24.79,26.959999999999987
904,988,889,777,827,88.11,10.45,10.48
836,593,176,182,345,117.45,14.14,14.120000000000001
993,441,452,123,85,126.34,15.4,14.880000000000003
205,619,229,509,830,111.55,13.18,13.240000000000002
484,809,158,390,124,115.88,16.46,16.76
111,594,738,463,663,116.61,19.91,22.67999999999998
129,736,450,526,742,128.31,16.03,17.43999999999999
92,732,950,482,577,111.41,15.79,14.759999999999994
403,836,369,466,230,107.01,12.17,12.92
52,202,50,456,114,147.34,20.98,19.96
110,216,742,4,725,170.64,31.66,32.99999999999999
615,626,928,23,670,131.1,19.61,18.92
372,849,442,540,95,128.67,14.53,16.360000000000003
991,766,773,614,514,104.49,16.26,14.079999999999991
838,722,582,205,513,106.3,10.27,10.760000000000002
234,331,538,393,761,112.95,16.21,16.23999999999999
532,662,200,6,296,164.95,32.58,32.72
627,303,930,81,761,135.94,18.54,18.840000000000003
328,949,928,412,229,102.55,11.49,11.440000000000001
647,303,81,560,429,113.27,14.04,13.920000000000003
762,378,826,964,758,85.98,9.48,10.24
870,328,528,309,640,110.88,11.57,12.160000000000002
851,980,365,802,916,72.19,10.07,9.879999999999999
302,667,866,111,200,100.33,12.53,15.799999999999992
496,378,387,981,599,80.47,10.68,10.88
867,940,319,210,297,116.68,17.06,16.319999999999993
406,627,392,862,941,80.83,11.28,11.280000000000001
700,536,958,707,745,93.43,16.02,14.39999999999999
364,840,692,619,599,103.93,12.15,12.120000000000003
370,689,437,200,501,114.99,13.45,13.600000000000001
842,541,519,858,83,88.27,11.77,11.72
275,167,70,510,750,133.18,14.56,15.920000000000003
887,277,429,798,119,112.06,14.69,13.919999999999998
639,849,844,280,298,96.87,11.6,11.4
280,823,845,516,275,104.17,13.2,14.239999999999991
283,909,647,421,250,85.33,11.68,11.600000000000001
370,251,988,253,809,103.45,11.35,12.16
516,765,468,255,239,117.43,14.48,14.960000000000003
832,830,610,537,849,100.18,12.51,11.84
200,376,508,799,108,125.99,20.69,19.319999999999993
812,114,397,86,670,117.71,13.98,14.080000000000004
174,798,580,437,942,120.71,15.35,15.759999999999993
46,805,931,140,22,150.7,22.11,23.520000000000007
624,195,701,270,89,128.77,15.55,17.119999999999994
97,473,470,889,685,126.38,14.87,15.120000000000003
927,289,947,579,94,88.37,12.31,12.000000000000002
129,621,366,885,668,126.97,15.35,17.119999999999994
67,327,809,39,855,140.89,22.15,22.560000000000002
941,85,879,140,669,103.0,13.53,13.520000000000001
823,375,848,76,834,73.35,10.52,10.719999999999999
236,742,37,614,809,114.14,14.0,14.64
326,227,303,761,366,111.64,16.89,16.63999999999999
990,334,67,532,921,110.79,13.1,13.920000000000003
116,938,738,624,356,106.59,19.2,19.799999999999997
444,163,160,261,914,112.98,14.55,15.28
398,152,441,745,800,124.84,12.84,14.280000000000001
