n0,n1,n2,monte_carlo,monte_carlo_max_hop,two_hop
3714,6068,6150,7.85,7.51,7.0621633408354265
2069,3164,717,9.03,8.78,8.957262203126865
1395,2242,4054,8.87,8.36,7.97031746031746
8296,3430,6565,7.8,7.3,6.990700040700041
496,7522,7985,7.56,5.53,6.241269841269841
7424,6397,8109,5.65,4.85,4.8079628183699725
9390,3149,6597,5.47,4.87,4.853282828282828
1467,7947,3836,9.8,9.04,8.896948185666961
327,4370,8522,24.74,20.89,21.23818440026488
6679,7771,6210,5.72,4.83,4.959161268203822
1863,4232,1591,7.22,6.72,7.1248037227899355
1033,6330,6180,9.9,8.77,8.695863307961261
1765,951,5544,7.43,7.37,7.243485778297292
3840,1409,8152,8.93,8.48,8.068941798941799
8467,3406,9527,6.13,5.15,5.141071428571429
2328,9940,1054,5.5,5.43,5.08238632006748
8842,613,8006,9.2,9.43,7.00832141297103
3176,2428,9485,5.81,4.3,4.822831770784987
7475,9574,7293,5.29,5.32,5.262200396970743
4680,9131,5844,6.31,6.65,6.2255291005291
6981,2211,2593,7.34,6.38,7.099913999800944
9851,1599,8713,15.53,9.93,9.886100272737767
5141,5849,8104,6.08,4.71,5.024429358520267
8251,3238,5059,6.59,4.95,4.918295454545454
2460,5828,8662,6.3,5.47,5.12628367003367
4658,8352,1170,5.01,5.03,5.114285714285715
8313,8928,3603,6.14,4.8,5.216039094650206
5639,3995,195,7.95,6.99,7.058037592945424
4844,5623,3601,8.18,7.15,6.869327464402795
4371,551,6937,10.75,8.29,8.82222453810151
4174,6175,4888,4.91,5.32,5.177389142023289
6830,2871,6492,7.73,7.2,7.2499227727005495
1904,2722,419,8.76,6.91,7.846493051423881
3306,2632,4915,5.9,5.13,5.300132275132276
1908,216,6233,8.75,8.57,8.228720611051438
5600,2787,9324,5.8,4.91,4.982758348747509
7136,3796,2278,9.53,7.72,8.045039682539683
6719,9240,7308,5.32,5.01,4.919444444444444
6670,6847,1313,8.26,6.9,6.932284744532931
9642,1146,4730,7.3,6.02,5.242065321057737
1558,557,1396,17.93,17.14,17.060517960509504
1745,8535,8639,6.18,6.19,5.967755671522795
5900,2517,8272,6.37,6.66,5.99455266955267
7999,2433,9903,13.04,11.24,10.920405982905983
1031,3107,277,13.3,12.33,12.993143196672609
2300,5583,6329,5.73,5.57,5.250092540309931
9399,1978,4905,6.21,5.06,5.1349152542372885
5758,5331,5997,11.25,8.57,8.941063538632724
48,8175,3441,11.2,10.91,10.97969926653789
993,542,9502,11.07,10.03,10.021643404488234
2817,2913,5529,11.2,10.1,9.989761904761906
7062,7233,1981,6.16,4.73,4.8760389153298505
1365,3284,9918,6.03,4.43,5.144941409128666
3669,8146,7752,9.6,6.27,6.768511791127633
2531,6243,1999,8.75,7.8,7.703112139917696
1777,9514,7416,8.52,6.75,6.994047619047619
2071,7200,8429,7.75,7.78,6.914962484993998
1481,7721,9238,5.47,4.85,4.866361788617886
6451,5911,7460,6.22,4.83,4.974516908212561
3694,834,3235,6.01,4.15,4.794905024328996
801,7310,1825,6.27,5.56,5.178799903799904
1772,3460,75,16.07,15.97,14.880718694885362
9840,370,5965,7.47,6.19,7.016303321713631
7084,8648,1529,6.5,6.4,6.208166666666666
9833,8234,9322,5.92,5.75,4.979636427032089
3287,8217,3759,6.76,5.83,5.7602182539682545
5310,8613,6293,5.93,4.92,4.864535768645357
8516,3214,109,29.05,26.58,26.65055045610329
4744,4857,1308,9.09,8.78,9.188691849082849
5259,6600,3664,6.57,4.55,5.21547619047619
4856,1304,8967,8.18,7.94,8.780998982802176
6872,6049,5256,7.44,6.61,6.875191238885739
8458,4950,5846,6.98,6.43,6.072222222222222
4846,1790,3207,9.19,7.9,7.800347901717764
7949,6061,6202,5.44,5.08,5.048333333333334
9584,5111,3362,9.21,9.35,9.175555555555555
4759,6504,6282,6.38,5.1,5.1268518518518515
8579,5829,9911,5.52,4.77,5.061259920634921
9586,5934,7004,5.54,4.92,4.923382151214395
3209,8027,8666,5.41,4.67,5.051124338624339
8311,1343,4404,7.77,6.63,7.1457393483709275
2677,1124,8163,10.39,9.39,8.969550495539195
4438,6876,1917,12.19,9.91,10.15224784447153
4488,4778,4490,7.53,7.57,6.197264889450863
8261,4400,4543,8.11,7.26,7.042483660130719
6746,4006,5920,7.57,5.9,6.104365079365079
4026,4063,8269,8.24,6.35,6.159198082401443
7502,4094,3837,5.73,4.64,4.751587301587302
9774,8605,3201,6.46,4.97,4.898412698412699
6028,8137,1732,7.53,8.14,7.257207769939251
1828,6356,1379,8.93,9.13,9.052281746031746
2796,9285,7005,5.33,5.33,5.163573762838469
739,2241,361,28.03,26.68,26.59741969369714
9998,3133,4335,5.38,5.1,5.092142857142857
1426,1563,7580,7.0,5.35,6.174718153485276
7532,4624,9275,5.69,5.2,5.1709494773519165
1518,2069,9946,6.96,5.64,5.711243386243385
5858,1080,5241,9.08,9.79,8.98913043478261
634,1375,2249,12.17,10.06,9.875179386823222
6000,1228,3780,8.38,7.34,7.077517361111111
