n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
5305,2471,6468,791,1186,73.86,14.1,14.384780842626103
8779,1542,5991,9548,950,88.6,14.1,13.324253510359895
8313,3517,614,1408,7104,80.04,17.38,17.451727921956888
6851,1144,3943,1486,9028,73.54,14.99,14.539082483239172
6955,968,9264,2028,3657,85.99,12.76,13.227740334589427
9551,1013,9455,9593,6499,72.17,12.47,11.859338912748044
812,3622,763,9120,2181,88.43,18.62,18.49853905673451
4744,6867,2363,8858,1929,48.57,12.73,12.960563631713445
9353,5054,9179,2961,1688,99.63,14.18,13.269104351698655
9528,9358,3078,6101,1596,56.72,13.38,13.70418092095909
8974,1028,9246,976,3374,77.08,13.85,13.583020283227718
8133,8711,7005,5146,7628,49.78,11.28,10.674242229168714
9593,7424,5924,4911,4070,48.04,10.3,10.29701894764569
2945,3999,1341,9411,4919,70.54,12.89,12.34335186324989
8604,8111,5627,7353,4717,57.05,11.47,10.985422454912158
9977,1199,1934,8387,6850,72.29,12.46,12.498196830039987
2702,5604,2490,8011,6909,63.21,13.42,12.590800843882231
642,1271,9143,9388,5140,74.24,13.53,13.796994399787598
5572,5737,9738,8137,9501,49.45,11.25,10.88724614331571
7474,1126,1533,4422,7767,89.91,13.05,13.732246442808346
1064,994,5072,9469,7301,97.2,16.39,16.101563142044924
4662,6320,5685,369,7564,126.32,16.15,16.612710063563696
5823,2753,1918,8088,965,69.89,14.14,14.028743927655448
3575,4709,2119,4056,6519,78.51,13.63,14.29478081406098
6405,8134,1320,2725,7359,63.21,14.53,13.474480833467549
6580,9002,4552,2243,7053,75.75,11.66,12.026144153333524
9014,4561,6804,5878,6233,56.28,11.56,11.589674550098632
3780,2472,1359,2887,2478,70.26,17.57,17.967060972416927
3800,3822,197,7945,9652,109.75,20.08,19.429506500063987
2987,4304,4619,67,2386,168.76,25.88,24.9626736308275
6864,8758,6049,9991,9278,55.14,10.96,10.629661978960833
5220,2056,8445,884,7481,64.45,12.76,12.866188113765693
9163,6428,6521,6536,6457,46.67,10.04,10.292571410627165
1696,7889,6560,1019,3122,95.02,16.73,15.946234771573048
1103,3420,7219,2659,1801,121.34,16.14,16.372952583765873
5571,9842,861,1677,3,298.5,52.84,51.214383594222696
9286,2478,8791,1662,5957,80.98,11.23,11.791044022335669
417,1152,3407,6164,2433,86.62,15.26,15.655159277102163
4132,5691,9867,5966,7768,48.61,11.27,11.301090776879734
2012,1889,7996,7634,7870,60.95,12.36,12.294271026059025
7927,5109,1407,2361,1674,81.81,14.99,14.547139986036036
5613,4337,7841,2645,8459,75.99,12.26,12.0521965628738
378,3362,8654,5926,2401,104.83,16.57,17.530048543890942
8899,443,8652,4883,1491,88.91,14.14,14.446782134687133
4278,8493,6008,2736,5827,54.87,12.56,12.653083023312838
3650,8725,8873,8236,5401,90.0,11.03,11.589529603732196
3654,3197,3922,6564,3714,64.37,13.51,12.718323863632596
3275,8480,8073,5825,474,105.16,14.14,14.966879373017381
457,4577,7737,4246,3172,86.61,15.57,15.891041042382449
9914,5640,7327,5726,5974,66.38,9.84,10.636004833688276
1319,3612,1673,3716,7701,112.54,13.84,14.051480585759913
3222,5533,3348,7907,9998,49.34,11.26,10.896094058232368
31,7855,5636,1389,1964,233.19,34.11,33.57201264645539
6365,3265,7832,2924,7109,41.37,12.76,11.884789484543415
5447,1421,6485,7588,6576,56.01,12.4,11.837747244355558
1391,2602,2785,2081,451,132.05,18.97,19.27977751624747
2476,9679,7624,2394,9762,53.54,11.1,11.173024956594709
7771,5741,2554,8989,8983,57.53,11.51,11.483179393838665
2146,350,233,1683,8627,122.85,22.48,21.93052322289811
2281,7107,3191,3457,458,59.49,13.39,14.11935635205704
4126,3486,4799,8211,3940,46.96,12.23,11.595117314744643
9608,5341,4249,8918,6865,48.85,10.84,10.466840134422824
2147,997,5796,7506,9557,96.0,15.13,15.993899655230281
8466,6891,8219,2142,8713,38.79,11.43,11.788723176331217
2487,8577,8364,306,7211,73.58,15.81,13.255411127695174
3000,9970,64,2454,2823,193.04,28.51,28.012426625286164
2319,7757,1971,9117,1011,81.77,15.51,15.411270799697032
5340,8492,8695,9100,7905,74.11,11.02,10.359934924432567
1738,9179,930,4071,3134,94.81,14.67,15.002287038977874
4537,691,1601,8318,7408,96.9,12.41,12.891071521001773
9203,456,1038,7262,5334,94.22,16.02,16.416671374847738
8282,9930,8391,3267,4541,41.87,12.07,11.685552870678661
7411,8325,8737,7832,8319,37.47,9.15,9.56089892818896
4057,8572,4253,9167,3319,56.68,11.68,11.654071510176127
7332,2246,6826,1992,6428,72.55,13.49,13.55373257169773
7243,5177,1188,3942,7017,99.53,12.35,12.862138508033611
1198,3484,4960,2004,2530,92.07,13.22,13.552379520072348
5999,2342,4146,2248,7663,74.38,13.02,12.842015364664148
3597,1542,6525,7983,2667,65.5,13.66,13.800000750418617
3665,2645,7070,8447,6616,67.17,12.98,12.389451083590846
5556,6902,3207,5842,5218,49.77,11.58,11.746175347878495
1510,5995,319,5537,9077,159.14,25.16,24.03688139237738
7514,7216,296,6297,5431,72.59,14.78,15.244499358077661
8477,4840,8392,1053,1848,68.0,11.61,12.008168940589448
3744,1716,1377,4351,4455,68.16,15.34,14.945349032724279
648,2974,4430,2122,6918,101.45,16.62,16.79582670636981
4237,6651,2447,8791,8434,48.93,12.79,12.390984853001298
9348,8103,5358,1465,4572,92.48,12.51,13.109861560338382
942,3003,6968,1186,4406,95.99,15.99,15.611390341251322
275,1451,4268,1372,9964,144.58,21.79,20.786553430629173
3643,1091,4332,1993,7434,51.34,13.16,12.857311316213211
189,5556,9061,6844,4388,86.07,17.17,17.843044672710636
2117,707,8632,3906,1793,89.23,16.63,16.905324333487
2645,4290,825,2967,3305,86.54,15.8,16.434110722946947
5111,4997,8701,3372,4750,53.13,12.21,12.189956373984707
7302,8193,2914,4432,5685,46.44,11.24,11.310728100932693
297,4103,605,251,302,174.8,24.83,25.329154324283323
8284,9028,3104,8425,7778,63.64,11.49,11.311708593021518
4025,7324,1741,7080,8110,76.4,11.71,12.46686394090849
8944,6440,8301,5042,3525,44.4,10.06,10.60363929620605
