n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
3714,6068,6150,2069,3164,717,1395,2242,4054,463.1,19.9,22.500000000000018
8296,3430,6565,496,7522,7985,7424,6397,8109,520.67,17.23,17.610000000000003
9390,3149,6597,1467,7947,3836,327,4370,8522,498.14,21.78,21.320000000000007
6679,7771,6210,1863,4232,1591,1033,6330,6180,512.44,23.13,21.47000000000001
1765,951,5544,3840,1409,8152,8467,3406,9527,480.78,22.1,21.91
2328,9940,1054,8842,613,8006,3176,2428,9485,430.63,21.62,22.31
7475,9574,7293,4680,9131,5844,6981,2211,2593,451.02,21.2,22.370000000000008
9851,1599,8713,5141,5849,8104,8251,3238,5059,483.59,18.69,19.410000000000007
2460,5828,8662,4658,8352,1170,8313,8928,3603,290.64,17.98,16.84
5639,3995,195,4844,5623,3601,4371,551,6937,629.64,33.49,33.04000000000003
4174,6175,4888,6830,2871,6492,1904,2722,419,492.8,22.62,22.080000000000013
3306,2632,4915,1908,216,6233,5600,2787,9324,528.69,27.53,26.510000000000012
7136,3796,2278,6719,9240,7308,6670,6847,1313,388.37,18.77,18.3
9642,1146,4730,1558,557,1396,1745,8535,8639,555.61,22.89,23.84
5900,2517,8272,7999,2433,9903,1031,3107,277,658.76,31.47,32.670000000000016
2300,5583,6329,9399,1978,4905,5758,5331,5997,517.12,21.33,23.210000000000015
48,8175,3441,993,542,9502,2817,2913,5529,691.86,31.91,31.21000000000003
7062,7233,1981,1365,3284,9918,3669,8146,7752,377.21,18.92,20.360000000000014
2531,6243,1999,1777,9514,7416,2071,7200,8429,538.93,22.17,21.380000000000006
1481,7721,9238,6451,5911,7460,3694,834,3235,494.43,23.73,24.01000000000002
801,7310,1825,1772,3460,75,9840,370,5965,678.17,32.5,32.230000000000025
7084,8648,1529,9833,8234,9322,3287,8217,3759,402.89,17.3,17.95
5310,8613,6293,8516,3214,109,4744,4857,1308,511.39,27.48,27.910000000000025
5259,6600,3664,4856,1304,8967,6872,6049,5256,381.49,17.18,18.450000000000006
8458,4950,5846,4846,1790,3207,7949,6061,6202,336.65,21.05,20.570000000000025
9584,5111,3362,4759,6504,6282,8579,5829,9911,355.37,16.98,17.21000000000001
9586,5934,7004,3209,8027,8666,8311,1343,4404,425.04,19.48,19.420000000000012
2677,1124,8163,4438,6876,1917,4488,4778,4490,562.68,22.36,23.360000000000007
8261,4400,4543,6746,4006,5920,4026,4063,8269,448.17,18.68,18.160000000000007
7502,4094,3837,9774,8605,3201,6028,8137,1732,436.12,21.36,21.150000000000023
1828,6356,1379,2796,9285,7005,739,2241,361,584.11,32.49,35.75000000000005
9998,3133,4335,1426,1563,7580,7532,4624,9275,519.59,26.73,26.260000000000016
1518,2069,9946,5858,1080,5241,634,1375,2249,563.41,23.42,24.490000000000013
6000,1228,3780,607,9826,5231,3642,4859,5857,455.09,23.53,21.500000000000004
5354,1083,8520,1867,9986,5702,7119,2617,2573,366.51,18.82,17.800000000000004
4176,6378,2437,7065,1067,1634,8756,3647,1345,537.35,24.95,25.110000000000024
4803,2894,5520,3259,1786,833,936,9107,2911,658.64,30.71,31.280000000000026
2797,9166,5353,4839,3969,8198,7846,1817,9221,446.04,20.23,19.54
1359,2252,2173,3692,5354,3572,6681,2849,2768,389.55,20.37,20.020000000000003
2212,7215,996,7345,9593,4707,6796,7152,9475,485.78,19.84,20.710000000000008
6095,9240,8022,6005,8650,3071,5059,4359,7796,424.8,22.3,22.260000000000012
2095,4536,8191,8299,8743,8386,4737,3563,9314,427.27,19.55,19.790000000000006
8626,6400,2208,8007,7796,2035,4771,6456,525,493.86,22.1,23.21000000000002
572,6086,8300,4851,5685,6145,452,2346,237,653.21,29.36,27.330000000000005
1305,3025,7355,9501,2087,6971,9242,9481,1770,382.48,23.74,21.540000000000006
6106,8230,648,9850,6041,5867,1741,5239,1673,450.66,20.96,20.730000000000008
7809,2781,3862,7812,5983,9443,5673,6090,7037,407.79,17.2,17.160000000000004
6142,632,2305,5130,998,531,3811,8354,5906,553.86,25.78,24.63000000000002
7923,6003,7798,9199,2836,4943,2285,4365,372,491.17,20.68,20.38
7223,4715,9569,4272,7443,4857,4744,6604,8146,460.95,22.64,20.39000000000001
7325,1459,8179,7189,5587,2225,9476,1772,5920,473.73,22.44,23.25000000000001
9837,7478,5926,7700,9386,6285,3329,8955,8573,274.37,14.04,14.760000000000005
9667,2846,2393,8261,565,1449,8981,5101,3566,439.84,20.68,20.73
2414,6566,4152,3232,1895,228,599,7259,3470,534.56,23.02,24.20000000000002
5184,5149,457,89,272,2099,9435,4954,5088,656.09,37.38,37.47000000000004
180,724,3496,5391,5189,1531,6791,3842,7,890.13,77.59,76.61999999999998
1570,8458,8371,3318,7889,6907,1833,6965,8300,443.96,25.48,23.700000000000028
2420,1221,2390,5672,9785,7147,816,4145,6714,458.68,20.42,21.27
3262,454,4664,1052,7999,5162,2642,3695,904,491.85,23.96,22.79
6502,5067,4310,5042,8557,4533,9877,353,6652,584.51,27.72,28.15000000000002
3415,3456,3096,1833,8099,2554,5152,3913,1349,572.25,34.04,31.02000000000003
7125,5667,8291,9002,8163,7587,5976,2241,2714,517.85,20.55,21.650000000000013
7682,1585,3624,8499,5518,2649,9097,3931,3618,396.74,21.78,21.960000000000004
6973,9787,3292,5534,2103,9229,4367,1181,7283,479.17,21.86,22.34000000000002
5296,9361,2309,3876,9729,6516,347,5161,6539,439.27,19.14,18.740000000000006
5827,5084,1941,1935,6326,7317,6738,9807,173,549.79,24.45,24.69000000000001
7986,5538,8977,3282,267,249,9949,8199,5224,501.96,22.47,22.670000000000005
6103,7930,9513,1692,2871,1867,894,7287,4521,453.93,19.72,19.930000000000007
1333,8970,462,3248,4069,1222,980,5494,5646,459.02,21.49,21.640000000000004
6302,5127,7982,9917,2592,8039,4502,968,7823,473.17,22.82,21.81
7666,9574,4034,8863,947,8420,8327,6570,7352,356.03,23.74,21.110000000000014
8571,7767,2618,1927,9399,8360,2805,5400,4806,428.29,18.06,18.000000000000004
9281,8950,6537,1893,7317,9081,2993,4882,2609,468.75,20.69,21.960000000000026
5849,5785,8667,914,6556,9941,4511,1156,4040,531.54,23.33,24.600000000000037
9042,7729,7181,4669,3111,7814,8976,1082,1032,561.0,25.13,24.030000000000022
4788,1118,2972,6469,1659,8963,2028,2981,3019,552.83,24.9,26.24000000000002
7952,5285,9314,3892,3164,7176,4094,6215,485,447.04,23.43,23.600000000000012
8517,5706,4994,1954,8635,8461,8045,9379,646,414.28,22.06,21.11000000000004
9555,1547,7267,6031,4172,5382,1740,1725,3166,513.51,22.31,23.51000000000002
7971,6953,9300,7374,1646,2132,454,5774,2066,462.27,23.51,22.92000000000002
6385,7340,5454,8521,6949,9743,1812,6226,7702,489.6,18.94,18.800000000000004
6847,2068,1215,2980,3858,7272,3295,4523,9938,496.3,24.07,22.790000000000024
