n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
6311,6890,663,4242,8376,7961,6634,36.66,18.1,17.94026712555285
4969,7808,5866,9558,3578,8268,2281,43.99,19.0,18.999654361794065
4617,2289,1553,4104,8725,9861,2407,40.19,17.4,16.78449885862453
5081,1618,1208,5409,7735,9171,1649,38.66,15.8,16.373088058246058
5796,7113,5180,3350,9052,7815,7253,28.69,14.3,14.044683197297587
8541,4267,1020,8989,230,1528,6534,49.65,18.29,17.650881902021045
18,8086,5458,3996,5328,1031,3130,96.01,35.03,34.98291389530612
9298,3632,3909,2334,8896,7339,1494,41.98,20.12,20.900400182390925
1318,5243,8322,8016,1786,4938,9031,48.19,19.12,19.60538292228221
4769,2044,8969,5451,8852,3329,9882,35.66,15.51,16.41319245613103
8965,9627,4712,7290,1501,9769,6306,26.89,14.67,14.780320760339169
5194,9431,3966,4756,3012,3102,3059,44.47,17.94,17.48813651270637
540,4260,7807,1131,1471,2133,2450,54.77,23.88,23.561585708046817
633,1314,8857,6410,8594,4515,8549,36.61,20.51,20.71081725891251
3858,3525,9663,6871,9497,4509,7382,31.13,16.2,16.680007874257583
8071,5855,1349,5313,1889,7969,9618,40.64,18.15,17.677228272246868
5493,3119,3981,265,4440,1919,3612,70.71,23.41,23.817153978320828
6095,2793,5448,6981,1018,1648,2397,73.98,24.68,25.25120208748318
3584,741,9402,8752,9865,1212,437,54.26,21.22,21.07244829309152
2038,3088,9934,9436,1961,6409,1499,23.38,17.12,16.982263508686348
6064,1901,596,9920,354,3188,3030,69.61,28.57,28.18839944999564
2029,7851,3450,1000,373,8916,6973,61.88,24.32,24.262176938245943
1662,4258,1146,3618,1179,4932,5739,69.63,26.28,26.30045667803725
7144,2954,1000,8251,7653,645,9772,57.71,22.34,22.004978555230995
1653,6410,3266,4262,5874,7704,9335,36.45,15.49,15.283409259187371
2775,3332,951,2592,2653,5608,8674,40.83,18.63,18.82897645908913
4107,1920,9777,7246,2864,216,7727,45.3,18.19,18.047553693136376
6715,9324,8332,5102,5851,6367,4111,41.24,17.1,16.78840501823729
