n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
3898,9709,8916,2136,6061,9894,7766,9516,1073,9922,215,7687,4249,9024,3839,3141,7704,8863,9005,3275.72,83.23,84.70000000000007
7804,6506,2467,3799,2484,8571,6388,248,1049,2611,9684,701,4935,508,4414,7745,9744,6350,6994,3292.94,83.22,86.79000000000006
6471,9452,7284,2197,5988,1596,587,2227,8108,3555,4226,7146,4932,6900,8310,6322,9404,5749,8750,3288.34,70.73,70.73
9585,6677,9572,3807,5517,469,4582,9925,2672,5347,8876,9370,9324,1705,3459,9396,4375,4668,2038,3276.12,62.46,63.570000000000036
1039,7897,7921,1450,5637,1091,6725,2470,329,4815,6998,6802,1948,724,9912,736,6189,9607,5422,3285.37,87.9,92.67000000000014
9025,4572,8280,3865,590,5073,118,1261,1771,9826,8774,514,3233,6683,4777,4315,2559,695,5567,3304.26,91.46,98.43000000000005
5141,5901,2266,6189,6172,7543,8520,6327,9759,9162,1680,8307,4444,7064,3893,4933,7167,4230,8538,3285.57,73.38,76.90000000000006
4964,8985,5552,187,6802,9502,5158,328,6168,9653,2183,984,5446,7639,5782,5776,9975,4569,8020,3289.65,75.3,82.10000000000007
363,9656,992,348,6048,4114,7476,4892,9710,9854,5243,2906,5963,3035,5122,6048,9758,4327,4921,3289.33,88.86,92.51000000000009
6179,1718,441,9326,2153,5079,8192,3646,4413,3910,5370,3070,7130,1589,1668,9842,5275,5468,3677,3292.69,72.07,75.39000000000006
7183,2773,1309,5516,3572,9312,7390,4433,3686,1981,555,8677,3126,5163,9418,3007,4564,5572,1401,3292.33,95.15,96.92000000000016
5657,9658,2124,6902,4783,8493,4442,7613,5674,6830,4757,6877,9311,6709,582,6770,2555,3269,76,3311.44,91.62,95.96000000000008
7820,8358,7116,9156,3638,529,7482,8503,4735,8910,5588,3726,1115,9644,4702,1966,4006,738,575,3296.52,75.64,72.69000000000004
8393,3251,7043,9452,808,215,7881,1979,2815,8244,4913,3916,325,8601,8798,6778,872,1861,5592,3308.15,98.14,103.79000000000013
2054,4136,8863,7818,1005,5764,3617,3233,2002,8759,1953,2806,3923,4485,2105,122,7987,9353,6558,3248.69,101.38,101.45000000000014
818,4446,4067,4400,8638,8514,6930,835,7747,5293,29,898,2078,756,2041,816,1120,7910,540,3288.02,126.82,131.12000000000018
1411,8444,8226,8028,5175,2572,5154,1175,5755,6320,6383,9611,4982,5911,4340,3130,5386,7023,2027,3259.44,73.24,78.69000000000011
2090,9101,57,6229,1309,9285,2925,703,6115,7550,9903,8869,6230,711,7071,869,6101,8128,5160,3291.01,94.81,98.24000000000014
6889,6853,7550,293,4015,3582,8779,4425,9664,1172,6961,3677,6977,2135,460,5334,6131,9159,4295,3286.98,78.3,81.40000000000002
1989,7604,2017,8686,6167,1779,5216,9238,8715,1689,9629,80,7758,2351,3866,6368,726,8637,1504,3297.63,103.44,96.78000000000006
9245,1626,6156,2935,384,5594,1987,417,1885,7895,4661,9487,4905,1454,594,9234,8377,8667,3904,3298.01,91.22,93.67000000000012
1748,9084,1636,9065,1001,9013,5312,9240,2956,1267,3966,2945,4095,7440,6450,4143,6020,9821,6498,3276.08,77.85,78.41000000000007
5739,9119,6852,1364,6149,8197,3854,6763,2631,6803,9312,9499,8472,7925,2558,6570,2446,2663,1570,3289.59,78.55,78.4900000000001
8158,7921,8474,7258,9608,3049,2232,4380,3263,2401,9594,8447,5158,3806,8815,4847,6769,9752,9577,3273.01,75.55,74.16000000000007
9578,4377,3565,5033,378,4392,7855,6270,3287,2822,9337,5905,3912,5276,7906,2352,6855,7857,9814,3296.77,75.6,76.4700000000001
3371,7668,9511,9127,454,7885,1185,6557,751,7657,3761,3846,1134,3561,4164,3966,3106,4237,2252,3299.02,85.45,86.94000000000003
3066,602,4178,2780,737,5135,3002,6935,1490,1407,1932,1517,4328,4780,591,5843,7411,9507,5515,3294.74,88.43,93.24000000000017
112,481,5485,5430,7147,6220,7960,1277,3442,9586,8027,6404,2054,8918,5223,1952,4501,1249,7087,3300.35,98.52,99.37000000000012
1843,7183,8642,4111,1587,8645,6131,6036,7379,4842,4351,1755,5546,9274,8784,8612,1856,8091,8334,3289.43,70.96,73.0400000000001
5769,975,4823,9279,2981,2450,2934,6074,7442,2017,1773,9171,2316,5431,9788,6883,9091,4924,3062,3293.55,83.99,85.12000000000006
7499,7903,5119,2889,1123,1759,2969,9072,8898,9434,6420,5885,1636,4355,4437,6281,876,2236,689,3305.32,72.33,77.91000000000005
7843,8269,4444,4050,8433,5801,5453,6608,7343,8871,1134,5781,8159,1837,2483,4431,9668,1632,1846,3292.48,81.55,81.3600000000001
9246,1836,3028,3099,9291,6826,6409,2104,9697,9959,2399,6527,3172,8924,8644,2790,9312,2930,3310,3253.69,76.13,78.35000000000008
4098,6055,4800,492,7288,6672,6277,5176,9053,9552,5072,8156,8668,4905,7931,494,9852,3120,38,3289.72,110.2,110.90000000000006
1760,3830,8058,2836,8579,7545,3258,3169,8676,3471,607,8199,7278,1828,9273,4640,2500,2221,7655,3281.48,80.3,79.11000000000007
1453,829,418,5896,3824,8289,1275,8169,8829,309,5564,5293,5379,5632,2201,1319,9848,556,1310,3270.51,101.69,101.5000000000001
5629,3360,1037,3276,7160,3619,7946,5174,1787,699,6692,1277,3281,2634,6414,8145,7754,1113,8805,3310.78,72.12,73.20000000000003
6915,3414,8012,4991,382,7608,7497,6577,7182,2958,7460,610,4204,6011,6078,7335,8672,5923,9772,3293.09,79.43,82.85000000000014
6583,3667,44,3424,4238,6056,2350,7536,8746,3199,2606,3428,364,2797,9576,6614,8251,2757,450,3296.44,109.84,113.23000000000012
2281,1803,9972,2756,7253,8032,3027,978,367,6604,7340,5207,6680,538,837,3919,6607,641,6498,3293.74,94.49,98.86000000000018
8081,436,3586,3957,1544,6374,7775,3123,2699,5455,1902,5674,2030,9738,850,4764,4507,7625,4924,3299.12,101.86,97.31000000000016
8004,4095,9193,4355,493,5520,5648,5194,1535,929,7133,1464,9703,59,1716,496,1483,312,2790,3291.62,111.66,114.28000000000016
8241,599,7894,883,3098,8351,5427,3288,7813,5570,7841,5759,560,6263,4992,9943,6461,1438,4807,3287.09,88.11,84.5300000000001
3016,6767,1878,8314,6387,8966,5475,8790,6599,2861,6321,9065,5885,3013,5944,6794,7183,3758,7282,3228.64,71.89,71.3400000000001
7874,5655,4414,2781,8307,9923,6337,7980,700,2521,2812,376,7650,1507,1590,5244,3885,9841,924,3306.47,84.39,91.2700000000001
789,7371,7642,5467,6063,27,1180,3192,6542,1720,5545,9320,5100,1804,7378,1325,3447,3943,799,3293.67,114.97,113.07000000000004
2501,2344,9593,190,1836,3767,4710,3420,3605,9215,8447,6875,8272,9901,5225,8769,3082,7659,2909,3285.49,82.08,80.45000000000002
1296,676,1843,9800,393,1661,3264,4178,1405,1786,7622,6539,3649,1783,7955,5669,6600,9881,7300,3311.0,83.68,86.15000000000002
1817,4781,9738,7269,6216,3374,1915,8833,123,7605,4903,1265,5596,5671,3144,7938,1171,9055,5974,3303.57,87.78,87.7000000000001
6928,1097,9926,8498,3508,4094,5743,1023,5491,3868,7058,7192,1379,4111,3569,5295,2707,3390,3583,3289.67,85.13,84.7200000000001
7595,8777,6860,6025,3131,6705,7932,6667,7690,9626,572,4784,296,3024,1570,463,2468,4821,8249,3308.43,93.7,95.9200000000001
8510,1005,7734,664,3191,3397,4521,8056,7084,616,5649,7670,3223,4707,2342,1693,7275,4904,6735,3295.59,78.31,76.16000000000004
7271,1270,3368,2510,7984,4658,6144,6104,2643,7066,5110,7588,7767,8617,8881,3647,5893,4725,4672,3301.86,69.25,66.23000000000005
481,7588,6119,5886,4872,3974,8512,164,234,2154,8697,2443,8779,341,2715,823,31,3341,7630,3281.74,138.89,134.45000000000024
5814,5944,9054,575,8031,3031,3911,216,4535,7083,5542,839,9887,8945,1537,7373,5105,4288,4050,3290.62,97.74,98.28000000000011
8169,6852,4265,5562,721,480,7037,611,2713,9236,4052,2222,6757,8336,5528,9041,2190,4580,272,3274.62,92.91,98.61000000000011
2764,743,279,7959,990,7537,7659,8538,9873,8441,6789,6079,8493,2798,4812,2997,1208,2286,8963,3295.81,79.21,82.12000000000003
1664,6687,5765,7276,7452,4561,4187,7414,4637,8680,2544,9457,5159,2288,8552,618,6748,7955,3776,3284.28,73.42,75.20000000000005
7519,9592,4479,501,5185,9412,9793,9007,1901,7988,2051,4585,4385,1678,7130,1242,6083,551,8434,3293.15,86.82,89.51000000000016
7979,7337,3196,5101,5665,2967,6280,6497,5180,807,4438,3509,620,5189,5200,6431,9096,4619,582,3297.02,69.85,69.57999999999998
2154,6838,4099,6772,1298,8113,3764,3276,1303,8622,1886,2025,87,4623,1136,7065,4384,7910,7565,3296.99,112.89,114.71000000000011
