n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
926,1500,1390,5915,2770,39.49,11.25,12.0523663493155
5048,4121,9927,3476,9941,49.06,10.9,10.771011829158194
585,9522,2594,7056,6447,39.76,15.08,14.49295804763045
8340,6095,8915,7288,8225,30.28,9.68,10.246762474845323
4394,588,449,5964,7616,56.93,15.97,15.956437220880819
5217,6226,6940,8613,2694,29.8,10.91,10.89927955599317
9183,2907,3868,3778,390,99.8,24.36,23.49061948894304
2895,5327,2844,2239,8358,42.37,10.91,11.142208507712503
8359,5893,8417,9173,2979,36.31,10.58,10.22136928214151
7301,6793,8607,5967,9723,32.38,10.04,9.752705680768896
5796,5929,7303,2640,6551,30.35,11.68,11.263783944635605
7559,8689,4094,8028,4572,37.48,10.47,10.639747875888975
8160,8205,8444,5798,7449,29.66,9.02,9.514357252475858
7553,5747,9301,9135,7480,30.54,9.32,9.442347120752217
7972,3634,5319,2720,4393,29.41,11.09,11.570089093655579
7860,5071,4969,8261,9210,26.82,10.03,9.651388630271056
8482,8312,9632,6662,5109,34.38,10.92,10.377021958922626
3404,8010,8386,6006,1234,31.85,10.46,10.629079741776746
5594,137,3135,1739,962,80.35,21.02,22.180433219678005
9411,801,4474,9694,3712,43.31,15.2,15.13977727027602
1741,8558,2236,4355,4011,43.53,14.16,14.14697525534963
3448,989,6929,522,930,103.25,24.44,24.619803776810905
5936,5901,2816,4087,384,61.59,13.89,14.220069257726017
1358,1887,1105,415,669,114.04,27.23,28.731006074130804
346,6112,4189,2093,2574,42.46,12.2,12.40168592347026
3010,8570,31,6317,9657,77.98,23.95,24.474942293178177
707,4060,2480,594,68,178.63,29.6,29.861475945825397
5639,1853,4686,5524,8007,34.38,11.43,11.029510065467788
504,5052,7350,9035,9914,49.34,13.0,12.943399134402764
749,4324,6583,2514,7746,41.28,12.1,11.914260066733299
3695,1531,5182,1671,396,42.71,13.25,13.074665108834235
7337,2089,8491,9583,6438,23.52,8.4,8.955505546356637
7977,8434,5373,2356,5587,63.92,15.49,14.560373527649828
4245,4289,9929,6877,295,65.28,16.68,16.98499068885321
9141,2303,930,4144,549,64.99,18.54,18.977857878678478
2157,2640,2796,1570,7428,53.43,15.44,15.26029753091816
3795,8327,514,4042,3808,68.96,23.83,22.92666799436624
7285,1205,4108,1317,9686,55.07,16.47,17.15619422278866
3738,5895,4204,6930,4566,32.88,10.94,11.056075620332052
8621,79,2475,581,6303,122.31,24.66,25.268154196550785
6696,2625,1821,8389,1438,41.28,14.72,14.159064009015452
3946,1669,1634,324,2977,70.21,20.24,21.563950136864356
3793,1723,3561,400,8531,56.31,18.28,17.05410568560571
7608,7436,5074,8774,6225,39.6,10.21,10.32002265578961
3480,3442,7106,6973,8380,31.18,11.19,11.215973991808387
349,9520,9688,839,6848,63.55,14.67,14.484380382003744
8602,9524,2969,1536,7861,74.41,17.49,17.80947644453689
5999,319,8506,1942,6004,86.51,24.07,23.91532961123655
4744,6098,5050,312,6754,36.26,12.21,12.361663283784459
1657,1720,5012,3250,257,93.11,25.4,25.38800877005132
7396,982,6728,7960,7591,33.58,11.8,11.348686181853937
3411,9645,1208,87,4658,121.97,29.85,29.307876316568837
395,6109,5010,1254,3590,71.86,21.55,21.635260601194123
8035,3151,1896,9364,6117,39.4,11.17,12.075463404694252
6418,7589,2288,5651,6472,19.26,10.99,10.7277616462069
1994,4164,1995,2014,1319,47.51,14.7,14.481056507442299
5480,6407,3473,1726,404,69.65,20.49,19.99688559729713
7706,707,8158,4763,5858,34.14,11.1,10.49514967039362
7488,2317,6142,4406,7933,22.45,10.53,10.35941440168859
8622,7824,6864,8062,4862,30.2,10.98,10.4997514090165
6466,3794,2562,8008,9773,48.57,13.4,13.285873701996707
4250,8987,7006,1381,9599,31.69,11.96,11.49001114396802
9433,1572,1165,5833,2885,34.17,14.73,14.493340640777168
8933,2400,6828,1095,1411,60.41,16.37,16.254937042555646
615,2105,4855,6399,3796,32.1,13.99,14.15615732253718
5397,7190,2826,8585,4702,36.72,11.93,12.416854589724489
1836,2556,8861,6942,1575,62.54,19.48,18.81877505718778
5387,8462,4073,8424,4214,46.44,10.16,10.350785885349465
2778,2580,7552,3841,6621,30.23,10.72,10.812959671260826
5874,9395,2371,7645,7228,44.6,12.31,12.18327191823393
481,9751,6279,2956,6436,50.08,14.67,13.476658397644766
8358,877,7904,4488,6634,39.74,12.72,12.327116147340421
4156,6752,7741,5899,8971,34.08,9.51,9.50789094332622
5418,1333,3686,8730,3078,67.55,16.45,16.998940417522057
6598,6267,190,5127,7611,91.4,23.74,23.424992027931026
8578,7639,2906,1547,280,47.02,15.25,15.123776970456749
6601,3547,9326,9935,6320,51.02,11.11,11.058300953286652
3530,1645,6389,9137,3269,46.13,12.41,12.189410235405145
4495,9604,9506,3137,8024,46.7,11.44,11.380890581063747
2258,139,7117,7898,4156,59.87,16.07,15.89407973571917
8412,9274,2843,7652,3358,30.4,13.17,12.24391742644461
1193,5738,49,7953,8735,77.84,16.8,17.03074008700295
1072,9692,7946,5486,7525,33.64,10.01,10.664828932630824
4373,8239,7541,451,1307,44.75,13.01,12.788617186426007
5695,2845,6627,4182,2209,47.14,14.2,14.313835651675081
886,2663,8183,6253,7612,54.41,14.93,15.303059037836857
4830,2553,170,4631,9132,55.72,19.11,18.290008432065417
7657,29,6004,557,8814,97.67,22.34,22.7393446632015
6264,9245,7254,3349,5053,23.28,9.97,9.562537535471632
8163,2185,7926,8823,4959,40.69,11.45,10.963285015038114
1256,4226,5129,4983,5467,45.46,13.67,13.712325663204712
5114,6438,8488,1522,8330,33.49,12.41,12.803824968244326
3450,6408,9768,8691,2450,34.93,10.39,10.718043402686419
8268,1460,5047,671,3816,58.9,19.77,19.70739648832119
7496,9196,3802,8562,4546,26.51,10.24,10.436764091005761
1003,1833,1834,6213,5973,43.33,13.49,13.424831324451024
3501,5216,5834,1267,5483,54.2,14.37,13.662232324163435
7493,5942,2727,8152,7241,39.34,10.77,10.50387807806677
4783,7554,2193,7241,3537,34.5,12.05,12.496978662015449
4473,5344,2604,1631,3896,60.15,15.75,15.356384995746685
