n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,monte_carlo,monte_carlo_max_hop,two_hop
926,1500,1390,5915,2770,5048,4121,9927,3476,9941,585,5294.44,85.43,87.2200000000001
9522,2594,7056,6447,8340,6095,8915,7288,8225,4394,588,5292.09,78.2,74.46000000000008
449,5964,7616,5217,6226,6940,8613,2694,9183,2907,3868,5300.75,62.03,64.65000000000005
3778,390,2895,5327,2844,2239,8358,8359,5893,8417,9173,5303.43,69.52,74.12000000000003
2979,7301,6793,8607,5967,9723,5796,5929,7303,2640,6551,5297.78,54.91,52.059999999999995
7559,8689,4094,8028,4572,8160,8205,8444,5798,7449,7553,5279.32,50.51,51.88
5747,9301,9135,7480,7972,3634,5319,2720,4393,7860,5071,5286.75,54.23,54.930000000000035
4969,8261,9210,8482,8312,9632,6662,5109,3404,8010,8386,5301.58,53.89,53.970000000000034
6006,1234,5594,137,3135,1739,962,9411,801,4474,9694,5280.79,96.91,95.04000000000009
3712,1741,8558,2236,4355,4011,3448,989,6929,522,930,5283.46,96.7,92.79000000000009
5936,5901,2816,4087,384,1358,1887,1105,415,669,346,5306.43,111.24,114.83000000000017
6112,4189,2093,2574,3010,8570,31,6317,9657,707,4060,5299.38,133.11,135.38999999999996
2480,594,68,5639,1853,4686,5524,8007,504,5052,7350,5297.29,105.15,106.58000000000006
9035,9914,749,4324,6583,2514,7746,3695,1531,5182,1671,5290.35,78.98,79.70000000000007
396,7337,2089,8491,9583,6438,7977,8434,5373,2356,5587,5291.42,90.2,85.21000000000015
4245,4289,9929,6877,295,9141,2303,930,4144,549,2157,5302.27,106.9,101.99000000000008
2640,2796,1570,7428,3795,8327,514,4042,3808,7285,1205,5284.86,77.51,74.93000000000008
4108,1317,9686,3738,5895,4204,6930,4566,8621,79,2475,5310.32,96.17,96.40000000000009
581,6303,6696,2625,1821,8389,1438,3946,1669,1634,324,5292.51,97.77,99.59000000000012
2977,3793,1723,3561,400,8531,7608,7436,5074,8774,6225,5301.36,59.46,58.440000000000005
3480,3442,7106,6973,8380,349,9520,9688,839,6848,8602,5302.78,79.17,78.96000000000006
9524,2969,1536,7861,5999,319,8506,1942,6004,4744,6098,5305.38,70.54,72.18000000000006
5050,312,6754,1657,1720,5012,3250,257,7396,982,6728,5305.41,85.33,85.73000000000003
7960,7591,3411,9645,1208,87,4658,395,6109,5010,1254,5284.29,110.16,113.09
3590,8035,3151,1896,9364,6117,6418,7589,2288,5651,6472,5301.58,65.12,67.68000000000004
1994,4164,1995,2014,1319,5480,6407,3473,1726,404,7706,5289.57,86.94,89.57000000000005
707,8158,4763,5858,7488,2317,6142,4406,7933,8622,7824,5287.37,63.89,62.41000000000007
6864,8062,4862,6466,3794,2562,8008,9773,4250,8987,7006,5295.01,55.28,60.26000000000009
1381,9599,9433,1572,1165,5833,2885,8933,2400,6828,1095,5296.22,68.52,70.37000000000005
1411,615,2105,4855,6399,3796,5397,7190,2826,8585,4702,5311.46,68.04,68.55000000000001
1836,2556,8861,6942,1575,5387,8462,4073,8424,4214,2778,5295.55,69.35,72.08000000000006
2580,7552,3841,6621,5874,9395,2371,7645,7228,481,9751,5299.17,60.82,62.96000000000003
6279,2956,6436,8358,877,7904,4488,6634,4156,6752,7741,5303.64,52.66,52.75
5899,8971,5418,1333,3686,8730,3078,6598,6267,190,5127,5307.31,82.2,85.70000000000006
7611,8578,7639,2906,1547,280,6601,3547,9326,9935,6320,5290.71,71.67,74.91000000000011
3530,1645,6389,9137,3269,4495,9604,9506,3137,8024,2258,5306.95,68.7,68.21000000000006
139,7117,7898,4156,8412,9274,2843,7652,3358,1193,5738,5304.23,85.16,85.22000000000004
49,7953,8735,1072,9692,7946,5486,7525,4373,8239,7541,5286.98,126.83,122.90999999999997
451,1307,5695,2845,6627,4182,2209,886,2663,8183,6253,5289.01,85.96,88.41000000000008
7612,4830,2553,170,4631,9132,7657,29,6004,557,8814,5294.66,149.02,149.4300000000001
6264,9245,7254,3349,5053,8163,2185,7926,8823,4959,1256,5297.12,54.56,55.19000000000003
4226,5129,4983,5467,5114,6438,8488,1522,8330,3450,6408,5297.91,62.34,64.18000000000006
9768,8691,2450,8268,1460,5047,671,3816,7496,9196,3802,5291.34,66.54,63.600000000000044
8562,4546,1003,1833,1834,6213,5973,3501,5216,5834,1267,5297.04,68.21,71.38000000000005
5483,7493,5942,2727,8152,7241,4783,7554,2193,7241,3537,5301.85,65.35,74.8200000000001
4473,5344,2604,1631,3896,7682,3105,6124,3036,5834,2297,5311.78,72.59,72.73000000000003
2218,3820,4401,9021,6193,6557,5607,4599,9750,8234,9516,5298.0,50.12,50.23000000000005
5250,6544,4777,8715,1190,6020,5055,6474,7929,2863,4225,5249.15,55.54,57.880000000000045
5799,7220,7809,1436,3054,5158,6209,2081,459,1708,5747,5297.99,59.25,59.610000000000014
2737,5884,1262,7150,137,8891,5249,3879,9742,6388,8866,5297.31,81.69,81.84000000000007
4663,7682,2467,5895,5183,3311,8166,1557,2329,3347,5428,5307.19,59.18,58.15
4112,2316,6887,5904,4098,1460,5614,3072,4038,3933,767,5296.12,68.9,67.01000000000002
5512,6107,1010,2359,2907,1033,7041,7267,4455,2175,5258,5295.81,82.41,79.46000000000008
8568,9450,1907,5538,6464,3731,887,6427,7762,8025,5191,5298.51,61.9,60.65000000000004
8923,9790,1483,9633,8362,8824,8121,6574,7447,2775,6746,5304.76,51.72,52.54000000000003
6324,8597,7416,756,1773,7394,9688,2100,1940,8192,2868,5295.45,71.09,69.1300000000001
1267,6432,5010,7498,144,4144,1736,5744,3614,2836,408,5301.11,106.66,108.8600000000001
2406,7000,1506,5505,7625,815,7779,3957,1058,7888,2285,5301.37,63.46,61.90000000000001
9154,497,2271,8227,8882,988,792,3270,8948,102,8566,5308.01,117.45,114.49000000000005
5531,8658,3907,2293,6087,8062,24,2158,8849,1909,4041,5302.1,113.61,116.10000000000005
1773,7640,3469,870,3526,6211,5517,6452,8593,8308,2670,5292.04,58.97,56.830000000000034
8371,1727,2480,3445,2842,6181,3307,4872,5581,7059,2354,5299.71,63.28,65.28000000000002
7007,2136,6523,5139,4903,1627,9215,1637,7746,4462,4660,5303.93,57.73,61.12
8640,8010,4585,3753,6892,2254,8962,1703,501,9862,9039,5298.81,55.6,55.57
3309,3478,3184,6413,9499,640,2262,385,4300,7784,8842,5296.17,81.63,81.77000000000002
783,3678,2366,9799,5120,625,3209,1775,2300,8917,3055,5296.4,86.04,82.31000000000004
1511,7600,4780,3422,2581,5313,4543,8493,9321,1106,6761,5286.34,66.84,64.28000000000002
6806,552,7460,4872,1999,4460,258,3512,6858,5459,4284,5297.52,82.66,79.50000000000004
8814,6429,9724,8609,3295,7040,2109,2798,7334,7446,5666,5295.18,56.62,58.71000000000005
