n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
6311,6890,663,4242,8376,7961,6634,4969,7808,5866,9558,3578,8268,6687.35,106.2,109.1400000000002
2281,4617,2289,1553,4104,8725,9861,2407,5081,1618,1208,5409,7735,6694.17,118.08,124.50000000000016
9171,1649,5796,7113,5180,3350,9052,7815,7253,8541,4267,1020,8989,6693.53,103.89,113.98000000000025
230,1528,6534,18,8086,5458,3996,5328,1031,3130,9298,3632,3909,6688.38,305.05,312.2100000000005
2334,8896,7339,1494,1318,5243,8322,8016,1786,4938,9031,4769,2044,6690.7,123.41,123.18000000000018
8969,5451,8852,3329,9882,8965,9627,4712,7290,1501,9769,6306,5194,6703.29,100.77,105.13000000000015
9431,3966,4756,3012,3102,3059,540,4260,7807,1131,1471,2133,2450,6694.82,130.99,132.27000000000015
633,1314,8857,6410,8594,4515,8549,3858,3525,9663,6871,9497,4509,6687.43,119.59,114.33000000000013
7382,8071,5855,1349,5313,1889,7969,9618,5493,3119,3981,265,4440,6689.65,112.96,113.68000000000009
1919,3612,6095,2793,5448,6981,1018,1648,2397,3584,741,9402,8752,6690.08,130.03,133.48000000000016
9865,1212,437,2038,3088,9934,9436,1961,6409,1499,6064,1901,596,6703.63,141.19,142.53000000000017
9920,354,3188,3030,2029,7851,3450,1000,373,8916,6973,1662,4258,6701.51,135.04,136.48000000000005
1146,3618,1179,4932,5739,7144,2954,1000,8251,7653,645,9772,1653,6689.74,128.07,129.64000000000007
6410,3266,4262,5874,7704,9335,2775,3332,951,2592,2653,5608,8674,6690.19,111.05,114.5700000000001
4107,1920,9777,7246,2864,216,7727,6715,9324,8332,5102,5851,6367,6687.76,111.4,109.8400000000001
4111,2513,9184,203,7503,1295,5503,748,8918,4601,2209,3934,7894,6687.86,141.29,147.6200000000002
5770,9996,4716,5885,9671,2168,5083,6357,6789,1322,24,9741,3150,6690.31,204.15,210.30000000000027
5478,2622,3922,3655,7342,6203,9308,6789,516,6590,9297,6852,766,6686.45,117.46,116.88000000000014
2714,7296,1046,4247,2583,7313,8643,7983,9198,9895,1,637,8103,6695.7,161.15,160.86000000000033
5340,5112,7649,816,6801,3080,8987,1367,2138,241,6583,6840,5180,6688.48,121.1,127.79000000000008
55,3498,234,38,8656,1602,3120,1948,9967,3252,4954,4587,2985,6685.28,292.66,306.6100000000002
