n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,monte_carlo,monte_carlo_max_hop,two_hop
3898,9709,8916,2136,6061,9894,7766,9516,1073,9922,215,7687,4249,9024,3839,169.58,40.69,39.770913641417394
3141,7704,8863,9005,7804,6506,2467,3799,2484,8571,6388,248,1049,2611,9684,171.58,40.56,39.752167735299636
701,4935,508,4414,7745,9744,6350,6994,6471,9452,7284,2197,5988,1596,587,216.41,48.92,48.99397023541006
2227,8108,3555,4226,7146,4932,6900,8310,6322,9404,5749,8750,9585,6677,9572,114.43,33.9,32.71253209983212
3807,5517,469,4582,9925,2672,5347,8876,9370,9324,1705,3459,9396,4375,4668,145.63,35.97,36.20232357875751
2038,1039,7897,7921,1450,5637,1091,6725,2470,329,4815,6998,6802,1948,724,203.22,42.95,43.15223327204901
9912,736,6189,9607,5422,9025,4572,8280,3865,590,5073,118,1261,1771,9826,248.51,48.19,48.55850058696445
8774,514,3233,6683,4777,4315,2559,695,5567,5141,5901,2266,6189,6172,7543,214.16,43.28,42.93662002511437
8520,6327,9759,9162,1680,8307,4444,7064,3893,4933,7167,4230,8538,4964,8985,156.55,37.4,36.49230144718727
5552,187,6802,9502,5158,328,6168,9653,2183,984,5446,7639,5782,5776,9975,215.11,47.88,48.4189790153795
4569,8020,363,9656,992,348,6048,4114,7476,4892,9710,9854,5243,2906,5963,211.45,40.94,42.00302165456087
3035,5122,6048,9758,4327,4921,6179,1718,441,9326,2153,5079,8192,3646,4413,151.6,38.72,38.7784817366112
3910,5370,3070,7130,1589,1668,9842,5275,5468,3677,7183,2773,1309,5516,3572,193.01,38.54,39.28003361550264
9312,7390,4433,3686,1981,555,8677,3126,5163,9418,3007,4564,5572,1401,5657,156.31,39.88,40.091980842426295
9658,2124,6902,4783,8493,4442,7613,5674,6830,4757,6877,9311,6709,582,6770,161.5,39.26,38.686086793051274
2555,3269,76,7820,8358,7116,9156,3638,529,7482,8503,4735,8910,5588,3726,232.63,43.43,43.707498708831416
1115,9644,4702,1966,4006,738,575,8393,3251,7043,9452,808,215,7881,1979,273.07,48.84,48.40521018287435
2815,8244,4913,3916,325,8601,8798,6778,872,1861,5592,2054,4136,8863,7818,180.01,40.27,40.81494838970351
1005,5764,3617,3233,2002,8759,1953,2806,3923,4485,2105,122,7987,9353,6558,250.08,50.84,50.502057189566145
818,4446,4067,4400,8638,8514,6930,835,7747,5293,29,898,2078,756,2041,254.92,58.34,59.86523013781088
816,1120,7910,540,1411,8444,8226,8028,5175,2572,5154,1175,5755,6320,6383,192.47,40.26,42.41988226330225
9611,4982,5911,4340,3130,5386,7023,2027,2090,9101,57,6229,1309,9285,2925,252.56,54.5,52.82582308827967
703,6115,7550,9903,8869,6230,711,7071,869,6101,8128,5160,6889,6853,7550,165.19,42.11,44.41307291681159
293,4015,3582,8779,4425,9664,1172,6961,3677,6977,2135,460,5334,6131,9159,282.34,43.55,41.79397867367991
4295,1989,7604,2017,8686,6167,1779,5216,9238,8715,1689,9629,80,7758,2351,251.8,49.4,49.650572608173974
3866,6368,726,8637,1504,9245,1626,6156,2935,384,5594,1987,417,1885,7895,246.37,49.16,48.73768299692618
4661,9487,4905,1454,594,9234,8377,8667,3904,1748,9084,1636,9065,1001,9013,193.66,44.3,42.918660907594145
5312,9240,2956,1267,3966,2945,4095,7440,6450,4143,6020,9821,6498,5739,9119,124.87,34.59,36.05777813046539
6852,1364,6149,8197,3854,6763,2631,6803,9312,9499,8472,7925,2558,6570,2446,160.47,36.44,36.68308747070448
2663,1570,8158,7921,8474,7258,9608,3049,2232,4380,3263,2401,9594,8447,5158,141.63,37.18,37.214757427667344
3806,8815,4847,6769,9752,9577,9578,4377,3565,5033,378,4392,7855,6270,3287,152.1,37.1,36.19568727308806
2822,9337,5905,3912,5276,7906,2352,6855,7857,9814,3371,7668,9511,9127,454,205.09,40.01,39.46541281752248
7885,1185,6557,751,7657,3761,3846,1134,3561,4164,3966,3106,4237,2252,3066,177.44,46.5,46.96934280904614
602,4178,2780,737,5135,3002,6935,1490,1407,1932,1517,4328,4780,591,5843,221.74,50.22,50.59576493641182
7411,9507,5515,112,481,5485,5430,7147,6220,7960,1277,3442,9586,8027,6404,319.49,55.98,57.815824961779526
