n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
5305,2471,6468,791,1186,6686.01,62.717,62.370000000000026
8779,1542,5991,9548,950,6658.911,39.275,39.90000000000002
8313,3517,614,1408,7104,6678.619,46.882,47.09000000000002
6851,1144,3943,1486,9028,6681.172,40.352,39.92999999999999
6955,968,9264,2028,3657,6679.714,41.804,41.56
9551,1013,9455,9593,6499,6622.21,40.877,41.46000000000004
812,3622,763,9120,2181,6681.663,61.244,61.140000000000015
4744,6867,2363,8858,1929,6655.68,36.536,36.17
9353,5054,9179,2961,1688,6683.882,49.064,48.84000000000005
9528,9358,3078,6101,1596,6657.59,40.194,40.610000000000014
8974,1028,9246,976,3374,6680.896,47.317,47.670000000000016
8133,8711,7005,5146,7628,6624.582,27.07,27.20999999999999
9593,7424,5924,4911,4070,6617.532,38.274,39.39
2945,3999,1341,9411,4919,6672.385,48.954,48.60000000000008
8604,8111,5627,7353,4717,6602.203,41.125,41.22000000000011
9977,1199,1934,8387,6850,6671.453,43.622,44.52000000000006
2702,5604,2490,8011,6909,6654.705,55.651,56.0000000000001
642,1271,9143,9388,5140,6674.523,50.524,51.39000000000003
5572,5737,9738,8137,9501,6579.655,32.038,31.81000000000003
7474,1126,1533,4422,7767,6668.731,36.532,36.89999999999998
1064,994,5072,9469,7301,6684.72,55.712,55.40000000000003
4662,6320,5685,369,7564,6688.012,69.536,68.94000000000014
5823,2753,1918,8088,965,6690.471,44.359,44.349999999999994
3575,4709,2119,4056,6519,6667.353,42.178,41.950000000000024
6405,8134,1320,2725,7359,6644.46,40.467,40.87000000000003
6580,9002,4552,2243,7053,6631.452,29.688,29.949999999999985
9014,4561,6804,5878,6233,6625.416,35.553,36.11000000000003
3780,2472,1359,2887,2478,6678.141,39.149,40.04999999999999
3800,3822,197,7945,9652,6680.423,75.538,76.8100000000002
2987,4304,4619,67,2386,6689.875,106.562,107.75000000000014
6864,8758,6049,9991,9278,6617.563,38.677,38.39000000000009
5220,2056,8445,884,7481,6644.945,43.63,43.56000000000002
9163,6428,6521,6536,6457,6607.73,37.102,39.010000000000105
1696,7889,6560,1019,3122,6672.424,52.599,52.2100000000001
1103,3420,7219,2659,1801,6687.783,51.273,52.94000000000007
5571,9842,861,1677,3,6688.468,140.046,142.24000000000024
9286,2478,8791,1662,5957,6650.395,34.604,34.510000000000005
417,1152,3407,6164,2433,6681.973,61.609,63.00000000000005
4132,5691,9867,5966,7768,6613.52,34.529,35.39000000000005
2012,1889,7996,7634,7870,6662.288,36.119,36.14
7927,5109,1407,2361,1674,6671.675,45.498,44.63999999999999
5613,4337,7841,2645,8459,6644.392,30.757,30.210000000000015
378,3362,8654,5926,2401,6671.005,40.332,40.74999999999999
8899,443,8652,4883,1491,6679.04,57.206,57.000000000000036
4278,8493,6008,2736,5827,6648.502,45.564,45.29000000000006
3650,8725,8873,8236,5401,6659.344,43.154,41.41000000000008
3654,3197,3922,6564,3714,6659.616,35.881,36.040000000000006
3275,8480,8073,5825,474,6686.117,42.083,44.35000000000006
457,4577,7737,4246,3172,6686.62,58.555,59.43000000000011
9914,5640,7327,5726,5974,6636.35,32.556,33.04
1319,3612,1673,3716,7701,6652.752,58.542,58.56000000000008
3222,5533,3348,7907,9998,6657.235,32.994,33.35
31,7855,5636,1389,1964,6686.609,106.751,107.55000000000017
6365,3265,7832,2924,7109,6668.398,35.428,34.66000000000005
5447,1421,6485,7588,6576,6652.977,35.935,36.420000000000016
1391,2602,2785,2081,451,6684.088,75.827,76.84000000000007
2476,9679,7624,2394,9762,6660.402,38.65,40.32000000000006
7771,5741,2554,8989,8983,6615.958,36.918,36.90000000000003
2146,350,233,1683,8627,6683.736,83.444,85.29000000000012
2281,7107,3191,3457,458,6685.484,59.896,59.62000000000006
4126,3486,4799,8211,3940,6659.808,39.245,39.33000000000004
9608,5341,4249,8918,6865,6599.952,32.081,33.430000000000014
2147,997,5796,7506,9557,6659.176,47.022,46.42000000000008
8466,6891,8219,2142,8713,6593.512,36.07,35.60000000000007
2487,8577,8364,306,7211,6681.95,58.715,59.570000000000064
3000,9970,64,2454,2823,6685.985,100.195,102.87000000000008
2319,7757,1971,9117,1011,6686.428,48.365,48.870000000000005
5340,8492,8695,9100,7905,6523.11,28.468,28.72
1738,9179,930,4071,3134,6657.714,45.285,46.620000000000005
4537,691,1601,8318,7408,6685.024,52.408,52.35000000000004
9203,456,1038,7262,5334,6685.55,66.794,67.02000000000011
8282,9930,8391,3267,4541,6608.357,39.63,39.04000000000004
7411,8325,8737,7832,8319,6583.586,28.549,28.619999999999994
4057,8572,4253,9167,3319,6638.767,44.663,46.26000000000009
7332,2246,6826,1992,6428,6651.086,44.765,45.22000000000008
7243,5177,1188,3942,7017,6678.757,46.944,47.150000000000055
1198,3484,4960,2004,2530,6686.55,50.595,50.67000000000002
5999,2342,4146,2248,7663,6687.747,45.822,45.980000000000054
3597,1542,6525,7983,2667,6652.531,43.238,44.330000000000055
3665,2645,7070,8447,6616,6669.375,48.759,49.760000000000076
5556,6902,3207,5842,5218,6662.081,42.295,43.97000000000004
1510,5995,319,5537,9077,6688.679,65.654,66.97000000000008
7514,7216,296,6297,5431,6685.452,66.14,66.52000000000008
8477,4840,8392,1053,1848,6688.824,52.422,53.07000000000007
