n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
241,310,105,738,405,6.85,6.91,7.000000000000001
490,158,92,68,20,9.51,9.47,9.27
411,562,939,296,819,6.06,5.63,5.660000000000001
783,60,227,532,549,6.2,6.43,6.56
368,283,798,176,846,6.82,6.37,6.67
108,268,219,965,949,6.59,6.36,6.240000000000001
26,848,656,826,266,8.41,7.92,7.99
819,278,198,168,317,5.98,6.09,5.8500000000000005
296,642,888,749,983,6.22,6.1,6.15
875,868,901,381,88,5.92,6.05,5.950000000000001
865,620,345,687,397,7.78,6.78,7.119999999999997
518,254,182,253,484,6.35,6.33,6.290000000000001
286,91,967,957,837,5.95,5.62,5.730000000000001
886,964,560,860,307,5.71,5.71,5.710000000000001
7,930,298,586,721,6.91,6.45,6.84
903,319,868,783,520,6.8,6.19,6.19
199,423,433,613,295,7.43,7.68,7.579999999999998
441,462,165,238,312,7.12,7.32,6.84
265,832,816,44,83,7.47,6.56,6.82
47,473,641,287,531,8.73,8.62,8.400000000000002
547,663,482,717,351,6.89,6.65,6.619999999999999
148,689,200,68,422,6.74,6.59,6.660000000000002
935,207,650,647,451,6.56,6.07,6.37
282,188,364,446,764,6.52,6.48,6.450000000000002
602,328,649,571,203,6.07,6.46,6.23
926,331,103,859,63,6.42,6.15,6.140000000000001
725,234,284,783,596,6.26,5.91,5.880000000000001
630,882,243,125,339,6.31,6.29,6.280000000000001
957,181,297,470,26,7.74,7.61,7.350000000000001
43,365,714,84,917,7.5,7.65,7.3400000000000025
987,977,292,752,691,5.94,5.95,5.870000000000001
982,334,18,330,295,7.69,6.89,7.2
329,989,156,793,667,6.93,6.78,6.67
420,882,965,890,635,5.79,5.79,5.78
696,837,79,300,632,6.86,6.62,6.510000000000001
196,915,454,299,139,7.32,6.45,6.490000000000001
256,390,613,984,162,7.6,7.06,7.149999999999999
339,586,9,372,45,7.44,7.53,7.88
465,173,373,802,823,6.7,5.81,6.270000000000001
371,297,585,99,449,6.42,6.3,6.3100000000000005
212,434,938,212,116,4.67,4.46,5.650000000000001
60,63,56,754,172,8.43,7.14,7.58
609,693,993,153,621,6.06,6.4,6.200000000000001
41,559,502,596,255,7.96,7.41,7.320000000000001
329,36,125,854,541,7.0,6.09,6.210000000000002
299,792,419,667,205,7.36,6.8,7.04
489,206,247,449,420,6.28,6.04,6.090000000000001
503,37,224,431,454,7.28,6.69,6.69
254,662,910,438,850,7.18,6.83,6.760000000000001
220,510,192,32,37,9.27,8.88,8.5
260,259,248,538,213,6.03,6.5,6.330000000000001
790,237,427,890,267,8.88,7.62,7.949999999999999
145,332,52,912,950,7.9,7.31,6.999999999999999
322,578,119,583,412,5.89,5.85,6.000000000000001
985,922,668,669,891,5.74,5.68,5.750000000000001
809,734,762,41,506,7.26,6.57,6.790000000000002
396,95,440,215,952,6.44,6.72,6.7700000000000005
894,586,921,966,946,7.6,6.95,7.299999999999999
169,344,303,672,482,7.17,6.31,6.6
818,922,657,322,834,6.2,5.84,5.99
430,540,220,670,820,7.77,7.01,7.209999999999999
702,820,274,346,944,6.08,5.67,5.820000000000001
401,979,508,76,879,6.69,6.56,6.33
994,286,984,642,684,6.12,5.8,5.71
195,45,404,920,634,6.53,6.53,6.520000000000001
130,785,991,275,683,5.79,5.57,5.66
876,61,890,171,704,6.58,7.02,6.740000000000002
650,475,582,483,764,5.98,6.1,6.050000000000001
413,949,399,223,817,6.07,6.72,6.5
3,216,944,160,13,6.98,6.98,7.12
624,897,263,118,405,7.11,7.34,7.06
829,788,801,390,898,5.86,5.64,5.630000000000001
227,563,54,899,973,7.15,7.07,7.36
206,165,687,622,338,7.33,8.16,7.210000000000001
838,913,575,792,803,5.79,5.76,5.850000000000001
482,937,539,450,27,6.47,6.34,6.310000000000001
80,35,712,608,115,7.9,8.16,8.110000000000003
500,574,885,263,622,6.26,6.36,6.24
792,142,42,371,81,7.15,7.25,6.910000000000001
786,900,535,926,10,7.2,6.89,6.640000000000002
304,857,355,847,76,6.47,6.18,6.140000000000001
87,982,556,464,390,6.69,6.8,6.670000000000002
210,806,318,397,239,6.96,6.27,6.350000000000001
776,498,876,989,409,5.99,5.92,5.7700000000000005
97,79,117,937,635,7.91,6.76,6.779999999999999
817,906,374,524,444,5.79,5.82,5.760000000000001
425,878,728,795,454,6.01,5.82,5.870000000000001
68,643,902,963,200,6.88,6.62,6.730000000000002
652,309,952,856,490,5.94,5.72,5.680000000000001
432,121,817,571,171,6.78,6.34,6.6400000000000015
380,895,166,180,723,6.47,6.45,6.35
152,334,506,880,346,5.71,6.08,5.9300000000000015
264,554,997,925,4,7.99,7.86,7.98
727,172,5,663,319,13.02,11.39,11.919999999999995
123,558,113,498,805,7.04,6.27,6.500000000000002
732,615,495,538,77,7.77,6.95,7.439999999999998
533,251,421,867,300,6.93,6.57,6.540000000000001
365,234,785,184,884,6.33,6.06,5.900000000000001
641,1,692,54,624,8.65,8.72,8.39
929,320,557,934,930,6.32,6.15,6.1000000000000005
