n0,monte_carlo,monte_carlo_max_hop,two_hop
243,3.16,2.52,2.721107266435986
606,2.03,1.98,1.7976190476190474
557,4.46,3.9,3.8155555555555556
133,4.24,3.55,3.508688965782391
378,4.11,2.52,2.5294117647058822
937,1.86,1.48,1.5714285714285714
618,2.1,1.56,1.5625
485,4.18,2.71,2.833333333333333
640,1.89,1.71,1.6875
594,2.7,1.72,1.7533333333333334
67,10.29,10.26,10.125
620,2.38,1.71,1.7222222222222223
13,3.43,1.0,1.7080329909741674
930,2.07,1.64,1.7083333333333333
857,1.86,1.69,1.7708333333333333
480,1.42,2.2,1.6601269101269103
265,1.82,1.8,1.7777777777777777
564,2.87,2.85,2.833333333333333
239,2.49,2.9,2.888888888888889
196,2.85,3.02,2.8062962962962965
734,2.78,3.08,2.7824999999999998
481,2.12,1.77,1.8798076923076923
553,1.95,1.87,1.75
856,1.89,1.97,1.75
562,2.36,1.68,1.6666666666666665
487,1.9,1.71,1.7083333333333333
406,2.86,2.67,2.6
654,1.81,1.62,1.72
881,1.59,1.79,1.7801659125188536
154,1.73,1.64,1.4518518518518517
237,2.79,1.53,1.7080329909741674
650,2.92,2.86,2.833333333333333
155,8.72,8.63,8.69047619047619
888,2.83,2.64,2.65625
948,1.74,1.76,1.78125
535,2.39,1.95,1.7785185185185184
399,4.35,2.51,2.714699657640834
759,1.56,1.5,1.5066666666666668
15,6.23,5.93,5.6573580354830355
687,2.01,1.56,1.7080329909741674
795,2.15,1.48,1.6666666666666665
65,2.34,1.67,1.6916955017301039
163,4.37,3.78,3.6888888888888887
776,2.23,1.56,1.5066666666666668
980,1.68,1.8,1.6818181818181817
605,1.97,2.0,1.7083333333333333
43,9.26,8.53,8.347435897435897
308,3.08,2.91,2.770833333333333
798,2.41,1.72,1.8798076923076923
31,17.02,14.61,14.245014472455647
843,1.87,1.86,1.8181818181818181
886,1.72,1.77,1.7083333333333333
275,1.93,1.5,1.5384615384615383
484,2.24,1.58,1.6818181818181817
609,1.72,1.76,1.809090909090909
736,2.91,1.78,1.809090909090909
942,1.98,1.91,1.7666666666666666
899,2.14,1.84,1.7083333333333333
396,3.64,2.7,2.685185185185185
731,1.87,1.7,1.6084033613445379
807,1.85,1.59,1.78125
943,1.81,1.56,1.55
437,5.13,4.9,4.875
404,5.06,4.4,4.825
745,3.61,2.5,2.586666666666667
820,1.8,1.66,1.6666666666666665
590,2.3,2.51,1.7080329909741674
455,5.06,4.56,4.533333333333333
987,2.03,1.6,1.6
958,1.67,1.57,1.55
137,3.47,3.81,3.5384615384615383
899,1.8,1.58,1.7083333333333333
374,1.87,2.02,1.7083333333333335
99,2.52,1.94,1.7044444444444444
36,2.38,1.53,1.548851851851852
139,2.95,2.98,2.6448580354830353
506,1.84,1.69,1.7777777777777777
222,2.14,1.83,1.5658119658119658
264,2.11,1.97,1.7666666666666666
988,2.32,2.1,1.9047619047619047
688,1.97,1.61,1.625
446,2.98,2.79,2.791666666666667
797,2.3,1.93,1.8
641,2.08,1.7,1.53125
875,1.8,1.46,1.5743589743589745
308,3.0,2.53,2.770833333333333
431,1.63,1.7,1.8798076923076923
519,1.94,1.59,1.7325
853,3.02,1.72,1.674074074074074
395,1.45,1.98,1.7785185185185184
587,3.43,2.58,2.7785714285714285
359,1.99,1.56,1.5185185185185184
546,1.74,1.0,1.7080329909741674
599,1.51,1.5,1.548851851851852
417,2.12,2.0,1.8346666666666667
598,1.98,1.54,1.5416666666666665
237,1.73,1.53,1.7080329909741674
925,1.97,1.47,1.5625
344,1.83,1.53,1.7080329909741674
698,3.02,1.71,1.8205555555555555
